Manufacturer;Name;model;mode;T_in;T_out;P_el;P_th;COP
Stiebel Eltron;WPL 13 E;on_off;heating;-15,00;35,00;2,15;5,60;2,60
Stiebel Eltron;WPL 13 E;on_off;heating;-7,00;34,00;2,07;6,80;3,28
Stiebel Eltron;WPL 13 E;on_off;heating;2,00;30,00;2,01;8,20;4,07
Stiebel Eltron;WPL 13 E;on_off;heating;7,00;27,00;1,80;8,50;4,73
Stiebel Eltron;WPL 13 E;on_off;heating;12,00;24,00;1,59;8,40;5,29
Stiebel Eltron;WPL 13 E;on_off;heating;-15,00;55,00;3,23;6,20;1,92
Stiebel Eltron;WPL 13 E;on_off;heating;-7,00;52,00;2,91;6,90;2,37
Stiebel Eltron;WPL 13 E;on_off;heating;2,00;42,00;2,68;8,10;3,02
Stiebel Eltron;WPL 13 E;on_off;heating;7,00;36,00;2,30;8,40;3,65
Stiebel Eltron;WPL 13 E;on_off;heating;12,00;30,00;1,94;8,30;4,28
