Manufacturer,Model,Type,Modus,Refrigerant,Mass of Refrigerant [kg],Date,SPL indoor [dBA],SPL outdoor [dBA],Prated [kW],PSB [W],Guideline,Climate,P_el_n [W],P_th_max [W],k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
Advantix ,i-SHWAK V4 06,Outdoor Air/Water,Inverter,R410a,2.68,2020-05-26,35.0,64.0,4.0,11,EN 14825,average,2866,4500,-0.023538355593005617,-0.0106475645436453,1.284505386874436,-0.02555642526929812,0.008232033842554384,0.22076825460641566,0.14163714685839135,-0.04259416053306359,4.8621942543196806,1.0
Advantix ,i-SHWAK V4 08,Outdoor Air/Water,Inverter,R410a,2.2,2020-05-26,35.0,64.0,5.0,11,EN 14825,average,2907,5000,-0.013904040555392617,-0.0015330076001082798,0.9238612781976104,-0.023953627966911042,0.010072447561318509,0.16939985825543338,0.14561100860024606,-0.03924362794603907,4.806861181117617,1.0
Advantix ,i-SHWAK V4 10,Outdoor Air/Water,Inverter,R410a,3.45,2020-05-26,39.0,64.0,6.0,11,EN 14825,average,3333,5500,-0.01024164088137236,-0.007510564204029709,1.2303850239619578,-0.024239305795113363,0.009812651043801196,0.19314725251038956,0.16995760340577873,-0.07305189894186787,6.208807414610039,1.0
Advantix ,i-SHWAK V4 12,Outdoor Air/Water,Inverter,R410a,3.45,2020-05-26,39.0,65.0,7.0,11,EN 14825,average,3350,6700,-0.010427837682316242,0.001135767083594857,0.8575300652551789,-0.02321819931570768,0.011195424401409559,0.18384635694085044,0.12311116617431875,-0.07741840166667188,6.435368475681724,1.0
Advantix ,i-SHWAK V4 14,Outdoor Air/Water,Inverter,R410a,4.4,2020-05-26,40.0,68.0,9.0,11,EN 14825,average,5167,9300,-0.02215426705494199,-0.0043716783474945795,0.9643755176723701,-0.028868541352991755,0.008635835461982029,0.2201158937723038,0.15713051832787067,-0.059669913103907256,5.518696448799263,1.0
Advantix ,i-SHWAK V4 14T,Outdoor Air/Water,Inverter,R410a,4.4,2020-05-26,40.0,68.0,9.0,11,EN 14825,average,5167,9300,-0.02215426705494199,-0.0043716783474945795,0.9643755176723701,-0.028868541352991755,0.008635835461982029,0.2201158937723038,0.15713051832787067,-0.059669913103907256,5.518696448799263,1.0
Advantix ,i-SHWAK V4 16,Outdoor Air/Water,Inverter,R410a,4.6,2020-05-26,40.0,68.0,9.0,11,EN 14825,average,5515,9100,-0.009920080645928092,-0.0009008191822355577,0.9104661656108812,-0.022735498102848035,0.01144461849455886,0.10885360590959724,0.16314167537677574,-0.04730672678430348,5.150172869391707,1.0
Advantix ,i-SHWAK V4 16T,Outdoor Air/Water,Inverter,R410a,4.6,2020-05-26,40.0,68.0,9.0,11,EN 14825,average,5515,9100,-0.009920080645928092,-0.0009008191822355577,0.9104661656108812,-0.022735498102848035,0.01144461849455886,0.10885360590959724,0.16314167537677574,-0.04730672678430348,5.150172869391707,1.0
Airwell Residential,PAC BT MB 10KW H11,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,67.0,11.0,17,EN 14825,average,5026,9700,-0.03475099371644669,0.006231796212323313,0.4499362564320718,-0.02860047766463452,0.014173102739983703,-0.039953889044477456,0.10380456288843028,-0.05490498472692128,5.534042879878394,1.0
Airwell Residential,PAC BT MB 12KW H11,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,,11.0,17,EN 14825,average,5026,9700,-0.04982197092109256,-0.006082819005201076,0.9930098840635216,-0.03597805494968753,0.009186122045332258,0.18089736203499931,0.1148683280460124,-0.0941987305401378,7.212292214156133,1.0
Airwell Residential,PAC BT MB 14KW H11,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,,13.0,17,EN 14825,average,5707,11700,-0.047650008415823786,-0.004784522264727635,0.9124395635019781,-0.03853260509995851,0.007949911263429692,0.237571549896816,0.15338465346247485,-0.10645986715035989,7.718961646174953,1.0
Airwell Residential,PAC BT MB 16KW H11,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,,14.0,17,EN 14825,average,6089,12300,-0.049652835889472204,-0.0068124865203444815,1.0085739058475554,-0.038666113171729986,0.007399512849564641,0.2656627461015734,0.1284654162368406,-0.09962179671735463,7.367370305330121,1.0
Airwell Residential,PAC BT MB 12KW H13,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,70.0,11.0,27,EN 14825,average,4922,9500,-0.04441869695029961,-0.006290127109115802,0.9993201376492724,-0.03500984233362581,0.00916103164831273,0.1826239852245429,0.15002872083711705,-0.11996586576959416,8.238726112899881,1.0
Airwell Residential,PAC BT MB 14KW H13,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,73.0,13.0,27,EN 14825,average,5743,11600,-0.04092951186658577,-0.0017980550826174812,0.7923459177405421,-0.03632832870765234,0.009163684997103079,0.18697335323883787,0.16445227441015384,-0.10497979814696896,7.656847600866524,1.0
Airwell Residential,PAC BT MB 16KW H13,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,73.0,14.0,27,EN 14825,average,5879,11700,-0.041880297250734756,-0.003831275686586653,0.893665757539249,-0.03621213297791627,0.008715683306056226,0.21343103718270576,0.16227374695209734,-0.09618142621802546,7.260778410229114,1.0
Airwell Residential,PAC BT MB 5KW H11,Outdoor Air/Water,Inverter,R410a,2.4,2018-07-30,,64.0,7.0,16,EN 14825,average,2950,5900,-0.02092279063168938,0.015549700080545013,0.01964103033200109,-0.018657938391940347,0.02143198928475063,-0.3631167625457534,0.13800044834496888,-0.11949569602896284,8.27591298178821,1.0
Airwell Residential,PAC BT MB 7KW H11,Outdoor Air/Water,Inverter,R410a,2.4,2018-07-30,,64.0,7.0,16,EN 14825,average,2950,5900,-0.04047127473472918,0.0008540914510767926,0.669493457771296,-0.03235355435841338,0.012097005100036303,0.05024187262586839,0.1500738560590693,-0.11891674815694367,8.237504721688206,1.0
Airwell Residential,PAC BT MB 9KW H11,Outdoor Air/Water,Inverter,R410a,2.4,2018-07-30,,,9.0,16,EN 14825,average,3889,7700,-0.04369959960215096,-0.0007055083299100302,0.7400251227548803,-0.04051017081398237,0.007113417357485894,0.27351541187263373,0.19122496704220576,-0.06593473043851344,6.039718974176186,1.0
Airwell Residential,PAC-BT-UE-10KW-H11,Outdoor Air/Water,Inverter,R410a,3.9,2019-09-11,35.0,70.0,15.03,19,EN 14825,average,5903,10920,-0.01894607297407124,-0.004850882981731102,1.0504825190784195,-0.02858260215210803,0.010947266550243969,0.15321182690912943,0.2303309254958171,-0.09230653257825006,7.194378818141972,1.0
Airwell Residential,PAC-BT-UE-12KW-H11,Outdoor Air/Water,Inverter,R410a,3.9,2019-09-11,35.0,69.0,11.94,19,EN 14825,average,4257,8600,-0.02098954953829926,-0.0066614018298259145,1.134716553144778,-0.029166399070337502,0.009410052538826248,0.21577416223062446,0.21469698230246761,-0.07678548656350728,6.879311662993614,1.0
Airwell Residential,PAC-BT-UE-14KW-H11,Outdoor Air/Water,Inverter,R410a,3.9,2019-09-11,35.0,67.0,9.7,19,EN 14825,average,4423,8580,-0.014785362615825578,0.00310370919762266,0.6201753156036631,-0.02497503027987836,0.013591004192472672,-0.01133480312222874,0.22385495236909936,-0.0860517310104116,7.130785919587049,1.0
Airwell Residential,PAC-BT-UE-16KW-H11,Outdoor Air/Water,Inverter,R410a,3.9,2019-09-11,35.0,70.0,15.12,19,EN 14825,average,5742,10680,-0.015478146305012541,-0.0003659991309749417,0.8512818667709843,-0.026754569409369596,0.013126980799862957,0.060156166008491586,0.25298156705427133,-0.09092085278896242,7.166218832036759,1.0
Airwell Residential,PAC-BT-UE-12KW-H13,Outdoor Air/Water,Inverter,R410a,3.9,2019-09-11,,,17.41,19,EN 14825,average,5941,12120,-0.016156156739746186,0.00034094363851296106,0.8059652132408922,-0.025963939089206228,0.013463109089696956,0.041393669753287815,0.2536038481285989,-0.09482679723039682,7.608307684091648,1.0
Airwell Residential,PAC-BT-UE-14KW-H13,Outdoor Air/Water,Inverter,R410a,3.9,2019-09-11,,,13.66,19,EN 14825,average,4872,9550,-0.016898144611264095,-0.0003246070833940129,0.8439929742717017,-0.02441507526182855,0.013828274128500012,0.024514708502667744,0.18958470248095402,-0.09105166518742852,7.2988545318139435,1.0
Airwell Residential,PAC-BT-UE-16KW-H13,Outdoor Air/Water,Inverter,R410a,3.9,2019-09-11,35.0,70.0,16.47,19,EN 14825,average,5602,11260,-0.016622396335022226,0.00042308251884010513,0.8101646769196021,-0.027325768619166264,0.013209240352492563,0.05765163252352818,0.282465779215105,-0.09239361031654068,7.512400127378277,1.0
Airwell Residential,PAC-BT-UE-4KW-H11,Outdoor Air/Water,Inverter,R410a,2.5,2019-09-11,35.0,60.0,3.02,17,EN 14825,average,1394,2620,-0.017992129686207746,-0.0221327021692711,1.8867611902070565,-0.035211455777810735,0.002143642754200916,0.5341291330789548,0.24620940886673473,-0.09812516865238756,7.742569741392245,1.0
Airwell Residential,PAC-BT-UE-6KW-H11,Outdoor Air/Water,Inverter,R410a,2.5,2019-09-11,35.0,62.0,5.39,17,EN 14825,average,2472,4770,-0.017376973629615655,-0.0013077819674564806,0.8206591088517458,-0.02338772957956264,0.012646740981962468,0.03481748038994532,0.1520026725734374,-0.08945987069986404,7.12942370130073,1.0
Airwell Residential,PAC-BT-UE-8KW-H11,Outdoor Air/Water,Inverter,R410a,2.8,2019-09-11,35.0,65.0,6.03,17,EN 14825,average,2994,5330,-0.01019900770439501,-0.000992203449861659,0.8430211565769291,-0.02603554632103487,0.0109409693056858,0.10317989484588298,0.21179740816913764,-0.08048814785397819,6.785489153202654,1.0
Airwell Residential,WELLEA MONOBLOC 12 KW 1PH,Outdoor Air/Water,Inverter,R32,2.8,2020-01-17,,68.0,13.0,9,EN 14825,average,5507,11290,-0.03612376370758758,0.004850087395363629,0.5055484426758993,-0.028534365262866714,0.014198483457171361,-0.02884177767327844,0.09060431644868412,-0.07377646990460575,6.28770104540041,1.0
Airwell Residential,WELLEA MONOBLOC 14 KW 1PH,Outdoor Air/Water,Inverter,R32,2.8,2020-01-17,,71.0,14.0,9,EN 14825,average,5941,12180,-0.042420310577667514,0.0003859461298561039,0.6998593612627484,-0.03334126805351758,0.011067245970943478,0.10568219794927647,0.09710533191780525,-0.07258069148673552,6.277592608020326,1.0
Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,Outdoor Air/Water,Inverter,R32,2.8,2020-01-17,,71.0,15.0,9,EN 14825,average,6324,12900,-0.048358572307086865,-0.004130223107905824,0.8960182441144956,-0.039047255898043615,0.007347179168162105,0.26665671230615917,0.11696358649796244,-0.07661039789291572,6.4391098748260855,1.0
