Manufacturer,Model,Titel,Date,Type,Subtype,Group,Rated Power low T [kW],Rated Power medium T [kW],Refrigerant,Mass of Refrigerant [kg],SPL indoor low Power [dBA],SPL outdoor low Power [dBA],SPL indoor high Power [dBA],SPL outdoor high Power [dBA],Bivalence temperature [°C],Tolerance temperature [°C],Max. water heating temperature [°C],Poff [W],PTOS [W],PSB [W],PCKS [W],eta low T [%],eta medium T [%],SCOP,SEER low T,SEER medium T,P_th_h_ref [W],P_th_c_ref [W],P_el_h_ref [W],P_el_c_ref [W],COP_ref,EER_c_ref,p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-],MAPE P_th,MAPE P_el,MAPE COP
 Acond a.s.,Acond PRO-N,Acond PRO-N,17.03.2022,Outdoor Air/Water,Regulated,1.0,5.29,5.14,R290,"1,350 kg",,,0.0,48,-10.0,-22.0,70.0,16.0,16.0,16.0,0.0,164.0,135.0,4.18,,,4540,,2064,,2.2,,-71.55804146406061,0.0107086155038718,0.0758942348376784,71.50890372513264,80.58700896955737,-0.0524499090590043,5.534958034425514,-80.49650680007827,,,,,80.58700896955737,-0.0524499090590043,5.534958034425514,-80.49650680007827,7.115389885825811,4.126135584444262,3.479832227163988
 Acond a.s.,Acond PRO-R,Acond PRO-R,17.03.2022,Outdoor Air/Water,Regulated,1.0,10.38,10.17,R290,"2,750 kg",,,0.0,49,-10.0,-22.0,70.0,16.0,16.0,16.0,0.0,199.0,154.0,5.05,,,9000,,3600,,2.5,,-71.55978917363649,0.0104736389076088,0.0772733891073769,71.5072098433348,248.37571556229543,-0.0812104849000503,7.247027479755549,-248.23797742809475,,,,,248.37571556229543,-0.0812104849000503,7.247027479755549,-248.23797742809475,9.870310928117602,5.93289134385183,7.070495404387855
 Advantix S.p.A.,i-32V5 06/08 A,i-32V506 A,05.08.2022,Outdoor Air/Water,Regulated,1.0,7.0,7.0,R32,"0,970 kg",,62,,62,-7.0,-20.0,60.0,22.0,22.0,22.0,0.0,175.0,126.0,4.46,4.42,,6000,5190.0,2765,1642.0,2.17,3.16,-278.6660969094984,0.0123151110492781,0.0076623281879133,278.6181706524371,-195.8519546002424,-0.0983598355834219,7.330756419067941,195.9509868596344,75.08409390999562,-0.0130666234575945,-1.141193964608594,-75.02207545624205,-195.8519546002424,-0.0983598355834219,7.330756419067941,195.9509868596344,17.823019209549052,12.875768013004219,11.467236783977924
 Advantix S.p.A.,i-32V5 06/08 A,i-32V508 A,05.08.2022,Outdoor Air/Water,Regulated,1.0,8.0,7.0,R32,"0,970 kg",,62,,62,-7.0,-20.0,60.0,22.0,22.0,22.0,0.0,175.0,128.0,4.46,4.51,,6600,6140.0,2986,1968.0,2.21,3.12,-253.01237785577376,0.0114637016334624,0.0406922845617597,252.9625946623673,-89.80394908040473,-0.0876803920519471,6.938204093862194,89.90310885801964,70.64492016041079,-0.0125111198686239,-1.161274182573074,-70.5825657484016,-89.80394908040473,-0.0876803920519471,6.938204093862194,89.90310885801964,13.79525091079379,9.456649044927586,9.350695065541387
 Advantix S.p.A.,i-32V5 06/08 A,i-32V5SL08 A,05.08.2022,Outdoor Air/Water,Regulated,1.0,8.0,7.0,R32,"0,970 kg",,53,,53,-7.0,-20.0,60.0,22.0,22.0,22.0,0.0,180.0,131.0,4.57,4.51,,6500,6140.0,2915,1968.0,2.23,3.12,-99.9913179544004,0.0113471327503228,0.0399659554374573,99.9405858757517,133.25190669665278,-0.0909585802974713,7.152766302387476,-133.14613953808703,70.64492016041079,-0.0125111198686239,-1.161274182573074,-70.5825657484016,133.25190669665278,-0.0909585802974713,7.152766302387476,-133.14613953808703,13.238478231843448,8.390622616741886,9.275055645704915
 Advantix S.p.A.,i-32V5 10/12,i-32V510,26.05.2020,Outdoor Air/Water,Regulated,1.0,9.0,9.0,R32,"2,500 kg",,62,,62,-7.0,-20.0,60.0,19.0,22.0,19.0,0.0,178.0,135.0,4.53,4.34,,8100,7530.0,3803,2390.0,2.13,3.15,246.71307970995184,0.0118193373370105,0.0314154996292977,-246.76062571574369,-2.5944198226415454,-0.0896861991876839,7.203657065478795,2.7577929887821013,73.9694673105229,-0.0141699428238165,-1.0863754659805207,-73.90861418876283,-2.5944198226415454,-0.0896861991876839,7.203657065478795,2.7577929887821013,11.990662822582443,7.76278341346788,11.880667103207493
 Advantix S.p.A.,i-32V5 10/12,i-32V512,26.05.2020,Outdoor Air/Water,Regulated,1.0,10.0,10.0,R32,"2,500 kg",,62,,62,-7.0,-20.0,60.0,19.0,22.0,19.0,0.0,176.0,131.0,4.47,4.43,,8500,8510.0,4087,2790.0,2.08,3.05,-71.55883009858661,0.0112583064112525,0.0392058379077349,71.50815675092741,-193.61484843929057,-0.095769503716414,7.310367666565379,193.7453367522429,68.41917323196746,-0.012648511330424,-1.1473979356980513,-68.3571987936482,-193.61484843929057,-0.095769503716414,7.310367666565379,193.7453367522429,11.364541204077453,8.710833620327145,12.560538147511387
 Advantix S.p.A.,i-32V5 10/12,i-32V5SL12,26.05.2020,Outdoor Air/Water,Regulated,1.0,10.0,10.0,R32,"2,500 kg",,53,,53,-7.0,-20.0,60.0,19.0,22.0,19.0,0.0,180.0,135.0,4.58,4.43,,8400,8510.0,4019,2790.0,2.09,3.05,-355.8832768369102,0.0117486809449921,0.0151448080343472,355.8328639565324,177.29663897964247,-0.0983696222404388,7.509103786414827,-177.15811018669368,68.41917323196746,-0.012648511330424,-1.1473979356980513,-68.3571987936482,177.29663897964247,-0.0983696222404388,7.509103786414827,-177.15811018669368,11.34836775590438,8.468874064805785,12.811403134581013
 Advantix S.p.A.,i-32V5 16/18,i-32V516,26.05.2020,Outdoor Air/Water,Regulated,1.0,14.0,13.0,R32,"4,000 kg",,66,,66,-7.0,-20.0,60.0,19.0,22.0,19.0,0.0,177.0,126.0,4.5,4.8,,11500,13800.0,5502,4381.0,2.09,3.15,101.34223596516898,0.0119839917535582,0.0237520542933997,-101.3907525855758,-71.45245036344222,-0.0983597108734422,7.42493970725912,71.60850065150782,70.64554912739666,-0.0108712251441932,-1.2285299144648467,-70.58193678141582,-71.45245036344222,-0.0983597108734422,7.42493970725912,71.60850065150782,11.329256151490798,6.247432197868259,13.850136471330455
 Advantix S.p.A.,i-32V5 16/18,i-32V518T,26.05.2020,Outdoor Air/Water,Regulated,1.0,15.0,14.0,R32,"4,000 kg",,66,,66,-7.0,-20.0,60.0,19.0,22.0,19.0,0.0,175.0,131.0,4.46,5.05,,12500,15040.0,6158,4883.0,2.03,3.08,212.76601647142093,0.0122021342301111,-0.0083822297213962,-212.8161502952157,106.23577945090072,-0.0892525403539123,7.072624560525166,-106.07851343117876,70.6459684926913,-0.0097526757258712,-1.2738254554925288,-70.58151741612112,106.23577945090072,-0.0892525403539123,7.072624560525166,-106.07851343117876,9.77273135770589,7.2260834442138595,11.680720127518148
 Advantix S.p.A.,i-32V5 16/18,i-32V5SL16,26.05.2020,Outdoor Air/Water,Regulated,1.0,13.0,13.0,R32,"4,000 kg",,53,,53,-7.0,-20.0,60.0,19.0,22.0,19.0,0.0,186.0,133.0,4.72,4.94,,11500,13800.0,5324,4381.0,2.16,3.15,-46.68433992498967,0.0121920065402956,0.0095341168460794,46.63559576899948,212.8571403160797,-0.1038062652888468,7.825145341405831,-212.68444110615508,70.64554912739666,-0.0108712251441932,-1.2285299144648467,-70.58193678141582,212.8571403160797,-0.1038062652888468,7.825145341405831,-212.68444110615508,11.215063840565811,6.783020573518202,14.306685389601746
 Advantix S.p.A.,i-32V5 MIDI 0121 -0126,i-32V5 MIDI 0121,07.06.2021,Outdoor Air/Water,Regulated,1.0,20.0,19.0,R32,"4,300 kg",,65,,65,-7.0,-20.0,60.0,22.0,22.0,22.0,0.0,165.0,122.0,4.2,4.44,,17000,17700.0,9140,5861.0,1.86,3.02,177.77839717257768,0.0121991600350454,-0.0151181647942684,-177.8302752687549,-75.8420536505599,-0.0797341236505389,6.432260189636181,75.98201088694586,72.8653957143212,-0.0122174666053317,-1.1606748070743889,-72.80323742119249,-75.8420536505599,-0.0797341236505389,6.432260189636181,75.98201088694586,14.831155962623434,9.990189834446292,10.086894670021826
 Advantix S.p.A.,i-32V5 MIDI 0128 -0132,i-32V5 MIDI 0128,07.06.2021,Outdoor Air/Water,Regulated,1.0,25.0,24.0,R32,"5,100 kg",,67,,67,-7.0,-20.0,60.0,22.0,22.0,22.0,0.0,169.0,126.0,4.29,4.76,,20800,24200.0,10777,7987.0,1.93,3.03,241.19775559400267,0.011708154001911,0.0110528440923766,-241.24934927673024,193.9609839167861,-0.0793486153162979,6.525601883497198,-193.8179104898996,66.2257697304,-0.0106082673081746,-1.2561919257244183,-66.16139307843387,193.9609839167861,-0.0793486153162979,6.525601883497198,-193.8179104898996,15.443677860332897,10.972841766173378,8.950091414820996
 Advantix S.p.A.,i-32V5 MIDI 0128 -0132,i-32V5 MIDI 0132,07.06.2021,Outdoor Air/Water,Regulated,1.0,24.0,25.0,R32,"5,100 kg",,67,,67,-7.0,-20.0,60.0,22.0,22.0,22.0,0.0,158.0,122.0,4.02,4.81,,21700,26000.0,11421,8638.0,1.9,3.01,-128.25366701225573,0.012807035389897,-0.0303479803970141,128.20474001168043,217.28108833585168,-0.0711264800151865,6.063943709304633,-217.1379371510884,70.64588034284834,-0.0104768729198048,-1.255501061160262,-70.58160556596407,217.28108833585168,-0.0711264800151865,6.063943709304633,-217.1379371510884,16.568035956468844,12.617216647482804,9.781850163010603
 Advantix S.p.A.,i-32V514,i-32V514,26.05.2020,Outdoor Air/Water,Regulated,1.0,12.0,12.0,R32,"3,600 kg",,66,,66,-7.0,-20.0,60.0,19.0,22.0,19.0,0.0,176.0,130.0,4.48,4.77,,10300,11480.0,4905,3532.0,2.1,3.25,-77.92423631707211,0.0123056012964277,0.0061433797877721,77.87698334242259,-90.05558406583387,-0.0981360877186726,7.460515554297047,90.20891624986793,65.13231870375795,-0.0126019691894406,-1.147448799443412,-65.07037056152032,-90.05558406583387,-0.0981360877186726,7.460515554297047,90.20891624986793,17.594241141956864,11.885202036249638,13.56076493664951
 Advantix S.p.A.,i-HPV5H 0140,i-HPV5H 0140,25.02.2022,Outdoor Air/Water,Regulated,1.0,31.0,29.0,R32,"6,500 kg",,74,,74,-7.0,-10.0,58.0,22.0,22.0,22.0,38.0,167.0,126.0,4.25,4.8,,25800,29600.0,15000,9548.0,1.72,3.1,176.3127008476281,0.012870082086624,-0.0407245597203792,-176.3627171612792,221.75438744039005,-0.0624195233505112,5.924344550773332,-221.5472225970247,68.42496364613869,-0.0124469906146244,-1.146944504893513,-68.36312539222793,221.75438744039005,-0.0624195233505112,5.924344550773332,-221.5472225970247,20.578694319008996,14.940652224489881,10.827542208671044
 Advantix S.p.A.,i-HPV5H 0260,i-HPV5H 0260,25.02.2022,Outdoor Air/Water,Regulated,1.0,47.0,47.0,R32,"11,700 kg",,80,,80,-7.0,-10.0,58.0,22.0,22.0,22.0,76.0,154.0,120.0,3.92,4.86,,41300,48000.0,26645,15484.0,1.55,3.1,-71.558109597313,0.0132901188376611,-0.0561366141675264,71.50889998321527,-71.40834162432655,-0.0546780710429608,5.468594893287979,71.64397420575229,68.42677998230808,-0.0133505793430998,-1.094740471909337,-68.36613958244014,-71.40834162432655,-0.0546780710429608,5.468594893287979,71.64397420575229,19.151628925979047,22.897012545191913,13.591030731412227
 Advantix S.p.A.,i-HPV5H 0270,i-HPV5H 0270,25.02.2022,Outdoor Air/Water,Regulated,1.0,49.0,51.0,R32,"12,000 kg",,81,,81,-7.0,-10.0,58.0,22.0,22.0,22.0,76.0,155.0,120.0,3.94,4.85,,45500,53200.0,29355,17674.0,1.55,3.01,241.19702403146505,0.0129047856840719,-0.0714684593727058,-241.25015075483017,-89.74237866830572,-0.0583583127915662,5.556524376463527,89.95760511173977,34.84551438565921,-0.0126053921395872,-1.1321421986863869,-34.7840744433538,-89.74237866830572,-0.0583583127915662,5.556524376463527,89.95760511173977,20.073822738816062,14.272590739284084,11.04385971742396
 Advantix S.p.A.,i-SHWAK V4 06,i-SHWAK V4 06,26.05.2020,Outdoor Air/Water,Regulated,1.0,5.0,4.0,R410A,"2,680 kg",35.0,64,35.0,64,-7.0,-10.0,39.0,0.0,11.0,11.0,0.0,151.0,119.0,3.86,3.82,,4500,5070.0,2866,1742.0,1.57,2.91,255.16615195455165,0.0126862087400178,-0.0519982471799114,-255.2163760233149,-40.3607005486704,-0.042594098129816,4.862191860731595,40.502337728959205,70.64059065067403,-0.0168527545433225,-0.823355619491526,-70.58689525874846,-40.3607005486704,-0.042594098129816,4.862191860731595,40.502337728959205,24.89766594594193,22.60765790433389,9.244852117632531
 Advantix S.p.A.,i-SHWAK V4 08,i-SHWAK V4 08,26.05.2020,Outdoor Air/Water,Regulated,1.0,6.0,5.0,R410A,"2,200 kg",35.0,64,35.0,64,-7.0,-10.0,39.0,0.0,11.0,11.0,0.0,155.0,124.0,3.94,3.84,,5000,6120.0,2907,2110.0,1.72,2.9,158.36500460411662,0.0129307825928906,-0.0433185986053502,-158.41476479201083,221.7222378400974,-0.0392428209036025,4.806830957325336,-221.5766261033884,71.75252977885694,-0.0149111861285807,-0.9831362199692276,-71.69467320495532,221.7222378400974,-0.0392428209036025,4.806830957325336,-221.5766261033884,23.693851911020282,21.795154505701763,7.122293013839794
 Advantix S.p.A.,i-SHWAK V4 10/12,i-SHWAK V4 10,26.05.2020,Outdoor Air/Water,Regulated,1.0,6.0,6.0,R410A,"3,450 kg",39.0,64,39.0,64,-7.0,-10.0,39.0,0.0,11.0,11.0,0.0,161.0,123.0,4.1,4.91,,5500,7560.0,3333,2431.0,1.65,3.11,134.1534090539963,0.0117896405030152,0.0246631076941517,-134.20101134610115,212.8524411073512,-0.0730518357550012,6.208804527937192,-212.6824836648456,71.75292443119153,-0.0132510986516129,-1.036111214138123,-71.69429812655106,212.8524411073512,-0.0730518357550012,6.208804527937192,-212.6824836648456,25.851553465043217,22.45692419926037,8.341952686592503
