"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","ASH-65CHW/FR","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","14.46","4","10","0","2","0"
"","EN14511_2_001","18.29","5","10","0","2","0"
"","EN14511_2_002","3.63","4","10","0","2","0"
"","EN14511_2_002","7.27","5","10","0","2","0"
"","EN14511_2_003","3.98","4","10","0","2","0"
"","EN14511_2_003","2.52","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","42","4","3","0","2","0"
"","EN12102_1_001","46","5","3","0","2","0"
"","EN12102_1_002","69","4","3","0","2","0"
"","EN12102_1_002","71","5","3","0","2","0"
"","EN14825_001","180","4","3","0","2","0"
"","EN14825_001","133","5","3","0","2","0"
"","EN14825_002","14.73","4","3","0","2","0"
"","EN14825_002","14.58","5","3","0","2","0"
"","EN14825_003","4.56","4","3","0","2","0"
"","EN14825_003","3.39","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-25","4","3","0","2","0"
"","EN14825_005","-25","5","3","0","2","0"
"","EN14825_008","13.03","4","3","0","2","0"
"","EN14825_008","12.90","5","3","0","2","0"
"","EN14825_009","3.11","4","3","0","2","0"
"","EN14825_009","2.09","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","8.15","4","3","0","2","0"
"","EN14825_010","7.90","5","3","0","2","0"
"","EN14825_011","4.60","4","3","0","2","0"
"","EN14825_011","3.38","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","5.29","4","3","0","2","0"
"","EN14825_012","5.40","5","3","0","2","0"
"","EN14825_013","5.33","4","3","0","2","0"
"","EN14825_013","4.23","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","6.28","4","3","0","2","0"
"","EN14825_014","5.99","5","3","0","2","0"
"","EN14825_015","7.52","4","3","0","2","0"
"","EN14825_015","6.29","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","13.03","4","3","0","2","0"
"","EN14825_016","12.90","5","3","0","2","0"
"","EN14825_017","3.11","4","3","0","2","0"
"","EN14825_017","2.09","5","3","0","2","0"
"","EN14825_018","14.63","4","3","0","2","0"
"","EN14825_018","14.50","5","3","0","2","0"
"","EN14825_019","2.77","4","3","0","2","0"
"","EN14825_019","2.04","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","10","4","3","0","2","0"
"","EN14825_023","10","5","3","0","2","0"
"","EN14825_024","36","4","3","0","2","0"
"","EN14825_024","36","5","3","0","2","0"
"","EN14825_025","10","4","3","0","2","0"
"","EN14825_025","10","5","3","0","2","0"
"","EN14825_026","50","4","3","0","2","0"
"","EN14825_026","50","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.10","4","3","0","2","0"
"","EN14825_028","0.08","5","3","0","2","0"
"","EN14825_029","6670","4","3","0","2","0"
"","EN14825_029","8875","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","2,300 kg","0","0","0","0"
"","Date","12.01.2024","0","0","0","0"
"","Manufacturer"," AOKOL Environment Technology Co., Ltd.","0","0","0","0"
"","Modelname","Split Type EVI DC Inverter Air to Water Heat Pump- R32- 65","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
