"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"i-290 0250","title","i-290 0250","0","0","0","1","0"
"i-290 0250","application","2","0","0","0","1","0"
"i-290 0250","indoor","0","0","0","0","1","0"
"i-290 0250","outdoor","1","0","0","0","1","0"
"i-290 0250","coolingMode7c12c","1","0","0","0","1","0"
"i-290 0250","coolingMode18c23c","0","0","0","0","1","0"
"i-290 0250","colderClimate","0","0","0","0","1","0"
"i-290 0250","warmerClimate","0","0","0","0","1","0"
"i-290 0250","reversibility","1","0","0","0","1","0"
"i-290 0250","colderForHeating","0","0","0","0","1","0"
"i-290 0250","warmerForHeating","0","0","0","0","1","0"
"i-290 0250","en145112Certification","0","0","0","0","1","0"
"i-290 0250","heatSource","0","0","0","0","1","0"
"i-290 0250","additionalOutdoorAir","0","0","0","0","1","0"
"i-290 0250","additionalExhaustAir","0","0","0","0","1","0"
"i-290 0250","additionalIndoorAir","0","0","0","0","1","0"
"i-290 0250","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"i-290 0250","powerSupply","3","0","0","0","1","0"
"i-290 0250","offPeakProduct","0","0","0","0","1","0"
"i-290 0250","EN14511_2_001","50.00","4","10","0","2","0"
"i-290 0250","EN14511_2_001","47.90","5","10","0","2","0"
"i-290 0250","EN14511_2_002","11.00","6","4","0","2","0"
"i-290 0250","EN14511_2_002","11.90","4","10","0","2","0"
"i-290 0250","EN14511_2_002","16.50","5","10","0","2","0"
"i-290 0250","EN14511_2_003","4.20","4","10","0","2","0"
"i-290 0250","EN14511_2_003","2.90","5","10","0","2","0"
"i-290 0250","EN14511_2_005","34.10","6","4","0","2","0"
"i-290 0250","EN14511_2_007","3.10","6","4","0","2","0"
"i-290 0250","EN14511_4_003","2","0","10","0","2","0"
"i-290 0250","EN14511_4_004","2","0","10","0","2","0"
"i-290 0250","EN14511_4_005","2","0","10","0","2","0"
"i-290 0250","EN14511_4_006","2","0","10","0","2","0"
"i-290 0250","EN12102_1_002","75","4","3","0","2","0"
"i-290 0250","EN12102_1_002","75","5","3","0","2","0"
"i-290 0250","EN14825_001","165","4","3","0","2","0"
"i-290 0250","EN14825_001","131","5","3","0","2","0"
"i-290 0250","EN14825_002","43.00","4","3","0","2","0"
"i-290 0250","EN14825_002","44.00","5","3","0","2","0"
"i-290 0250","EN14825_003","4.20","4","3","0","2","0"
"i-290 0250","EN14825_003","3.34","5","3","0","2","0"
"i-290 0250","EN14825_004","-7","4","3","0","2","0"
"i-290 0250","EN14825_004","-7","5","3","0","2","0"
"i-290 0250","EN14825_005","-10","4","3","0","2","0"
"i-290 0250","EN14825_005","-10","5","3","0","2","0"
"i-290 0250","EN14825_008","38.20","4","3","0","2","0"
"i-290 0250","EN14825_008","39.10","5","3","0","2","0"
"i-290 0250","EN14825_009","2.53","4","3","0","2","0"
"i-290 0250","EN14825_009","1.94","5","3","0","2","0"
"i-290 0250","EN14825_047","1.000","4","3","0","2","0"
"i-290 0250","EN14825_047","1.000","5","3","0","2","0"
"i-290 0250","EN14825_010","23.50","4","3","0","2","0"
"i-290 0250","EN14825_010","23.80","5","3","0","2","0"
"i-290 0250","EN14825_011","3.88","4","3","0","2","0"
"i-290 0250","EN14825_011","3.15","5","3","0","2","0"
"i-290 0250","EN14825_048","1.000","4","3","0","2","0"
"i-290 0250","EN14825_048","1.000","5","3","0","2","0"
"i-290 0250","EN14825_012","20.30","4","3","0","2","0"
"i-290 0250","EN14825_012","19.40","5","3","0","2","0"
"i-290 0250","EN14825_013","6.30","4","3","0","2","0"
"i-290 0250","EN14825_013","4.84","5","3","0","2","0"
"i-290 0250","EN14825_049","1.000","4","3","0","2","0"
"i-290 0250","EN14825_049","1.000","5","3","0","2","0"
"i-290 0250","EN14825_014","23.20","4","3","0","2","0"
"i-290 0250","EN14825_014","22.40","5","3","0","2","0"
"i-290 0250","EN14825_015","7.31","4","3","0","2","0"
"i-290 0250","EN14825_015","6.20","5","3","0","2","0"
"i-290 0250","EN14825_050","1.000","4","3","0","2","0"
"i-290 0250","EN14825_050","1.000","5","3","0","2","0"
"i-290 0250","EN14825_016","38.20","4","3","0","2","0"
"i-290 0250","EN14825_016","39.10","5","3","0","2","0"
"i-290 0250","EN14825_017","2.53","4","3","0","2","0"
"i-290 0250","EN14825_017","1.94","5","3","0","2","0"
"i-290 0250","EN14825_018","34.70","4","3","0","2","0"
"i-290 0250","EN14825_018","34.70","5","3","0","2","0"
"i-290 0250","EN14825_019","2.18","4","3","0","2","0"
"i-290 0250","EN14825_019","1.66","5","3","0","2","0"
"i-290 0250","EN14825_021","1.000","4","3","0","2","0"
"i-290 0250","EN14825_021","1.000","5","3","0","2","0"
"i-290 0250","EN14825_030","34.10","6","4","0","2","0"
"i-290 0250","EN14825_031","4.80","6","4","0","2","0"
"i-290 0250","EN14825_032","34.10","6","4","0","2","0"
"i-290 0250","EN14825_033","3.10","6","4","0","2","0"
"i-290 0250","EN14825_052","1.000","6","4","0","2","0"
"i-290 0250","EN14825_034","24.00","6","4","0","2","0"
"i-290 0250","EN14825_035","4.12","6","4","0","2","0"
"i-290 0250","EN14825_053","1.000","6","4","0","2","0"
"i-290 0250","EN14825_036","16.10","6","4","0","2","0"
"i-290 0250","EN14825_037","5.24","6","4","0","2","0"
"i-290 0250","EN14825_054","1.000","6","4","0","2","0"
"i-290 0250","EN14825_038","16.60","6","4","0","2","0"
"i-290 0250","EN14825_039","6.05","6","4","0","2","0"
"i-290 0250","EN14825_055","1.000","6","4","0","2","0"
"i-290 0250","EN14825_022","78","4","3","0","2","0"
"i-290 0250","EN14825_022","78","5","3","0","2","0"
"i-290 0250","EN14825_023","22","4","3","0","2","0"
"i-290 0250","EN14825_023","22","5","3","0","2","0"
"i-290 0250","EN14825_023","22","6","4","0","2","0"
"i-290 0250","EN14825_024","22","4","3","0","2","0"
"i-290 0250","EN14825_024","22","5","3","0","2","0"
"i-290 0250","EN14825_024","0","6","4","0","2","0"
"i-290 0250","EN14825_025","22","4","3","0","2","0"
"i-290 0250","EN14825_025","22","5","3","0","2","0"
"i-290 0250","EN14825_025","28","6","4","0","2","0"
"i-290 0250","EN14825_026","0","4","3","0","2","0"
"i-290 0250","EN14825_026","0","5","3","0","2","0"
"i-290 0250","EN14825_026","0","6","4","0","2","0"
"i-290 0250","EN14825_027","0","4","3","0","2","0"
"i-290 0250","EN14825_027","0","5","3","0","2","0"
"i-290 0250","EN14825_028","8.30","4","3","0","2","0"
"i-290 0250","EN14825_028","9.30","5","3","0","2","0"
"i-290 0250","EN14825_029","21240","4","3","0","2","0"
"i-290 0250","EN14825_029","27332","5","3","0","2","0"
"i-290 0250","EN14825_041","4259","6","4","0","2","0"
"i-290 0250","title","i-290 0250-PS","0","0","0","1","0"
"i-290 0250","application","2","0","0","0","1","0"
"i-290 0250","indoor","0","0","0","0","1","0"
"i-290 0250","outdoor","1","0","0","0","1","0"
"i-290 0250","coolingMode7c12c","1","0","0","0","1","0"
"i-290 0250","coolingMode18c23c","0","0","0","0","1","0"
"i-290 0250","colderClimate","0","0","0","0","1","0"
"i-290 0250","warmerClimate","0","0","0","0","1","0"
"i-290 0250","reversibility","1","0","0","0","1","0"
"i-290 0250","colderForHeating","0","0","0","0","1","0"
"i-290 0250","warmerForHeating","0","0","0","0","1","0"
"i-290 0250","en145112Certification","0","0","0","0","1","0"
"i-290 0250","heatSource","0","0","0","0","1","0"
"i-290 0250","additionalOutdoorAir","0","0","0","0","1","0"
"i-290 0250","additionalExhaustAir","0","0","0","0","1","0"
"i-290 0250","additionalIndoorAir","0","0","0","0","1","0"
"i-290 0250","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"i-290 0250","powerSupply","3","0","0","0","1","0"
"i-290 0250","offPeakProduct","0","0","0","0","1","0"
"i-290 0250","EN14511_2_001","50.10","4","10","0","2","0"
"i-290 0250","EN14511_2_001","47.90","5","10","0","2","0"
"i-290 0250","EN14511_2_002","11.00","6","4","0","2","0"
"i-290 0250","EN14511_2_002","11.90","4","10","0","2","0"
"i-290 0250","EN14511_2_002","16.50","5","10","0","2","0"
