"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"NIMBUS PLUS-H 35 S NET R32","title","NIMBUS PLUS-H 35 S NET R32 ","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","application","2","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","indoor","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","outdoor","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","coolingMode7c12c","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","coolingMode18c23c","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","colderClimate","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","warmerClimate","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","reversibility","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","colderForHeating","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","warmerForHeating","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","en145112Certification","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","heatSource","0","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","additionalOutdoorAir","0","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","additionalExhaustAir","0","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","additionalIndoorAir","0","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","powerSupply","1","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","offPeakProduct","0","0","0","0","1","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_001","3.50","4","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_001","2.95","5","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_002","1.03","6","4","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_002","0.77","7","4","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_002","0.69","4","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_002","1.09","5","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_003","5.10","4","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_003","2.70","5","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_005","3.50","6","4","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_005","4.08","7","4","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_007","3.40","6","4","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_2_007","5.29","7","4","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_4_003","2","0","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_4_004","2","0","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_4_005","2","0","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14511_4_006","2","0","10","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_001","35","4","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_001","35","5","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_001","35","4","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_001","35","5","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_001","35","4","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_001","35","5","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_002","52","4","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_002","52","5","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_002","52","4","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_002","52","5","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_002","52","4","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN12102_1_002","52","5","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_043","2.84","4","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_043","2.35","5","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_043","7.75","4","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_043","7.43","5","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_043","5.20","4","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_043","4.63","5","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_001","240","4","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_001","137","5","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_001","151","4","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_001","120","5","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_001","193","4","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_001","134","5","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_002","2.80","4","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_002","2.35","5","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_002","7.75","4","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_002","7.43","5","2","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_002","5.20","4","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_002","4.63","5","3","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_003","6.06","4","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_003","3.50","5","1","0","2","0"
"NIMBUS PLUS-H 35 S NET R32","EN14825_003","3.85","4","2","0","2","0"
