"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Platinum BC V200 4 iR32","0","0","0","1","0"
"1","application","4","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","1","0","0","0","1","0"
"1","coolingMode18c23c","1","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","4.25","4","10","0","2","0"
"1","EN14511_2_001","4.40","5","10","0","2","0"
"1","EN14511_2_002","4.76","6","4","0","2","0"
"1","EN14511_2_002","4.64","7","4","0","2","0"
"1","EN14511_2_002","0.82","4","10","0","2","0"
"1","EN14511_2_002","1.49","5","10","0","2","0"
"1","EN14511_2_003","5.20","4","10","0","2","0"
"1","EN14511_2_003","2.95","5","10","0","2","0"
"1","EN14511_2_005","1.32","6","4","0","2","0"
"1","EN14511_2_005","0.84","7","4","0","2","0"
"1","EN14511_2_007","3.60","6","4","0","2","0"
"1","EN14511_2_007","5.50","7","4","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","33","4","3","0","2","0"
"1","EN12102_1_001","33","5","3","0","2","0"
"1","EN12102_1_002","52","4","3","0","2","0"
"1","EN12102_1_002","52","5","3","0","2","0"
"1","EN14825_001","193","4","3","0","2","0"
"1","EN14825_001","132","5","3","0","2","0"
"1","EN14825_002","5.52","4","3","0","2","0"
"1","EN14825_002","4.40","5","3","0","2","0"
"1","EN14825_003","4.90","4","3","0","2","0"
