"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"2","title","Compress CS5001DW 200","0","0","0","1","0"
"2","application","0","0","0","0","1","0"
"2","indoor","1","0","0","0","1","0"
"2","outdoor","0","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","0","0","0","0","1","0"
"2","reversibility","0","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","0","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","1","0","0","0","1","0"
"2","additionalOutdoorAir","1","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","1","0","0","0","1","0"
"2","offPeakProduct","2","0","0","0","1","0"
"2","EN12102_2_001","56","0","3","0","2","0"
"2","EN16147_001","L","0","3","0","2","0"
"2","EN16147_002","120","0","3","0","2","0"
"2","EN16147_003","3.00","0","3","0","2","0"
"2","EN16147_004","7:45","0","3","0","2","0"
"2","EN16147_005","35.0","0","3","0","2","0"
"2","EN16147_006","54.0","0","3","0","2","0"
"2","EN16147_007","283","0","3","0","2","0"
"2","EN16147_008","2","0","5","0","2","0"
"2","EN16147_009","2","0","5","0","2","0"
"2","EN16147_010","2","0","5","0","2","0"
"1","title","Compress CS5001DW 200 C","0","0","0","1","0"
"1","application","0","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","0","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","0","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","1","0","0","0","1","0"
"1","additionalOutdoorAir","1","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","2","0","0","0","1","0"
"1","EN12102_2_001","56","0","3","0","2","0"
"1","EN16147_001","L","0","3","0","2","0"
"1","EN16147_002","120","0","3","0","2","0"
"1","EN16147_003","3.00","0","3","0","2","0"
"1","EN16147_004","7:45","0","3","0","2","0"
"1","EN16147_005","35.0","0","3","0","2","0"
"1","EN16147_006","54.0","0","3","0","2","0"
"1","EN16147_007","263","0","3","0","2","0"
"1","EN16147_008","2","0","5","0","2","0"
"1","EN16147_009","2","0","5","0","2","0"
"1","EN16147_010","2","0","5","0","2","0"
"","Refrigerant","R513A","0","0","0","0"
"","Mass of Refrigerant","1,100 kg","0","0","0","0"
"","Date","26.08.2022","0","0","0","0"
"","Manufacturer"," Bosch Thermotechnik GmbH","0","0","0","0"
"","Modelname","CS5001DW 200","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
