"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","DVI BW-407-9","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","0","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","10.15","4","10","0","2","0"
"","EN14511_2_001","9.31","5","10","0","2","0"
"","EN14511_2_002","2.23","4","10","0","2","0"
"","EN14511_2_002","3.06","5","10","0","2","0"
"","EN14511_2_003","4.55","4","10","0","2","0"
"","EN14511_2_003","3.04","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","56","4","3","0","2","0"
"","EN12102_1_001","56","5","3","0","2","0"
"","EN14825_001","186","4","3","0","2","0"
"","EN14825_001","143","5","3","0","2","0"
"","EN14825_002","11.51","4","3","0","2","0"
"","EN14825_002","10.66","5","3","0","2","0"
"","EN14825_003","4.85","4","3","0","2","0"
"","EN14825_003","3.77","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.18","4","3","0","2","0"
"","EN14825_008","9.43","5","3","0","2","0"
"","EN14825_009","4.60","4","3","0","2","0"
"","EN14825_009","3.17","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","10.26","4","3","0","2","0"
"","EN14825_010","9.72","5","3","0","2","0"
"","EN14825_011","4.83","4","3","0","2","0"
"","EN14825_011","3.75","5","3","0","2","0"
"","EN14825_048","0.999","4","3","0","2","0"
"","EN14825_048","0.999","5","3","0","2","0"
"","EN14825_012","10.37","4","3","0","2","0"
"","EN14825_012","9.90","5","3","0","2","0"
"","EN14825_013","5.07","4","3","0","2","0"
"","EN14825_013","4.14","5","3","0","2","0"
"","EN14825_049","0.999","4","3","0","2","0"
"","EN14825_049","0.999","5","3","0","2","0"
"","EN14825_014","10.49","4","3","0","2","0"
"","EN14825_014","10.07","5","3","0","2","0"
"","EN14825_015","5.31","4","3","0","2","0"
"","EN14825_015","4.57","5","3","0","2","0"
"","EN14825_050","0.999","4","3","0","2","0"
"","EN14825_050","0.999","5","3","0","2","0"
"","EN14825_016","10.18","4","3","0","2","0"
"","EN14825_016","9.43","5","3","0","2","0"
"","EN14825_017","4.60","4","3","0","2","0"
"","EN14825_017","3.17","5","3","0","2","0"
"","EN14825_018","10.15","4","3","0","2","0"
"","EN14825_018","9.31","5","3","0","2","0"
"","EN14825_019","4.55","4","3","0","2","0"
"","EN14825_019","3.04","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","55","4","3","0","2","0"
"","EN14825_022","55","5","3","0","2","0"
"","EN14825_023","3","4","3","0","2","0"
"","EN14825_023","3","5","3","0","2","0"
"","EN14825_024","10","4","3","0","2","0"
"","EN14825_024","10","5","3","0","2","0"
"","EN14825_025","10","4","3","0","2","0"
"","EN14825_025","10","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.26","4","3","0","2","0"
"","EN14825_028","1.25","5","3","0","2","0"
"","EN14825_029","4904","4","3","0","2","0"
"","EN14825_029","5836","5","3","0","2","0"
"","Refrigerant","R407c","0","0","0","0"
"","Mass of Refrigerant","1,500 kg","0","0","0","0"
"","Date","09.05.2024","0","0","0","0"
"","Manufacturer"," DVI Energi A/S","0","0","0","0"
"","Modelname","DVI BW-407-9","0","0","0","0"
"","Type","Brine/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
