"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","AQUATOP T22H","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","0","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","2","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_001","2","0","10","0","2","0"
"","EN14511_4_001","2","0","10","0","2","2"
"","EN14511_4_001","2","0","10","0","2","3"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","0"
"","EN14511_4_002","2","0","10","0","2","2"
"","EN14511_4_002","2","0","10","0","2","3"
"","EN14511_2_001","21.00","4","10","0","2","0"
"","EN14511_2_001","25.90","4","10","0","2","0"
"","EN14511_2_001","21.00","4","10","0","2","2"
"","EN14511_2_001","25.90","4","10","0","2","3"
"","EN14511_2_001","20.40","5","10","0","2","0"
"","EN14511_2_001","25.60","5","10","0","2","0"
"","EN14511_2_001","20.40","5","10","0","2","2"
"","EN14511_2_001","25.60","5","10","0","2","3"
"","EN14511_2_002","4.60","4","10","0","2","0"
"","EN14511_2_002","4.70","4","10","0","2","0"
"","EN14511_2_002","4.60","4","10","0","2","2"
"","EN14511_2_002","4.70","4","10","0","2","3"
"","EN14511_2_002","7.00","5","10","0","2","0"
"","EN14511_2_002","7.30","5","10","0","2","0"
"","EN14511_2_002","7.00","5","10","0","2","2"
"","EN14511_2_002","7.30","5","10","0","2","3"
"","EN14511_2_003","4.60","4","10","0","2","0"
"","EN14511_2_003","5.50","4","10","0","2","0"
"","EN14511_2_003","4.60","4","10","0","2","2"
"","EN14511_2_003","5.50","4","10","0","2","3"
"","EN14511_2_003","2.90","5","10","0","2","0"
"","EN14511_2_003","3.90","5","10","0","2","0"
"","EN14511_2_003","2.90","5","10","0","2","2"
"","EN14511_2_003","3.90","5","10","0","2","3"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","2"
"","EN14511_4_003","2","0","10","0","2","3"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","2"
"","EN14511_4_004","2","0","10","0","2","3"
"","EN12102_1_001","54","4","1","0","2","0"
"","EN12102_1_001","54","4","1","0","2","0"
"","EN12102_1_001","54","4","1","0","2","2"
"","EN12102_1_001","54","4","1","0","2","3"
"","EN12102_1_001","54","5","1","0","2","0"
"","EN12102_1_001","54","5","1","0","2","0"
"","EN12102_1_001","54","5","1","0","2","2"
"","EN12102_1_001","54","5","1","0","2","3"
"","EN12102_1_001","54","4","2","0","2","0"
"","EN12102_1_001","54","4","2","0","2","0"
"","EN12102_1_001","54","4","2","0","2","2"
"","EN12102_1_001","54","4","2","0","2","3"
"","EN12102_1_001","54","5","2","0","2","0"
"","EN12102_1_001","54","5","2","0","2","0"
"","EN12102_1_001","54","5","2","0","2","2"
"","EN12102_1_001","54","5","2","0","2","3"
"","EN12102_1_001","54","4","3","0","2","0"
"","EN12102_1_001","54","4","3","0","2","0"
"","EN12102_1_001","54","4","3","0","2","2"
"","EN12102_1_001","54","4","3","0","2","3"
"","EN12102_1_001","54","5","3","0","2","0"
"","EN12102_1_001","54","5","3","0","2","0"
"","EN12102_1_001","54","5","3","0","2","2"
"","EN12102_1_001","54","5","3","0","2","3"
"","EN14825_001","202","4","1","0","2","0"
"","EN14825_001","241","4","1","0","2","0"
"","EN14825_001","202","4","1","0","2","2"
"","EN14825_001","241","4","1","0","2","3"
"","EN14825_001","169","5","1","0","2","0"
"","EN14825_001","195","5","1","0","2","0"
"","EN14825_001","169","5","1","0","2","2"
"","EN14825_001","195","5","1","0","2","3"
"","EN14825_001","206","4","2","0","2","0"
"","EN14825_001","244","4","2","0","2","0"
"","EN14825_001","206","4","2","0","2","2"
"","EN14825_001","244","4","2","0","2","3"
"","EN14825_001","174","5","2","0","2","0"
"","EN14825_001","197","5","2","0","2","0"
"","EN14825_001","174","5","2","0","2","2"
"","EN14825_001","197","5","2","0","2","3"
"","EN14825_001","201","4","3","0","2","0"
"","EN14825_001","240","4","3","0","2","0"
"","EN14825_001","201","4","3","0","2","2"
"","EN14825_001","240","4","3","0","2","3"
"","EN14825_001","167","5","3","0","2","0"
"","EN14825_001","193","5","3","0","2","0"
"","EN14825_001","167","5","3","0","2","2"
"","EN14825_001","193","5","3","0","2","3"
"","EN14825_002","21.00","4","1","0","2","0"
"","EN14825_002","26.00","4","1","0","2","0"
"","EN14825_002","21.00","4","1","0","2","2"
"","EN14825_002","26.00","4","1","0","2","3"
"","EN14825_002","20.00","5","1","0","2","0"
"","EN14825_002","26.00","5","1","0","2","0"
"","EN14825_002","20.00","5","1","0","2","2"
"","EN14825_002","26.00","5","1","0","2","3"
"","EN14825_002","21.00","4","2","0","2","0"
"","EN14825_002","26.00","4","2","0","2","0"
"","EN14825_002","21.00","4","2","0","2","2"
"","EN14825_002","26.00","4","2","0","2","3"
"","EN14825_002","20.00","5","2","0","2","0"
"","EN14825_002","26.00","5","2","0","2","0"
"","EN14825_002","20.00","5","2","0","2","2"
"","EN14825_002","26.00","5","2","0","2","3"
"","EN14825_002","21.00","4","3","0","2","0"
"","EN14825_002","26.00","4","3","0","2","0"
"","EN14825_002","21.00","4","3","0","2","2"
"","EN14825_002","26.00","4","3","0","2","3"
"","EN14825_002","20.00","5","3","0","2","0"
"","EN14825_002","26.00","5","3","0","2","0"
"","EN14825_002","20.00","5","3","0","2","2"
"","EN14825_002","26.00","5","3","0","2","3"
"","EN14825_003","5.25","4","1","0","2","0"
"","EN14825_003","6.22","4","1","0","2","0"
"","EN14825_003","5.25","4","1","0","2","2"
"","EN14825_003","6.22","4","1","0","2","3"
"","EN14825_003","4.42","5","1","0","2","0"
"","EN14825_003","5.08","5","1","0","2","0"
"","EN14825_003","4.42","5","1","0","2","2"
"","EN14825_003","5.08","5","1","0","2","3"
"","EN14825_003","5.35","4","2","0","2","0"
"","EN14825_003","6.29","4","2","0","2","0"
"","EN14825_003","5.35","4","2","0","2","2"
"","EN14825_003","6.29","4","2","0","2","3"
"","EN14825_003","4.54","5","2","0","2","0"
"","EN14825_003","5.12","5","2","0","2","0"
"","EN14825_003","4.54","5","2","0","2","2"
"","EN14825_003","5.12","5","2","0","2","3"
"","EN14825_003","5.23","4","3","0","2","0"
"","EN14825_003","6.20","4","3","0","2","0"
"","EN14825_003","5.23","4","3","0","2","2"
"","EN14825_003","6.20","4","3","0","2","3"
"","EN14825_003","4.38","5","3","0","2","0"
"","EN14825_003","5.03","5","3","0","2","0"
"","EN14825_003","4.38","5","3","0","2","2"
"","EN14825_003","5.03","5","3","0","2","3"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","4","1","0","2","2"
"","EN14825_004","2","4","1","0","2","3"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","2","5","1","0","2","2"
