"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"RSJ-35/300RDN3-F1","title","RSJ-35/300RDN3-F1","0","0","0","1","0"
"RSJ-35/300RDN3-F1","application","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","indoor","1","0","0","0","1","0"
"RSJ-35/300RDN3-F1","outdoor","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","coolingMode7c12c","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","coolingMode18c23c","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","colderClimate","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","warmerClimate","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","reversibility","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","colderForHeating","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","warmerForHeating","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","en145112Certification","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","heatSource","1","0","0","0","1","0"
"RSJ-35/300RDN3-F1","additionalOutdoorAir","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","additionalExhaustAir","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","additionalIndoorAir","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"RSJ-35/300RDN3-F1","powerSupply","1","0","0","0","1","0"
"RSJ-35/300RDN3-F1","offPeakProduct","2","0","0","0","1","0"
"RSJ-35/300RDN3-F1","EN12102_2_001","53","0","3","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_001","XL","0","3","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_002","95","0","3","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_003","2.60","0","3","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_004","6:04","0","3","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_005","23.4","0","3","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_006","53.6","0","3","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_007","362","0","3","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_008","2","0","5","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_009","2","0","5","0","2","0"
"RSJ-35/300RDN3-F1","EN16147_010","2","0","5","0","2","0"
"","Refrigerant","R134a","0","0","0","0"
"","Mass of Refrigerant","1,200 kg","0","0","0","0"
"","Date","04.05.2020","0","0","0","0"
"","Manufacturer"," GD Midea Heating & Ventilating Equipment Co., Ltd.","0","0","0","0"
"","Modelname","Combo RSJ-35/300RDN3-F1","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
