"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MHC-V10WD2N7-B***","title","MHC-V10WD2N7-B***","0","0","0","1","0"
"MHC-V10WD2N7-B***","application","2","0","0","0","1","0"
"MHC-V10WD2N7-B***","indoor","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","outdoor","1","0","0","0","1","0"
"MHC-V10WD2N7-B***","coolingMode7c12c","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","coolingMode18c23c","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","colderClimate","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","warmerClimate","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","reversibility","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","colderForHeating","1","0","0","0","1","0"
"MHC-V10WD2N7-B***","warmerForHeating","1","0","0","0","1","0"
"MHC-V10WD2N7-B***","en145112Certification","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","heatSource","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","additionalOutdoorAir","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","additionalExhaustAir","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","additionalIndoorAir","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","powerSupply","1","0","0","0","1","0"
"MHC-V10WD2N7-B***","offPeakProduct","0","0","0","0","1","0"
"MHC-V10WD2N7-B***","EN14511_2_001","9.5","4","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_2_001","9.5","5","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_2_002","1.92","4","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_2_002","2.97","5","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_2_003","4.95","4","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_2_003","3.20","5","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_4_003","2","0","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_4_004","2","0","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_4_005","2","0","10","0","2","0"
"MHC-V10WD2N7-B***","EN14511_4_006","2","0","10","0","2","0"
"MHC-V10WD2N7-B***","EN12102_1_002","54","4","1","0","2","0"
"MHC-V10WD2N7-B***","EN12102_1_002","54","5","1","0","2","0"
"MHC-V10WD2N7-B***","EN12102_1_002","54","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN12102_1_002","54","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN12102_1_002","54","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN12102_1_002","54","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_001","271","4","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_001","190","5","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_001","178","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_001","136","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_001","210","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_001","157","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_002","10.10","4","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_002","10.20","5","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_002","9.9","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_002","9.6","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_002","9.8","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_002","10.0","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_003","6.85","4","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_003","4.83","5","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_003","4.53","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_003","3.48","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_003","5.33","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_003","4.00","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_004","7","4","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_004","7","5","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_004","-15.00","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_004","-15.00","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_004","-7","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_004","-7","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_005","2","4","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_005","2","5","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_005","-22.00","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_005","-22.00","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_005","-10.00","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_005","-10.00","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_008","6.07","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_008","5.89","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_008","8.67","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_008","8.85","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_009","3.59","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_009","2.81","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_009","3.19","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_009","2.23","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_047","0.99","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_047","0.99","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_047","0.99","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_047","1.00","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_010","10.00","4","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_010","9.63","5","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_010","3.85","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_010","3.58","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_010","5.50","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_010","5.48","5","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_011","3.36","4","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_011","2.43","5","1","0","2","0"
"MHC-V10WD2N7-B***","EN14825_011","5.92","4","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_011","4.41","5","2","0","2","0"
"MHC-V10WD2N7-B***","EN14825_011","5.19","4","3","0","2","0"
"MHC-V10WD2N7-B***","EN14825_011","3.98","5","3","0","2","0"
