"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","HPM-V90W/R3","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","9.00","4","10","0","2","0"
"","EN14511_2_001","9.00","5","10","0","2","0"
"","EN14511_2_002","1.86","4","10","0","2","0"
"","EN14511_2_002","2.86","5","10","0","2","0"
"","EN14511_2_003","4.85","4","10","0","2","0"
"","EN14511_2_003","3.15","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","55","4","3","0","2","0"
"","EN12102_1_002","55","5","3","0","2","0"
"","EN14825_001","203","4","3","0","2","0"
"","EN14825_001","150","5","3","0","2","0"
"","EN14825_002","9.00","4","3","0","2","0"
"","EN14825_002","9.00","5","3","0","2","0"
"","EN14825_003","5.15","4","3","0","2","0"
"","EN14825_003","3.82","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.03","4","3","0","2","0"
"","EN14825_008","8.03","5","3","0","2","0"
"","EN14825_009","2.97","4","3","0","2","0"
"","EN14825_009","2.19","5","3","0","2","0"
"","EN14825_047","0.995","4","3","0","2","0"
"","EN14825_047","0.996","5","3","0","2","0"
"","EN14825_010","4.84","4","3","0","2","0"
"","EN14825_010","4.82","5","3","0","2","0"
"","EN14825_011","4.85","4","3","0","2","0"
"","EN14825_011","3.73","5","3","0","2","0"
"","EN14825_048","0.987","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","3.09","4","3","0","2","0"
"","EN14825_012","2.96","5","3","0","2","0"
"","EN14825_013","7.80","4","3","0","2","0"
"","EN14825_013","5.57","5","3","0","2","0"
"","EN14825_049","0.967","4","3","0","2","0"
"","EN14825_049","0.976","5","3","0","2","0"
"","EN14825_014","1.75","4","3","0","2","0"
"","EN14825_014","2.10","5","3","0","2","0"
"","EN14825_015","8.84","4","3","0","2","0"
"","EN14825_015","7.99","5","3","0","2","0"
"","EN14825_050","0.934","4","3","0","2","0"
"","EN14825_050","0.951","5","3","0","2","0"
"","EN14825_016","8.03","4","3","0","2","0"
"","EN14825_016","8.03","5","3","0","2","0"
"","EN14825_017","2.97","4","3","0","2","0"
"","EN14825_017","2.19","5","3","0","2","0"
"","EN14825_018","7.40","4","3","0","2","0"
"","EN14825_018","7.74","5","3","0","2","0"
"","EN14825_019","2.70","4","3","0","2","0"
"","EN14825_019","2.05","5","3","0","2","0"
"","EN14825_021","0.995","4","3","0","2","0"
"","EN14825_021","0.997","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","12","4","3","0","2","0"
"","EN14825_023","12","5","3","0","2","0"
"","EN14825_024","13","4","3","0","2","0"
"","EN14825_024","13","5","3","0","2","0"
"","EN14825_025","12","4","3","0","2","0"
"","EN14825_025","12","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.60","4","3","0","2","0"
"","EN14825_028","1.30","5","3","0","2","0"
"","EN14825_029","3612","4","3","0","2","0"
"","EN14825_029","4749","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,920 kg","0","0","0","0"
"","Date","29.11.2023","0","0","0","0"
"","Manufacturer"," GD Shenling Thermal Tech Co., Ltd","0","0","0","0"
"","Modelname","ThermaX R290 9KW","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
