"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","title","Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","application","2","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","indoor","1","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","outdoor","1","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","coolingMode7c12c","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","coolingMode18c23c","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","colderClimate","1","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","warmerClimate","1","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","reversibility","1","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","colderForHeating","1","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","warmerForHeating","1","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","en145112Certification","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","heatSource","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","additionalOutdoorAir","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","additionalExhaustAir","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","additionalIndoorAir","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","powerSupply","1","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","offPeakProduct","0","0","0","0","1","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_2_001","12.10","4","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_2_001","12.00","5","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_2_002","2.42","4","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_2_002","3.85","5","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_2_003","5.00","4","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_2_003","3.12","5","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_4_003","2","0","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_4_004","2","0","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_4_005","2","0","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN14511_4_006","2","0","10","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN12102_1_001","44","4","1","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN12102_1_001","44","5","1","0","2","0"
"Indoor unit: SMKL-16D/HBp-A, Outdoor unit: THF-12D/HBpO-A","EN12102_1_001","44","4","2","0","2","0"
