"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","GRS-CQ12Pd/NhH3-E1+SXTVD300LC/B-E","0","0","0","1","0"
"","application","4","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","12.20","4","10","0","2","0"
"","EN14511_2_001","12.00","5","10","0","2","0"
"","EN14511_2_002","2.40","4","10","0","2","0"
"","EN14511_2_002","3.87","5","10","0","2","0"
"","EN14511_2_003","5.08","4","10","0","2","0"
"","EN14511_2_003","3.10","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","43","4","3","0","2","0"
"","EN12102_1_001","43","5","3","0","2","0"
"","EN12102_1_002","64","4","3","0","2","0"
"","EN12102_1_002","64","5","3","0","2","0"
"","EN14825_001","240","4","1","0","2","0"
"","EN14825_001","170","5","1","0","2","0"
"","EN14825_001","166","4","2","0","2","0"
"","EN14825_001","121","5","2","0","2","0"
"","EN14825_001","186","4","3","0","2","0"
"","EN14825_001","139","5","3","0","2","0"
"","EN14825_002","13.00","4","1","0","2","0"
"","EN14825_002","13.00","5","1","0","2","0"
"","EN14825_002","11.00","4","2","0","2","0"
"","EN14825_002","11.00","5","2","0","2","0"
"","EN14825_002","12.00","4","3","0","2","0"
"","EN14825_002","12.00","5","3","0","2","0"
"","EN14825_003","6.08","4","1","0","2","0"
"","EN14825_003","4.33","5","1","0","2","0"
"","EN14825_003","4.23","4","2","0","2","0"
"","EN14825_003","3.10","5","2","0","2","0"
"","EN14825_003","4.73","4","3","0","2","0"
"","EN14825_003","3.55","5","3","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","-15","4","2","0","2","0"
"","EN14825_004","-15","5","2","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-22","4","2","0","2","0"
"","EN14825_005","-22","5","2","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","6.69","4","2","0","2","0"
"","EN14825_008","6.53","5","2","0","2","0"
"","EN14825_008","10.56","4","3","0","2","0"
"","EN14825_008","10.50","5","3","0","2","0"
"","EN14825_009","3.41","4","2","0","2","0"
"","EN14825_009","2.49","5","2","0","2","0"
"","EN14825_009","3.20","4","3","0","2","0"
"","EN14825_009","2.35","5","3","0","2","0"
"","EN14825_047","0.980","4","2","0","2","0"
"","EN14825_047","0.990","5","2","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","12.85","4","1","0","2","0"
"","EN14825_010","13.20","5","1","0","2","0"
"","EN14825_010","4.20","4","2","0","2","0"
"","EN14825_010","4.00","5","2","0","2","0"
"","EN14825_010","6.70","4","3","0","2","0"
"","EN14825_010","6.82","5","3","0","2","0"
"","EN14825_011","3.56","4","1","0","2","0"
"","EN14825_011","2.49","5","1","0","2","0"
"","EN14825_011","5.38","4","2","0","2","0"
"","EN14825_011","3.77","5","2","0","2","0"
"","EN14825_011","4.49","4","3","0","2","0"
"","EN14825_011","3.53","5","3","0","2","0"
"","EN14825_048","0.990","4","1","0","2","0"
"","EN14825_048","0.990","5","1","0","2","0"
"","EN14825_048","0.960","4","2","0","2","0"
"","EN14825_048","0.970","5","2","0","2","0"
"","EN14825_048","0.980","4","3","0","2","0"
"","EN14825_048","0.980","5","3","0","2","0"
"","EN14825_012","8.55","4","1","0","2","0"
"","EN14825_012","8.40","5","1","0","2","0"
"","EN14825_012","3.82","4","2","0","2","0"
"","EN14825_012","3.73","5","2","0","2","0"
"","EN14825_012","4.11","4","3","0","2","0"
"","EN14825_012","4.31","5","3","0","2","0"
"","EN14825_013","5.54","4","1","0","2","0"
"","EN14825_013","3.90","5","1","0","2","0"
"","EN14825_013","5.62","4","2","0","2","0"
"","EN14825_013","4.34","5","2","0","2","0"
"","EN14825_013","6.35","4","3","0","2","0"
"","EN14825_013","4.25","5","3","0","2","0"
"","EN14825_049","0.980","4","1","0","2","0"
"","EN14825_049","0.980","5","1","0","2","0"
"","EN14825_049","0.960","4","2","0","2","0"
"","EN14825_049","0.970","5","2","0","2","0"
"","EN14825_049","0.960","4","3","0","2","0"
"","EN14825_049","0.970","5","3","0","2","0"
"","EN14825_014","4.45","4","1","0","2","0"
"","EN14825_014","4.39","5","1","0","2","0"
"","EN14825_014","4.61","4","2","0","2","0"
"","EN14825_014","4.64","5","2","0","2","0"
"","EN14825_014","4.45","4","3","0","2","0"
"","EN14825_014","4.67","5","3","0","2","0"
