"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","NE-F200HCR4TINVM","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","19.40","4","10","0","2","0"
"","EN14511_2_001","16.90","5","10","0","2","0"
"","EN14511_2_002","4.52","4","10","0","2","0"
"","EN14511_2_002","6.11","5","10","0","2","0"
"","EN14511_2_003","4.29","4","10","0","2","0"
"","EN14511_2_003","2.77","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","70","4","3","0","2","0"
"","EN12102_1_002","71","5","3","0","2","0"
"","EN14825_001","177","4","3","0","2","0"
"","EN14825_001","130","5","3","0","2","0"
"","EN14825_002","12.87","4","3","0","2","0"
"","EN14825_002","11.83","5","3","0","2","0"
"","EN14825_003","4.50","4","3","0","2","0"
"","EN14825_003","3.32","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","11.38","4","3","0","2","0"
"","EN14825_008","10.47","5","3","0","2","0"
"","EN14825_009","3.41","4","3","0","2","0"
"","EN14825_009","2.25","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","7.18","4","3","0","2","0"
"","EN14825_010","6.42","5","3","0","2","0"
"","EN14825_011","4.34","4","3","0","2","0"
"","EN14825_011","3.29","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","7.29","4","3","0","2","0"
"","EN14825_012","6.95","5","3","0","2","0"
"","EN14825_013","5.73","4","3","0","2","0"
"","EN14825_013","4.18","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","7.63","4","3","0","2","0"
"","EN14825_014","7.97","5","3","0","2","0"
"","EN14825_015","7.83","4","3","0","2","0"
"","EN14825_015","6.89","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","11.38","4","3","0","2","0"
"","EN14825_016","10.47","5","3","0","2","0"
"","EN14825_017","3.41","4","3","0","2","0"
"","EN14825_017","2.25","5","3","0","2","0"
"","EN14825_018","12.79","4","3","0","2","0"
"","EN14825_018","11.77","5","3","0","2","0"
"","EN14825_019","2.69","4","3","0","2","0"
"","EN14825_019","1.85","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","5","4","3","0","2","0"
"","EN14825_023","5","5","3","0","2","0"
"","EN14825_024","16","4","3","0","2","0"
"","EN14825_024","16","5","3","0","2","0"
"","EN14825_025","5","4","3","0","2","0"
"","EN14825_025","5","5","3","0","2","0"
"","EN14825_026","24","4","3","0","2","0"
"","EN14825_026","24","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.08","4","3","0","2","0"
"","EN14825_028","0.06","5","3","0","2","0"
"","EN14825_029","5908","4","3","0","2","0"
"","EN14825_029","7372","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","2,350 kg","0","0","0","0"
"","Date","16.05.2023","0","0","0","0"
"","Manufacturer"," Guangdong New Energy Technology Development Co., Ltd.","0","0","0","0"
"","Modelname","Air to Water Heat Pump 200","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
