"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","VS220-DC","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","2","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","19.50","4","10","0","2","0"
"","EN14511_2_001","21.00","5","10","0","2","0"
"","EN14511_2_002","4.25","4","10","0","2","0"
"","EN14511_2_002","6.66","5","10","0","2","0"
"","EN14511_2_003","4.59","4","10","0","2","0"
"","EN14511_2_003","3.15","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","74","4","3","0","2","0"
"","EN12102_1_002","74","5","3","0","2","0"
"","EN14825_001","176","4","3","0","2","0"
"","EN14825_001","136","5","3","0","2","0"
"","EN14825_002","16.40","4","3","0","2","0"
"","EN14825_002","15.40","5","3","0","2","0"
"","EN14825_003","4.48","4","3","0","2","0"
"","EN14825_003","3.46","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","14.53","4","3","0","2","0"
"","EN14825_008","13.60","5","3","0","2","0"
"","EN14825_009","3.38","4","3","0","2","0"
"","EN14825_009","2.56","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","8.86","4","3","0","2","0"
"","EN14825_010","8.25","5","3","0","2","0"
"","EN14825_011","4.32","4","3","0","2","0"
"","EN14825_011","3.32","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","8.24","4","3","0","2","0"
"","EN14825_012","7.96","5","3","0","2","0"
"","EN14825_013","5.73","4","3","0","2","0"
"","EN14825_013","4.47","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","9.69","4","3","0","2","0"
"","EN14825_014","9.47","5","3","0","2","0"
"","EN14825_015","7.65","4","3","0","2","0"
"","EN14825_015","6.23","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","14.53","4","3","0","2","0"
"","EN14825_016","13.60","5","3","0","2","0"
"","EN14825_017","3.38","4","3","0","2","0"
"","EN14825_017","2.56","5","3","0","2","0"
"","EN14825_018","15.20","4","3","0","2","0"
"","EN14825_018","15.08","5","3","0","2","0"
"","EN14825_019","3.13","4","3","0","2","0"
"","EN14825_019","2.31","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","11","4","3","0","2","0"
"","EN14825_023","11","5","3","0","2","0"
"","EN14825_024","11","4","3","0","2","0"
"","EN14825_024","11","5","3","0","2","0"
"","EN14825_025","11","4","3","0","2","0"
"","EN14825_025","11","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.20","4","3","0","2","0"
"","EN14825_028","0.33","5","3","0","2","0"
"","EN14825_029","7569","4","3","0","2","0"
"","EN14825_029","9787","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","2,600 kg","0","0","0","0"
"","Date","05.06.2024","0","0","0","0"
"","Manufacturer"," Heealarx Industry Limited","0","0","0","0"
"","Modelname","VS220-DC","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
