"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","VS90-DC1","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","9.00","4","10","0","2","0"
"","EN14511_2_001","8.70","5","10","0","2","0"
"","EN14511_2_002","2.15","4","10","0","2","0"
"","EN14511_2_002","3.03","5","10","0","2","0"
"","EN14511_2_003","4.19","4","10","0","2","0"
"","EN14511_2_003","2.87","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","68","4","3","0","2","0"
"","EN12102_1_002","68","5","3","0","2","0"
"","EN14825_001","175","4","3","0","2","0"
"","EN14825_001","127","5","3","0","2","0"
"","EN14825_002","8.23","4","3","0","2","0"
"","EN14825_002","7.14","5","3","0","2","0"
"","EN14825_003","4.45","4","3","0","2","0"
"","EN14825_003","3.25","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","7.28","4","3","0","2","0"
"","EN14825_008","6.23","5","3","0","2","0"
"","EN14825_009","3.13","4","3","0","2","0"
"","EN14825_009","2.25","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","4.45","4","3","0","2","0"
"","EN14825_010","3.89","5","3","0","2","0"
"","EN14825_011","4.54","4","3","0","2","0"
"","EN14825_011","3.34","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","4.71","4","3","0","2","0"
"","EN14825_012","4.34","5","3","0","2","0"
"","EN14825_013","5.56","4","3","0","2","0"
"","EN14825_013","4.09","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","5.66","4","3","0","2","0"
"","EN14825_014","4.92","5","3","0","2","0"
"","EN14825_015","7.74","4","3","0","2","0"
"","EN14825_015","5.39","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","7.28","4","3","0","2","0"
"","EN14825_016","6.23","5","3","0","2","0"
"","EN14825_017","3.13","4","3","0","2","0"
"","EN14825_017","2.25","5","3","0","2","0"
"","EN14825_018","7.59","4","3","0","2","0"
"","EN14825_018","7.13","5","3","0","2","0"
"","EN14825_019","2.85","4","3","0","2","0"
"","EN14825_019","2.03","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","6","4","3","0","2","0"
"","EN14825_023","6","5","3","0","2","0"
"","EN14825_024","6","4","3","0","2","0"
"","EN14825_024","6","5","3","0","2","0"
"","EN14825_025","6","4","3","0","2","0"
"","EN14825_025","6","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.60","4","3","0","2","0"
"","EN14825_028","0.01","5","3","0","2","0"
"","EN14825_029","3820","4","3","0","2","0"
"","EN14825_029","4539","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,400 kg","0","0","0","0"
"","Date","05.06.2024","0","0","0","0"
"","Manufacturer"," Heealarx Industry Limited","0","0","0","0"
"","Modelname","VS90-DC1","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
