"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","HZKF14KME-Q","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","1","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","1","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","14.00","4","10","0","2","0"
"1","EN14511_2_001","13.00","5","10","0","2","0"
"1","EN14511_2_002","2.91","4","10","0","2","0"
"1","EN14511_2_002","4.26","5","10","0","2","0"
"1","EN14511_2_003","4.80","4","10","0","2","0"
"1","EN14511_2_003","3.05","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","66","4","1","0","2","0"
"1","EN12102_1_002","66","5","1","0","2","0"
"1","EN12102_1_002","66","4","3","0","2","0"
"1","EN12102_1_002","66","5","3","0","2","0"
"1","EN14825_001","250","4","1","0","2","0"
"1","EN14825_001","170","5","1","0","2","0"
"1","EN14825_001","181","4","3","0","2","0"
"1","EN14825_001","132","5","3","0","2","0"
"1","EN14825_002","13.70","4","1","0","2","0"
"1","EN14825_002","14.10","5","1","0","2","0"
"1","EN14825_002","11.50","4","3","0","2","0"
"1","EN14825_002","11.50","5","3","0","2","0"
"1","EN14825_003","6.33","4","1","0","2","0"
"1","EN14825_003","4.33","5","1","0","2","0"
"1","EN14825_003","4.59","4","3","0","2","0"
"1","EN14825_003","3.37","5","3","0","2","0"
"1","EN14825_004","7","4","1","0","2","0"
"1","EN14825_004","7","5","1","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","2","4","1","0","2","0"
"1","EN14825_005","2","5","1","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","10.20","4","3","0","2","0"
"1","EN14825_008","10.18","5","3","0","2","0"
"1","EN14825_009","3.01","4","3","0","2","0"
"1","EN14825_009","2.21","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","13.56","4","1","0","2","0"
"1","EN14825_010","13.68","5","1","0","2","0"
"1","EN14825_010","6.22","4","3","0","2","0"
"1","EN14825_010","6.20","5","3","0","2","0"
"1","EN14825_011","3.56","4","1","0","2","0"
"1","EN14825_011","2.48","5","1","0","2","0"
"1","EN14825_011","4.38","4","3","0","2","0"
"1","EN14825_011","3.23","5","3","0","2","0"
"1","EN14825_048","0.900","4","1","0","2","0"
"1","EN14825_048","0.900","5","1","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","8.81","4","1","0","2","0"
"1","EN14825_012","9.07","5","1","0","2","0"
"1","EN14825_012","4.15","4","3","0","2","0"
"1","EN14825_012","4.11","5","3","0","2","0"
"1","EN14825_013","5.50","4","1","0","2","0"
"1","EN14825_013","3.80","5","1","0","2","0"
"1","EN14825_013","6.26","4","3","0","2","0"
"1","EN14825_013","4.45","5","3","0","2","0"
"1","EN14825_049","0.900","4","1","0","2","0"
"1","EN14825_049","0.900","5","1","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","4.11","4","1","0","2","0"
"1","EN14825_014","3.90","5","1","0","2","0"
"1","EN14825_014","3.72","4","3","0","2","0"
"1","EN14825_014","3.59","5","3","0","2","0"
"1","EN14825_015","7.95","4","1","0","2","0"
"1","EN14825_015","5.41","5","1","0","2","0"
"1","EN14825_015","6.93","4","3","0","2","0"
"1","EN14825_015","5.60","5","3","0","2","0"
"1","EN14825_050","0.900","4","1","0","2","0"
"1","EN14825_050","0.900","5","1","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","8.81","4","1","0","2","0"
"1","EN14825_016","9.07","5","1","0","2","0"
"1","EN14825_016","10.20","4","3","0","2","0"
"1","EN14825_016","10.18","5","3","0","2","0"
"1","EN14825_017","5.50","4","1","0","2","0"
"1","EN14825_017","3.80","5","1","0","2","0"
"1","EN14825_017","3.01","4","3","0","2","0"
"1","EN14825_017","2.21","5","3","0","2","0"
"1","EN14825_018","13.56","4","1","0","2","0"
"1","EN14825_018","13.68","5","1","0","2","0"
"1","EN14825_018","11.01","4","3","0","2","0"
"1","EN14825_018","11.05","5","3","0","2","0"
"1","EN14825_019","3.56","4","1","0","2","0"
"1","EN14825_019","2.48","5","1","0","2","0"
"1","EN14825_019","2.66","4","3","0","2","0"
"1","EN14825_019","1.82","5","3","0","2","0"
"1","EN14825_021","0.900","4","1","0","2","0"
"1","EN14825_021","0.900","5","1","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","65","4","1","0","2","0"
"1","EN14825_022","65","5","1","0","2","0"
"1","EN14825_022","60","4","3","0","2","0"
"1","EN14825_022","60","5","3","0","2","0"
"1","EN14825_023","10","4","1","0","2","0"
"1","EN14825_023","10","5","1","0","2","0"
"1","EN14825_023","10","4","3","0","2","0"
"1","EN14825_023","10","5","3","0","2","0"
"1","EN14825_024","13","4","1","0","2","0"
"1","EN14825_024","13","5","1","0","2","0"
"1","EN14825_024","13","4","3","0","2","0"
"1","EN14825_024","13","5","3","0","2","0"
"1","EN14825_025","10","4","1","0","2","0"
"1","EN14825_025","10","5","1","0","2","0"
"1","EN14825_025","10","4","3","0","2","0"
"1","EN14825_025","10","5","3","0","2","0"
"1","EN14825_026","0","4","1","0","2","0"
"1","EN14825_026","0","5","1","0","2","0"
"1","EN14825_026","0","4","3","0","2","0"
"1","EN14825_026","0","5","3","0","2","0"
"1","EN14825_027","1","4","1","0","2","0"
"1","EN14825_027","1","5","1","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.14","4","1","0","2","0"
"1","EN14825_028","0.42","5","1","0","2","0"
"1","EN14825_028","0.49","4","3","0","2","0"
"1","EN14825_028","0.45","5","3","0","2","0"
"1","EN14825_029","2896","4","1","0","2","0"
"1","EN14825_029","4348","5","1","0","2","0"
"1","EN14825_029","5191","4","3","0","2","0"
"1","EN14825_029","7047","5","3","0","2","0"
"2","title","HZKF14KMO-Q","0","0","0","1","0"
"2","application","2","0","0","0","1","0"
"2","indoor","0","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","1","0","0","0","1","0"
"2","reversibility","1","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","1","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","0","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","3","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","14.00","4","10","0","2","0"
"2","EN14511_2_001","13.00","5","10","0","2","0"
"2","EN14511_2_002","2.91","4","10","0","2","0"
"2","EN14511_2_002","4.26","5","10","0","2","0"
"2","EN14511_2_003","4.80","4","10","0","2","0"
"2","EN14511_2_003","3.05","5","10","0","2","0"
"2","EN14511_4_003","2","0","10","0","2","0"
"2","EN14511_4_004","2","0","10","0","2","0"
"2","EN14511_4_005","2","0","10","0","2","0"
"2","EN14511_4_006","2","0","10","0","2","0"
"2","EN12102_1_002","66","4","1","0","2","0"
"2","EN12102_1_002","66","5","1","0","2","0"
"2","EN12102_1_002","66","4","3","0","2","0"
