"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","ETERA S-1 HT / HK UF E","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","0","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","2","0","0","0","1","0"
"","offPeakProduct","1","0","0","0","1","0"
"","EN14511_2_001","4.54","4","10","0","2","2"
"","EN14511_2_001","4.52","4","10","0","2","3"
"","EN14511_2_001","5.96","5","10","0","2","2"
"","EN14511_2_001","6.07","5","10","0","2","3"
"","EN14511_2_002","0.96","4","10","0","2","2"
"","EN14511_2_002","0.71","4","10","0","2","3"
"","EN14511_2_002","2.04","5","10","0","2","2"
"","EN14511_2_002","1.61","5","10","0","2","3"
"","EN14511_2_003","4.71","4","10","0","2","2"
"","EN14511_2_003","6.40","4","10","0","2","3"
"","EN14511_2_003","2.92","5","10","0","2","2"
"","EN14511_2_003","3.77","5","10","0","2","3"
"","EN14511_4_003","2","0","10","0","2","2"
"","EN14511_4_003","2","0","10","0","2","3"
"","EN14511_4_004","2","0","10","0","2","2"
"","EN14511_4_004","2","0","10","0","2","3"
"","EN14511_4_006","2","0","10","0","2","2"
"","EN14511_4_006","2","0","10","0","2","3"
"","EN12102_1_001","32","4","1","0","2","2"
"","EN12102_1_001","35","5","1","0","2","2"
"","EN12102_1_001","32","4","2","0","2","2"
"","EN12102_1_001","35","5","2","0","2","2"
"","EN12102_1_001","32","4","3","0","2","2"
"","EN12102_1_001","35","5","3","0","2","2"
"","EN14825_001","208","4","1","0","2","2"
"","EN14825_001","299","4","1","0","2","3"
"","EN14825_001","151","5","1","0","2","2"
"","EN14825_001","206","5","1","0","2","3"
"","EN14825_001","218","4","2","0","2","2"
"","EN14825_001","309","4","2","0","2","3"
"","EN14825_001","158","5","2","0","2","2"
"","EN14825_001","215","5","2","0","2","3"
"","EN14825_001","210","4","3","0","2","2"
"","EN14825_001","299","4","3","0","2","3"
"","EN14825_001","154","5","3","0","2","2"
"","EN14825_001","207","5","3","0","2","3"
"","EN14825_002","9.10","4","1","0","2","2"
"","EN14825_002","9.10","4","1","0","2","3"
"","EN14825_002","9.00","5","1","0","2","2"
"","EN14825_002","9.10","5","1","0","2","3"
"","EN14825_002","9.10","4","2","0","2","2"
"","EN14825_002","9.10","4","2","0","2","3"
"","EN14825_002","9.00","5","2","0","2","2"
"","EN14825_002","9.10","5","2","0","2","3"
"","EN14825_002","9.10","4","3","0","2","2"
"","EN14825_002","9.10","4","3","0","2","3"
"","EN14825_002","9.00","5","3","0","2","2"
"","EN14825_002","9.10","5","3","0","2","3"
"","EN14825_003","5.39","4","1","0","2","2"
"","EN14825_003","7.68","4","1","0","2","3"
"","EN14825_003","3.97","5","1","0","2","2"
"","EN14825_003","5.34","5","1","0","2","3"
"","EN14825_003","5.64","4","2","0","2","2"
"","EN14825_003","7.93","4","2","0","2","3"
"","EN14825_003","4.15","5","2","0","2","2"
"","EN14825_003","5.57","5","2","0","2","3"
"","EN14825_003","5.45","4","3","0","2","2"
"","EN14825_003","7.68","4","3","0","2","3"
"","EN14825_003","4.04","5","3","0","2","2"
"","EN14825_003","5.37","5","3","0","2","3"
"","EN14825_004","2","4","1","0","2","2"
"","EN14825_004","2","4","1","0","2","3"
"","EN14825_004","2","5","1","0","2","2"
"","EN14825_004","2","5","1","0","2","3"
"","EN14825_004","-22","4","2","0","2","2"
"","EN14825_004","-22","4","2","0","2","3"
"","EN14825_004","-22","5","2","0","2","2"
"","EN14825_004","-22","5","2","0","2","3"
"","EN14825_004","-10","4","3","0","2","2"
"","EN14825_004","-10","4","3","0","2","3"
"","EN14825_004","-10","5","3","0","2","2"
"","EN14825_004","-10","5","3","0","2","3"
"","EN14825_005","2","4","1","0","2","2"
"","EN14825_005","2","4","1","0","2","3"
"","EN14825_005","2","5","1","0","2","2"
"","EN14825_005","2","5","1","0","2","3"
"","EN14825_005","-22","4","2","0","2","2"
"","EN14825_005","-22","4","2","0","2","3"
"","EN14825_005","-22","5","2","0","2","2"
"","EN14825_005","-22","5","2","0","2","3"
"","EN14825_005","-10","4","3","0","2","2"
"","EN14825_005","-10","4","3","0","2","3"
"","EN14825_005","-10","5","3","0","2","2"
"","EN14825_005","-10","5","3","0","2","3"
"","EN14825_008","5.51","4","2","0","2","2"
"","EN14825_008","5.62","4","2","0","2","3"
"","EN14825_008","5.65","5","2","0","2","2"
"","EN14825_008","5.59","5","2","0","2","3"
"","EN14825_008","7.97","4","3","0","2","2"
"","EN14825_008","8.11","4","3","0","2","3"
"","EN14825_008","8.09","5","3","0","2","2"
"","EN14825_008","8.08","5","3","0","2","3"
"","EN14825_009","5.43","4","2","0","2","2"
"","EN14825_009","7.81","4","2","0","2","3"
"","EN14825_009","3.78","5","2","0","2","2"
"","EN14825_009","5.13","5","2","0","2","3"
"","EN14825_009","4.71","4","3","0","2","2"
"","EN14825_009","6.81","4","3","0","2","3"
"","EN14825_009","3.14","5","3","0","2","2"
"","EN14825_009","4.12","5","3","0","2","3"
"","EN14825_047","0.994","4","2","0","2","2"
"","EN14825_047","0.992","4","2","0","2","3"
"","EN14825_047","0.996","5","2","0","2","2"
"","EN14825_047","0.994","5","2","0","2","3"
"","EN14825_047","0.996","4","3","0","2","2"
"","EN14825_047","0.995","4","3","0","2","3"
"","EN14825_047","0.998","5","3","0","2","2"
