"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"-","title","WH20S.F5","0","0","0","1","0"
"-","application","0","0","0","0","1","0"
"-","indoor","1","0","0","0","1","0"
"-","outdoor","0","0","0","0","1","0"
"-","coolingMode7c12c","0","0","0","0","1","0"
"-","coolingMode18c23c","0","0","0","0","1","0"
"-","colderClimate","0","0","0","0","1","0"
"-","warmerClimate","0","0","0","0","1","0"
"-","reversibility","0","0","0","0","1","0"
"-","colderForHeating","0","0","0","0","1","0"
"-","warmerForHeating","0","0","0","0","1","0"
"-","en145112Certification","0","0","0","0","1","0"
"-","heatSource","3","0","0","0","1","0"
"-","additionalOutdoorAir","0","0","0","0","1","0"
"-","additionalExhaustAir","0","0","0","0","1","0"
"-","additionalIndoorAir","0","0","0","0","1","0"
"-","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"-","powerSupply","1","0","0","0","1","0"
"-","offPeakProduct","0","0","0","0","1","0"
"-","EN12102_2_001","55","0","3","0","2","0"
"-","EN16147_001","L","0","3","0","2","0"
"-","EN16147_002","144","0","3","0","2","0"
"-","EN16147_003","3.50","0","3","0","2","0"
"-","EN16147_004","11:00","0","3","0","2","0"
"-","EN16147_005","18.0","0","3","0","2","0"
"-","EN16147_006","54.0","0","3","0","2","0"
"-","EN16147_007","260","0","3","0","2","0"
"-","EN16147_008","2","0","5","0","2","0"
"-","EN16147_009","2","0","5","0","2","0"
"-","EN16147_010","2","0","5","0","2","0"
"","Refrigerant","R134a","0","0","0","0"
"","Mass of Refrigerant","0,650 kg","0","0","0","0"
"","Date","23.03.2021","0","0","0","0"
"","Manufacturer"," LG Electronics Inc.","0","0","0","0"
"","Modelname","HEAT PUMP WATER HEATER 200L","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
