"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","Outdoor Unit: LCM-60R; Indoor Unit: LCM-R","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","6.30","4","10","0","2","0"
"","EN14511_2_001","5.22","5","10","0","2","0"
"","EN14511_2_002","1.38","4","10","0","2","0"
"","EN14511_2_002","1.89","5","10","0","2","0"
"","EN14511_2_003","4.56","4","10","0","2","0"
"","EN14511_2_003","2.76","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","63","4","3","0","2","0"
"","EN12102_1_002","64","5","3","0","2","0"
"","EN14825_001","176","4","3","0","2","0"
"","EN14825_001","132","5","3","0","2","0"
"","EN14825_002","3.99","4","3","0","2","0"
"","EN14825_002","4.26","5","3","0","2","0"
"","EN14825_003","4.47","4","3","0","2","0"
"","EN14825_003","3.39","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","3.53","4","3","0","2","0"
"","EN14825_008","3.76","5","3","0","2","0"
"","EN14825_009","2.53","4","3","0","2","0"
"","EN14825_009","1.60","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","2.63","4","3","0","2","0"
"","EN14825_010","2.30","5","3","0","2","0"
"","EN14825_011","4.30","4","3","0","2","0"
"","EN14825_011","3.37","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.87","4","3","0","2","0"
"","EN14825_012","2.65","5","3","0","2","0"
"","EN14825_013","6.56","4","3","0","2","0"
"","EN14825_013","5.13","5","3","0","2","0"
"","EN14825_049","0.990","4","3","0","2","0"
"","EN14825_049","0.990","5","3","0","2","0"
"","EN14825_014","2.96","4","3","0","2","0"
"","EN14825_014","2.77","5","3","0","2","0"
"","EN14825_015","7.82","4","3","0","2","0"
"","EN14825_015","6.68","5","3","0","2","0"
"","EN14825_050","0.990","4","3","0","2","0"
"","EN14825_050","0.990","5","3","0","2","0"
"","EN14825_016","3.53","4","3","0","2","0"
"","EN14825_016","3.76","5","3","0","2","0"
"","EN14825_017","2.53","4","3","0","2","0"
"","EN14825_017","1.60","5","3","0","2","0"
"","EN14825_018","3.46","4","3","0","2","0"
"","EN14825_018","3.22","5","3","0","2","0"
"","EN14825_019","2.35","4","3","0","2","0"
"","EN14825_019","1.65","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","57","4","3","0","2","0"
"","EN14825_022","57","5","3","0","2","0"
"","EN14825_023","10","4","3","0","2","0"
"","EN14825_023","10","5","3","0","2","0"
"","EN14825_024","10","4","3","0","2","0"
"","EN14825_024","10","5","3","0","2","0"
"","EN14825_025","10","4","3","0","2","0"
"","EN14825_025","10","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.53","4","3","0","2","0"
"","EN14825_028","1.04","5","3","0","2","0"
"","EN14825_029","1846","4","3","0","2","0"
"","EN14825_029","2596","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,200 kg","0","0","0","0"
"","Date","18.11.2022","0","0","0","0"
"","Manufacturer"," Lailey and Coates International Limited","0","0","0","0"
"","Modelname","Inverter Heat Pump-Mono System 60","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
