"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Mycond MBasic MHM-U12HL","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","10.67","4","10","0","2","0"
"1","EN14511_2_001","10.41","5","10","0","2","0"
"1","EN14511_2_002","2.71","4","10","0","2","0"
"1","EN14511_2_002","4.08","5","10","0","2","0"
"1","EN14511_2_003","3.93","4","10","0","2","0"
"1","EN14511_2_003","2.55","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","68","4","3","0","2","0"
"1","EN12102_1_002","68","5","3","0","2","0"
"1","EN14825_001","177","4","3","0","2","0"
"1","EN14825_001","129","5","3","0","2","0"
"1","EN14825_002","8.68","4","3","0","2","0"
"1","EN14825_002","7.88","5","3","0","2","0"
"1","EN14825_003","4.50","4","3","0","2","0"
"1","EN14825_003","3.29","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","7.68","4","3","0","2","0"
"1","EN14825_008","6.97","5","3","0","2","0"
"1","EN14825_009","3.01","4","3","0","2","0"
"1","EN14825_009","1.96","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","4.70","4","3","0","2","0"
"1","EN14825_010","4.32","5","3","0","2","0"
"1","EN14825_011","4.30","4","3","0","2","0"
"1","EN14825_011","3.31","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","4.24","4","3","0","2","0"
"1","EN14825_012","3.99","5","3","0","2","0"
"1","EN14825_013","6.29","4","3","0","2","0"
"1","EN14825_013","4.50","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","5.15","4","3","0","2","0"
"1","EN14825_014","4.91","5","3","0","2","0"
"1","EN14825_015","8.75","4","3","0","2","0"
"1","EN14825_015","6.49","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","7.68","4","3","0","2","0"
"1","EN14825_016","6.97","5","3","0","2","0"
"1","EN14825_017","3.01","4","3","0","2","0"
"1","EN14825_017","1.96","5","3","0","2","0"
"1","EN14825_018","7.01","4","3","0","2","0"
"1","EN14825_018","6.14","5","3","0","2","0"
"1","EN14825_019","2.73","4","3","0","2","0"
"1","EN14825_019","1.62","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","57","4","3","0","2","0"
"1","EN14825_022","57","5","3","0","2","0"
"1","EN14825_023","16","4","3","0","2","0"
"1","EN14825_023","16","5","3","0","2","0"
"1","EN14825_024","22","4","3","0","2","0"
"1","EN14825_024","22","5","3","0","2","0"
"1","EN14825_025","16","4","3","0","2","0"
"1","EN14825_025","16","5","3","0","2","0"
"1","EN14825_026","29","4","3","0","2","0"
"1","EN14825_026","29","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","1.67","4","3","0","2","0"
"1","EN14825_028","1.75","5","3","0","2","0"
"1","EN14825_029","3983","4","3","0","2","0"
"1","EN14825_029","4946","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,300 kg","0","0","0","0"
"","Date","03.04.2024","0","0","0","0"
"","Manufacturer"," MYCOND Limited","0","0","0","0"
"","Modelname","DC Inverter Air to Water Heat Pump Unit-R32-XC 12","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
