"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"AQ37I-1","title","AquaMaster Inverter AQ37I-1","0","0","0","1","0"
"AQ37I-1","application","2","0","0","0","1","0"
"AQ37I-1","indoor","1","0","0","0","1","0"
"AQ37I-1","outdoor","0","0","0","0","1","0"
"AQ37I-1","coolingMode7c12c","0","0","0","0","1","0"
"AQ37I-1","coolingMode18c23c","0","0","0","0","1","0"
"AQ37I-1","colderClimate","0","0","0","0","1","0"
"AQ37I-1","warmerClimate","0","0","0","0","1","0"
"AQ37I-1","reversibility","0","0","0","0","1","0"
"AQ37I-1","colderForHeating","0","0","0","0","1","0"
"AQ37I-1","warmerForHeating","0","0","0","0","1","0"
"AQ37I-1","en145112Certification","0","0","0","0","1","0"
"AQ37I-1","heatSource","0","0","0","0","1","0"
"AQ37I-1","additionalOutdoorAir","0","0","0","0","1","0"
"AQ37I-1","additionalExhaustAir","0","0","0","0","1","0"
"AQ37I-1","additionalIndoorAir","0","0","0","0","1","0"
"AQ37I-1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"AQ37I-1","powerSupply","3","0","0","0","1","0"
"AQ37I-1","offPeakProduct","1","0","0","0","1","0"
"AQ37I-1","EN14511_2_001","10.52","4","10","0","2","0"
"AQ37I-1","EN14511_2_001","9.62","5","10","0","2","0"
"AQ37I-1","EN14511_2_002","2.25","4","10","0","2","0"
"AQ37I-1","EN14511_2_002","3.10","5","10","0","2","0"
"AQ37I-1","EN14511_2_003","4.68","4","10","0","2","0"
"AQ37I-1","EN14511_2_003","3.10","5","10","0","2","0"
"AQ37I-1","EN14511_4_003","2","0","10","0","2","0"
"AQ37I-1","EN14511_4_004","2","0","10","0","2","0"
"AQ37I-1","EN14511_4_006","2","0","10","0","2","0"
"AQ37I-1","EN12102_1_001","48","4","3","0","2","0"
"AQ37I-1","EN12102_1_001","48","5","3","0","2","0"
"AQ37I-1","EN14825_001","196","4","3","0","2","0"
"AQ37I-1","EN14825_001","151","5","3","0","2","0"
"AQ37I-1","EN14825_002","15.27","4","3","0","2","0"
"AQ37I-1","EN14825_002","13.89","5","3","0","2","0"
"AQ37I-1","EN14825_003","5.10","4","3","0","2","0"
"AQ37I-1","EN14825_003","3.97","5","3","0","2","0"
"AQ37I-1","EN14825_004","-10","4","3","0","2","0"
"AQ37I-1","EN14825_004","-10","5","3","0","2","0"
"AQ37I-1","EN14825_005","-10","4","3","0","2","0"
"AQ37I-1","EN14825_005","-10","5","3","0","2","0"
"AQ37I-1","EN14825_008","13.65","4","3","0","2","0"
"AQ37I-1","EN14825_008","12.35","5","3","0","2","0"
"AQ37I-1","EN14825_009","4.54","4","3","0","2","0"
"AQ37I-1","EN14825_009","3.16","5","3","0","2","0"
"AQ37I-1","EN14825_047","0.900","4","3","0","2","0"
"AQ37I-1","EN14825_047","0.900","5","3","0","2","0"
"AQ37I-1","EN14825_010","8.63","4","3","0","2","0"
"AQ37I-1","EN14825_010","8.17","5","3","0","2","0"
"AQ37I-1","EN14825_011","5.04","4","3","0","2","0"
"AQ37I-1","EN14825_011","3.92","5","3","0","2","0"
"AQ37I-1","EN14825_048","0.900","4","3","0","2","0"
"AQ37I-1","EN14825_048","0.900","5","3","0","2","0"
"AQ37I-1","EN14825_012","5.42","4","3","0","2","0"
"AQ37I-1","EN14825_012","5.00","5","3","0","2","0"
"AQ37I-1","EN14825_013","5.60","4","3","0","2","0"
"AQ37I-1","EN14825_013","4.59","5","3","0","2","0"
"AQ37I-1","EN14825_049","0.900","4","3","0","2","0"
"AQ37I-1","EN14825_049","0.900","5","3","0","2","0"
"AQ37I-1","EN14825_014","2.62","4","3","0","2","0"
"AQ37I-1","EN14825_014","2.52","5","3","0","2","0"
"AQ37I-1","EN14825_015","5.60","4","3","0","2","0"
"AQ37I-1","EN14825_015","4.70","5","3","0","2","0"
"AQ37I-1","EN14825_050","0.975","4","3","0","2","0"
"AQ37I-1","EN14825_050","0.978","5","3","0","2","0"
"AQ37I-1","EN14825_016","15.27","4","3","0","2","0"
"AQ37I-1","EN14825_016","13.89","5","3","0","2","0"
"AQ37I-1","EN14825_017","4.44","4","3","0","2","0"
"AQ37I-1","EN14825_017","3.00","5","3","0","2","0"
"AQ37I-1","EN14825_018","15.27","4","3","0","2","0"
"AQ37I-1","EN14825_018","13.89","5","3","0","2","0"
"AQ37I-1","EN14825_019","4.44","4","3","0","2","0"
"AQ37I-1","EN14825_019","3.00","5","3","0","2","0"
"AQ37I-1","EN14825_021","0.900","4","3","0","2","0"
"AQ37I-1","EN14825_021","0.900","5","3","0","2","0"
"AQ37I-1","EN14825_022","60","4","3","0","2","0"
"AQ37I-1","EN14825_022","60","5","3","0","2","0"
"AQ37I-1","EN14825_023","12","4","3","0","2","0"
"AQ37I-1","EN14825_023","12","5","3","0","2","0"
"AQ37I-1","EN14825_024","12","4","3","0","2","0"
"AQ37I-1","EN14825_024","12","5","3","0","2","0"
"AQ37I-1","EN14825_025","12","4","3","0","2","0"
"AQ37I-1","EN14825_025","12","5","3","0","2","0"
"AQ37I-1","EN14825_026","0","4","3","0","2","0"
"AQ37I-1","EN14825_026","0","5","3","0","2","0"
"AQ37I-1","EN14825_027","0","4","3","0","2","0"
"AQ37I-1","EN14825_027","0","5","3","0","2","0"
"AQ37I-1","EN14825_029","6185","4","3","0","2","0"
"AQ37I-1","EN14825_029","7232","5","3","0","2","0"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","1,800 kg","0","0","0","0"
"","Date","30.08.2023","0","0","0","0"
"","Manufacturer"," Master Therm tepelna cerpadla s.r.o.","0","0","0","0"
"","Modelname","AquaMaster Inverter AQ37I-1","0","0","0","0"
"","Type","Brine/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
