"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"S41-2","title","PUHZ-SW120VHA + EHST30C-*M*D","0","0","0","1","0"
"S41-2","application","4","0","0","0","1","0"
"S41-2","indoor","1","0","0","0","1","0"
"S41-2","outdoor","1","0","0","0","1","0"
"S41-2","coolingMode7c12c","0","0","0","0","1","0"
"S41-2","coolingMode18c23c","0","0","0","0","1","0"
"S41-2","colderClimate","0","0","0","0","1","0"
"S41-2","warmerClimate","0","0","0","0","1","0"
"S41-2","reversibility","0","0","0","0","1","0"
"S41-2","colderForHeating","0","0","0","0","1","0"
"S41-2","warmerForHeating","0","0","0","0","1","0"
"S41-2","en145112Certification","0","0","0","0","1","0"
"S41-2","heatSource","0","0","0","0","1","0"
"S41-2","additionalOutdoorAir","0","0","0","0","1","0"
"S41-2","additionalExhaustAir","0","0","0","0","1","0"
"S41-2","additionalIndoorAir","0","0","0","0","1","0"
"S41-2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"S41-2","powerSupply","3","0","0","0","1","0"
"S41-2","offPeakProduct","0","0","0","0","1","0"
"S41-2","EN14511_2_001","16.00","4","10","0","2","0"
"S41-2","EN14511_2_001","15.20","5","10","0","2","0"
"S41-2","EN14511_2_002","3.90","4","10","0","2","0"
"S41-2","EN14511_2_002","6.03","5","10","0","2","0"
"S41-2","EN14511_2_003","4.10","4","10","0","2","0"
"S41-2","EN14511_2_003","2.52","5","10","0","2","0"
"S41-2","EN14511_4_003","2","0","10","0","2","0"
"S41-2","EN14511_4_004","2","0","10","0","2","0"
"S41-2","EN14511_4_005","2","0","10","0","2","0"
"S41-2","EN14511_4_006","2","0","10","0","2","0"
"S41-2","EN12102_1_001","40","4","3","0","2","0"
"S41-2","EN12102_1_001","40","5","3","0","2","0"
"S41-2","EN12102_1_002","72","4","3","0","2","0"
"S41-2","EN12102_1_002","72","5","3","0","2","0"
"S41-2","EN14825_001","162","4","3","0","2","0"
"S41-2","EN14825_001","125","5","3","0","2","0"
"S41-2","EN14825_002","12.90","4","3","0","2","0"
"S41-2","EN14825_002","12.10","5","3","0","2","0"
"S41-2","EN14825_003","4.13","4","3","0","2","0"
"S41-2","EN14825_003","3.21","5","3","0","2","0"
"S41-2","EN14825_004","-7","4","3","0","2","0"
"S41-2","EN14825_004","-7","5","3","0","2","0"
"S41-2","EN14825_005","-20","4","3","0","2","0"
"S41-2","EN14825_005","-20","5","3","0","2","0"
"S41-2","EN14825_008","11.40","4","3","0","2","0"
"S41-2","EN14825_008","10.70","5","3","0","2","0"
"S41-2","EN14825_009","2.37","4","3","0","2","0"
"S41-2","EN14825_009","1.83","5","3","0","2","0"
"S41-2","EN14825_047","1.000","4","3","0","2","0"
"S41-2","EN14825_047","1.000","5","3","0","2","0"
"S41-2","EN14825_010","6.90","4","3","0","2","0"
"S41-2","EN14825_010","6.50","5","3","0","2","0"
"S41-2","EN14825_011","4.17","4","3","0","2","0"
"S41-2","EN14825_011","3.11","5","3","0","2","0"
"S41-2","EN14825_048","0.990","4","3","0","2","0"
"S41-2","EN14825_048","0.990","5","3","0","2","0"
"S41-2","EN14825_012","6.50","4","3","0","2","0"
"S41-2","EN14825_012","6.00","5","3","0","2","0"
"S41-2","EN14825_013","5.55","4","3","0","2","0"
"S41-2","EN14825_013","4.47","5","3","0","2","0"
"S41-2","EN14825_049","0.990","4","3","0","2","0"
"S41-2","EN14825_049","0.990","5","3","0","2","0"
"S41-2","EN14825_014","7.70","4","3","0","2","0"
"S41-2","EN14825_014","7.40","5","3","0","2","0"
"S41-2","EN14825_015","7.32","4","3","0","2","0"
"S41-2","EN14825_015","6.50","5","3","0","2","0"
"S41-2","EN14825_050","0.990","4","3","0","2","0"
"S41-2","EN14825_050","0.990","5","3","0","2","0"
"S41-2","EN14825_016","11.40","4","3","0","2","0"
"S41-2","EN14825_016","10.70","5","3","0","2","0"
"S41-2","EN14825_017","2.37","4","3","0","2","0"
"S41-2","EN14825_017","1.83","5","3","0","2","0"
"S41-2","EN14825_018","10.50","4","3","0","2","0"
"S41-2","EN14825_018","10.00","5","3","0","2","0"
"S41-2","EN14825_019","2.14","4","3","0","2","0"
"S41-2","EN14825_019","1.74","5","3","0","2","0"
"S41-2","EN14825_022","60","4","3","0","2","0"
"S41-2","EN14825_022","60","5","3","0","2","0"
"S41-2","EN14825_023","15","4","3","0","2","0"
"S41-2","EN14825_023","15","5","3","0","2","0"
"S41-2","EN14825_024","15","4","3","0","2","0"
"S41-2","EN14825_024","15","5","3","0","2","0"
"S41-2","EN14825_025","15","4","3","0","2","0"
"S41-2","EN14825_025","15","5","3","0","2","0"
"S41-2","EN14825_026","0","4","3","0","2","0"
"S41-2","EN14825_026","0","5","3","0","2","0"
"S41-2","EN14825_027","1","4","3","0","2","0"
"S41-2","EN14825_027","1","5","3","0","2","0"
"S41-2","EN14825_028","2.40","4","3","0","2","0"
"S41-2","EN14825_028","2.10","5","3","0","2","0"
"S41-2","EN14825_029","6448","4","3","0","2","0"
"S41-2","EN14825_029","7790","5","3","0","2","0"
"S41-2","EN16147_001","XL","0","3","0","2","0"
"S41-2","EN16147_002","118","0","3","0","2","0"
"S41-2","EN16147_003","2.84","0","3","0","2","0"
"S41-2","EN16147_004","02:12","0","3","0","2","0"
"S41-2","EN16147_005","43.0","0","3","0","2","0"
"S41-2","EN16147_006","52.5","0","3","0","2","0"
"S41-2","EN16147_007","417","0","3","0","2","0"
"S41-1","title","PUHZ-SW120VHA + EHST30C-M*D","0","0","0","1","0"
"S41-1","application","4","0","0","0","1","0"
"S41-1","indoor","1","0","0","0","1","0"
"S41-1","outdoor","1","0","0","0","1","0"
"S41-1","coolingMode7c12c","0","0","0","0","1","0"
"S41-1","coolingMode18c23c","0","0","0","0","1","0"
"S41-1","colderClimate","0","0","0","0","1","0"
"S41-1","warmerClimate","0","0","0","0","1","0"
"S41-1","reversibility","0","0","0","0","1","0"
"S41-1","colderForHeating","0","0","0","0","1","0"
"S41-1","warmerForHeating","0","0","0","0","1","0"
"S41-1","en145112Certification","0","0","0","0","1","0"
"S41-1","heatSource","0","0","0","0","1","0"
"S41-1","additionalOutdoorAir","0","0","0","0","1","0"
"S41-1","additionalExhaustAir","0","0","0","0","1","0"
"S41-1","additionalIndoorAir","0","0","0","0","1","0"
"S41-1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"S41-1","powerSupply","1","0","0","0","1","0"
"S41-1","offPeakProduct","0","0","0","0","1","0"
"S41-1","EN14511_2_001","16.00","4","10","0","2","0"
