"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"T2-1","title","PUZ-SHWM60VAA + EHST17D-*M*D","0","0","0","1","0"
"T2-1","application","4","0","0","0","1","0"
"T2-1","indoor","1","0","0","0","1","0"
"T2-1","outdoor","1","0","0","0","1","0"
"T2-1","coolingMode7c12c","0","0","0","0","1","0"
"T2-1","coolingMode18c23c","0","0","0","0","1","0"
"T2-1","colderClimate","0","0","0","0","1","0"
"T2-1","warmerClimate","0","0","0","0","1","0"
"T2-1","reversibility","0","0","0","0","1","0"
"T2-1","colderForHeating","0","0","0","0","1","0"
"T2-1","warmerForHeating","0","0","0","0","1","0"
"T2-1","en145112Certification","0","0","0","0","1","0"
"T2-1","heatSource","1","0","0","0","1","0"
"T2-1","additionalOutdoorAir","0","0","0","0","1","0"
"T2-1","additionalExhaustAir","0","0","0","0","1","0"
"T2-1","additionalIndoorAir","0","0","0","0","1","0"
"T2-1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"T2-1","powerSupply","1","0","0","0","1","0"
"T2-1","offPeakProduct","0","0","0","0","1","0"
"T2-1","EN14511_2_001","5","4","10","0","2","0"
"T2-1","EN14511_2_001","4","5","10","0","2","0"
"T2-1","EN14511_2_002","1.5","6","4","0","2","0"
"T2-1","EN14511_2_002","1.14","7","4","0","2","0"
"T2-1","EN14511_2_002","0.99","4","10","0","2","0"
"T2-1","EN14511_2_002","1.63","5","10","0","2","0"
"T2-1","EN14511_2_003","5.05","4","10","0","2","0"
"T2-1","EN14511_2_003","2.45","5","10","0","2","0"
"T2-1","EN14511_2_005","5.1","6","4","0","2","0"
"T2-1","EN14511_2_005","6","7","4","0","2","0"
"T2-1","EN14511_2_007","3.4","6","4","0","2","0"
"T2-1","EN14511_2_007","5.25","7","4","0","2","0"
"T2-1","EN14511_4_003","2","0","10","0","2","0"
"T2-1","EN14511_4_004","2","0","10","0","2","0"
"T2-1","EN14511_4_005","2","0","10","0","2","0"
"T2-1","EN14511_4_006","2","0","10","0","2","0"
"T2-1","EN12102_1_001","41","4","3","0","2","0"
"T2-1","EN12102_1_001","41","5","3","0","2","0"
"T2-1","EN12102_1_002","54","4","3","0","2","0"
"T2-1","EN12102_1_002","54","5","3","0","2","0"
"T2-1","EN14825_001","184","4","3","0","2","0"
"T2-1","EN14825_001","129","5","3","0","2","0"
"T2-1","EN14825_002","6","4","3","0","2","0"
"T2-1","EN14825_002","6","5","3","0","2","0"
"T2-1","EN14825_003","4.67","4","3","0","2","0"
"T2-1","EN14825_003","3.3","5","3","0","2","0"
"T2-1","EN14825_004","-10","4","3","0","2","0"
"T2-1","EN14825_004","-10","5","3","0","2","0"
"T2-1","EN14825_005","-10","4","3","0","2","0"
"T2-1","EN14825_005","-10","5","3","0","2","0"
"T2-1","EN14825_008","5.31","4","3","0","2","0"
