"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"model-205","title","F1145-10 1x230","0","0","0","1","0"
"model-205","application","2","0","0","0","1","0"
"model-205","indoor","1","0","0","0","1","0"
"model-205","outdoor","0","0","0","0","1","0"
"model-205","coolingMode7c12c","0","0","0","0","1","0"
"model-205","coolingMode18c23c","0","0","0","0","1","0"
"model-205","colderClimate","1","0","0","0","1","0"
"model-205","warmerClimate","0","0","0","0","1","0"
"model-205","reversibility","0","0","0","0","1","0"
"model-205","colderForHeating","0","0","0","0","1","0"
"model-205","warmerForHeating","0","0","0","0","1","0"
"model-205","en145112Certification","0","0","0","0","1","0"
"model-205","heatSource","0","0","0","0","1","0"
"model-205","additionalOutdoorAir","0","0","0","0","1","0"
"model-205","additionalExhaustAir","0","0","0","0","1","0"
"model-205","additionalIndoorAir","0","0","0","0","1","0"
"model-205","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"model-205","powerSupply","1","0","0","0","1","0"
"model-205","offPeakProduct","2","0","0","0","1","0"
"model-205","EN14511_4_001","2","0","10","0","2","0"
"model-205","EN14511_4_001","2","0","10","0","2","0"
"model-205","EN14511_4_002","2","0","10","0","2","0"
"model-205","EN14511_4_002","2","0","10","0","2","0"
"model-205","EN14511_2_001","9.69","4","10","0","2","0"
"model-205","EN14511_2_001","7.93","5","10","0","2","0"
"model-205","EN14511_2_002","2.07","4","10","0","2","0"
"model-205","EN14511_2_002","2.48","5","10","0","2","0"
"model-205","EN14511_2_003","4.68","4","10","0","2","0"
"model-205","EN14511_2_003","3.20","5","10","0","2","0"
"model-205","EN14511_4_003","2","0","10","0","2","0"
"model-205","EN14511_4_003","2","0","10","0","2","0"
"model-205","EN14511_4_004","2","0","10","0","2","0"
"model-205","EN14511_4_004","2","0","10","0","2","0"
"model-205","EN12102_1_001","45","4","2","0","2","0"
"model-205","EN12102_1_001","45","5","2","0","2","0"
"model-205","EN12102_1_001","45","4","3","0","2","0"
"model-205","EN12102_1_001","45","5","3","0","2","0"
"model-205","EN14825_001","193","4","2","0","2","0"
"model-205","EN14825_001","150","5","2","0","2","0"
"model-205","EN14825_001","188","4","3","0","2","0"
"model-205","EN14825_001","147","5","3","0","2","0"
"model-205","EN14825_002","12.00","4","2","0","2","0"
"model-205","EN14825_002","10.20","5","2","0","2","0"
"model-205","EN14825_002","12.00","4","3","0","2","0"
"model-205","EN14825_002","10.20","5","3","0","2","0"
"model-205","EN14825_003","5.03","4","2","0","2","0"
"model-205","EN14825_003","3.95","5","2","0","2","0"
"model-205","EN14825_003","4.90","4","3","0","2","0"
"model-205","EN14825_003","3.88","5","3","0","2","0"
"model-205","EN14825_004","-15","4","2","0","2","0"
"model-205","EN14825_004","-15","5","2","0","2","0"
"model-205","EN14825_004","-5","4","3","0","2","0"
"model-205","EN14825_004","-5","5","3","0","2","0"
"model-205","EN14825_005","-22","4","2","0","2","0"
"model-205","EN14825_005","-22","5","2","0","2","0"
"model-205","EN14825_005","-10","4","3","0","2","0"
"model-205","EN14825_005","-10","5","3","0","2","0"
"model-205","EN14825_008","10.10","4","2","0","2","0"
"model-205","EN14825_008","8.70","5","2","0","2","0"
"model-205","EN14825_008","9.80","4","3","0","2","0"
"model-205","EN14825_008","8.20","5","3","0","2","0"
"model-205","EN14825_009","5.04","4","2","0","2","0"
"model-205","EN14825_009","3.79","5","2","0","2","0"
"model-205","EN14825_009","4.79","4","3","0","2","0"
"model-205","EN14825_009","3.40","5","3","0","2","0"
"model-205","EN14825_010","10.20","4","2","0","2","0"
"model-205","EN14825_010","9.20","5","2","0","2","0"
"model-205","EN14825_010","10.00","4","3","0","2","0"
"model-205","EN14825_010","8.80","5","3","0","2","0"
"model-205","EN14825_011","5.17","4","2","0","2","0"
"model-205","EN14825_011","4.14","5","2","0","2","0"
"model-205","EN14825_011","5.00","4","3","0","2","0"
"model-205","EN14825_011","3.90","5","3","0","2","0"
"model-205","EN14825_012","10.30","4","2","0","2","0"
"model-205","EN14825_012","9.50","5","2","0","2","0"
"model-205","EN14825_012","10.20","4","3","0","2","0"
"model-205","EN14825_012","9.20","5","3","0","2","0"
"model-205","EN14825_013","5.22","4","2","0","2","0"
"model-205","EN14825_013","4.43","5","2","0","2","0"
"model-205","EN14825_013","5.14","4","3","0","2","0"
"model-205","EN14825_013","4.22","5","3","0","2","0"
"model-205","EN14825_014","10.40","4","2","0","2","0"
"model-205","EN14825_014","9.80","5","2","0","2","0"
"model-205","EN14825_014","10.40","4","3","0","2","0"
"model-205","EN14825_014","9.60","5","3","0","2","0"
"model-205","EN14825_015","5.01","4","2","0","2","0"
"model-205","EN14825_015","4.57","5","2","0","2","0"
"model-205","EN14825_015","5.18","4","3","0","2","0"
"model-205","EN14825_015","4.50","5","3","0","2","0"
"model-205","EN14825_016","9.90","4","2","0","2","0"
"model-205","EN14825_016","8.40","5","2","0","2","0"
"model-205","EN14825_016","9.90","4","3","0","2","0"
"model-205","EN14825_016","8.30","5","3","0","2","0"
"model-205","EN14825_017","4.92","4","2","0","2","0"
"model-205","EN14825_017","3.53","5","2","0","2","0"
"model-205","EN14825_017","4.84","4","3","0","2","0"
"model-205","EN14825_017","3.52","5","3","0","2","0"
"model-205","EN14825_018","9.70","4","2","0","2","0"
"model-205","EN14825_018","7.90","5","2","0","2","0"
"model-205","EN14825_018","9.70","4","3","0","2","0"
"model-205","EN14825_018","7.90","5","3","0","2","0"
"model-205","EN14825_019","4.68","4","2","0","2","0"
"model-205","EN14825_019","3.21","5","2","0","2","0"
"model-205","EN14825_019","4.68","4","3","0","2","0"
"model-205","EN14825_019","3.21","5","3","0","2","0"
"model-205","EN14825_021","0.99","4","2","0","2","0"
"model-205","EN14825_021","1.00","5","2","0","2","0"
"model-205","EN14825_021","0.99","4","3","0","2","0"
"model-205","EN14825_021","1.00","5","3","0","2","0"
"model-205","EN14825_022","65","4","2","0","2","0"
"model-205","EN14825_022","65","5","2","0","2","0"
"model-205","EN14825_022","65","4","3","0","2","0"
"model-205","EN14825_022","65","5","3","0","2","0"
"model-205","EN14825_023","2","4","2","0","2","0"
"model-205","EN14825_023","2","5","2","0","2","0"
"model-205","EN14825_023","2","4","3","0","2","0"
"model-205","EN14825_023","2","5","3","0","2","0"
"model-205","EN14825_024","20","4","2","0","2","0"
"model-205","EN14825_024","20","5","2","0","2","0"
"model-205","EN14825_024","20","4","3","0","2","0"
"model-205","EN14825_024","10","5","3","0","2","0"
"model-205","EN14825_025","7","4","2","0","2","0"
"model-205","EN14825_025","7","5","2","0","2","0"
"model-205","EN14825_025","7","4","3","0","2","0"
"model-205","EN14825_025","7","5","3","0","2","0"
"model-205","EN14825_026","9","4","2","0","2","0"
"model-205","EN14825_026","9","5","2","0","2","0"
"model-205","EN14825_026","9","4","3","0","2","0"
"model-205","EN14825_026","9","5","3","0","2","0"
"model-205","EN14825_027","1","4","2","0","2","0"
"model-205","EN14825_027","1","5","2","0","2","0"
"model-205","EN14825_027","1","4","3","0","2","0"
"model-205","EN14825_027","1","5","3","0","2","0"
"model-205","EN14825_028","2.30","4","2","0","2","0"
"model-205","EN14825_028","2.30","5","2","0","2","0"
"model-205","EN14825_028","2.30","4","3","0","2","0"
"model-205","EN14825_028","2.30","5","3","0","2","0"
"model-205","EN14825_029","5901","4","2","0","2","0"
"model-205","EN14825_029","6370","5","2","0","2","0"
"model-205","EN14825_029","5060","4","3","0","2","0"
"model-205","EN14825_029","5454","5","3","0","2","0"
"model-206","title","F1245-10 1x230","0","0","0","1","0"
"model-206","application","4","0","0","0","1","0"
"model-206","indoor","1","0","0","0","1","0"
"model-206","outdoor","0","0","0","0","1","0"
"model-206","coolingMode7c12c","0","0","0","0","1","0"
"model-206","coolingMode18c23c","0","0","0","0","1","0"
"model-206","colderClimate","1","0","0","0","1","0"
"model-206","warmerClimate","0","0","0","0","1","0"
"model-206","reversibility","0","0","0","0","1","0"
"model-206","colderForHeating","0","0","0","0","1","0"
"model-206","warmerForHeating","0","0","0","0","1","0"
"model-206","en145112Certification","0","0","0","0","1","0"
"model-206","heatSource","0","0","0","0","1","0"
"model-206","additionalOutdoorAir","0","0","0","0","1","0"
"model-206","additionalExhaustAir","0","0","0","0","1","0"
