"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"model-261","title","F370 1x230","0","0","0","1","0"
"model-261","application","4","0","0","0","1","0"
"model-261","indoor","1","0","0","0","1","0"
"model-261","outdoor","0","0","0","0","1","0"
"model-261","coolingMode7c12c","0","0","0","0","1","0"
"model-261","coolingMode18c23c","0","0","0","0","1","0"
"model-261","colderClimate","1","0","0","0","1","0"
"model-261","warmerClimate","0","0","0","0","1","0"
"model-261","reversibility","0","0","0","0","1","0"
"model-261","colderForHeating","0","0","0","0","1","0"
"model-261","warmerForHeating","0","0","0","0","1","0"
"model-261","en145112Certification","0","0","0","0","1","0"
"model-261","heatSource","0","0","0","0","1","0"
"model-261","additionalOutdoorAir","0","0","0","0","1","0"
"model-261","additionalExhaustAir","0","0","0","0","1","0"
"model-261","additionalIndoorAir","0","0","0","0","1","0"
"model-261","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"model-261","powerSupply","1","0","0","0","1","0"
"model-261","offPeakProduct","2","0","0","0","1","0"
"model-261","EN14511_4_001","2","0","10","0","2","0"
"model-261","EN14511_4_001","2","0","10","0","2","0"
"model-261","EN14511_4_002","2","0","10","0","2","0"
"model-261","EN14511_4_002","2","0","10","0","2","0"
"model-261","EN14511_2_001","2.18","4","10","0","2","0"
"model-261","EN14511_2_001","1.68","4","10","0","2","0"
"model-261","EN14511_2_001","1.86","5","10","0","2","0"
"model-261","EN14511_2_001","1.68","5","10","0","2","0"
"model-261","EN14511_2_002","0.55","4","10","0","2","0"
"model-261","EN14511_2_002","0.46","4","10","0","2","0"
"model-261","EN14511_2_002","0.68","5","10","0","2","0"
"model-261","EN14511_2_002","0.66","5","10","0","2","0"
"model-261","EN14511_2_003","3.93","4","10","0","2","0"
"model-261","EN14511_2_003","3.67","4","10","0","2","0"
"model-261","EN14511_2_003","2.74","5","10","0","2","0"
"model-261","EN14511_2_003","2.55","5","10","0","2","0"
"model-261","EN14511_4_003","2","0","10","0","2","0"
"model-261","EN14511_4_003","2","0","10","0","2","0"
"model-261","EN14511_4_004","2","0","10","0","2","0"
"model-261","EN14511_4_004","2","0","10","0","2","0"
"model-261","EN12102_1_001","47","4","2","0","2","0"
"model-261","EN12102_1_001","47","5","2","0","2","0"
"model-261","EN12102_1_001","47","4","3","0","2","0"
"model-261","EN12102_1_001","47","5","3","0","2","0"
"model-261","EN14825_001","139","4","2","0","2","0"
"model-261","EN14825_001","116","5","2","0","2","0"
"model-261","EN14825_001","131","4","3","0","2","0"
"model-261","EN14825_001","110","5","3","0","2","0"
"model-261","EN14825_002","2.60","4","2","0","2","0"
"model-261","EN14825_002","2.60","5","2","0","2","0"
"model-261","EN14825_002","2.60","4","3","0","2","0"
"model-261","EN14825_002","2.60","5","3","0","2","0"
"model-261","EN14825_003","3.55","4","2","0","2","0"
"model-261","EN14825_003","2.97","5","2","0","2","0"
"model-261","EN14825_003","3.35","4","3","0","2","0"
"model-261","EN14825_003","2.82","5","3","0","2","0"
"model-261","EN14825_004","-10","4","2","0","2","0"
"model-261","EN14825_004","-10","5","2","0","2","0"
"model-261","EN14825_004","-2","4","3","0","2","0"
"model-261","EN14825_004","-2","5","3","0","2","0"
"model-261","EN14825_005","-22","4","2","0","2","0"
"model-261","EN14825_005","-22","5","2","0","2","0"
"model-261","EN14825_005","-10","4","3","0","2","0"
"model-261","EN14825_005","-10","5","3","0","2","0"
"model-261","EN14825_008","1.70","4","2","0","2","0"
"model-261","EN14825_008","1.70","5","2","0","2","0"
"model-261","EN14825_008","1.70","4","3","0","2","0"
"model-261","EN14825_008","1.70","5","3","0","2","0"
"model-261","EN14825_009","4.04","4","2","0","2","0"
"model-261","EN14825_009","3.16","5","2","0","2","0"
"model-261","EN14825_009","3.78","4","3","0","2","0"
"model-261","EN14825_009","2.72","5","3","0","2","0"
"model-261","EN14825_010","1.70","4","2","0","2","0"
"model-261","EN14825_010","1.70","5","2","0","2","0"
"model-261","EN14825_010","1.70","4","3","0","2","0"
"model-261","EN14825_010","1.70","5","3","0","2","0"
"model-261","EN14825_011","3.99","4","2","0","2","0"
"model-261","EN14825_011","3.34","5","2","0","2","0"
"model-261","EN14825_011","3.98","4","3","0","2","0"
"model-261","EN14825_011","3.22","5","3","0","2","0"
"model-261","EN14825_012","1.70","4","2","0","2","0"
"model-261","EN14825_012","1.70","5","2","0","2","0"
"model-261","EN14825_012","1.70","4","3","0","2","0"
