"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","Indoor unit HU062WAMNA, Outdoor unit: AW042SSCHA","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","4.09","4","10","0","2","0"
"","EN14511_2_001","4.26","5","10","0","2","0"
"","EN14511_2_002","0.78","4","10","0","2","0"
"","EN14511_2_002","1.47","5","10","0","2","0"
"","EN14511_2_003","5.23","4","10","0","2","0"
"","EN14511_2_003","2.89","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","37","4","3","0","2","0"
"","EN12102_1_001","39","5","3","0","2","0"
"","EN12102_1_002","54","4","3","0","2","0"
"","EN12102_1_002","59","5","3","0","2","0"
"","EN14825_001","191","4","3","0","2","0"
"","EN14825_001","133","5","3","0","2","0"
"","EN14825_002","4.06","4","3","0","2","0"
"","EN14825_002","4.11","5","3","0","2","0"
"","EN14825_003","4.85","4","3","0","2","0"
"","EN14825_003","3.39","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-25","4","3","0","2","0"
"","EN14825_005","-25","5","3","0","2","0"
"","EN14825_008","3.59","4","3","0","2","0"
"","EN14825_008","3.63","5","3","0","2","0"
"","EN14825_009","3.17","4","3","0","2","0"
"","EN14825_009","2.11","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","2.22","4","3","0","2","0"
"","EN14825_010","2.26","5","3","0","2","0"
"","EN14825_011","4.84","4","3","0","2","0"
"","EN14825_011","3.40","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.01","4","3","0","2","0"
"","EN14825_012","2.30","5","3","0","2","0"
"","EN14825_013","6.21","4","3","0","2","0"
"","EN14825_013","4.47","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","2.38","4","3","0","2","0"
"","EN14825_014","2.38","5","3","0","2","0"
"","EN14825_015","8.77","4","3","0","2","0"
"","EN14825_015","6.96","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","3.59","4","3","0","2","0"
"","EN14825_016","3.63","5","3","0","2","0"
"","EN14825_017","3.17","4","3","0","2","0"
"","EN14825_017","2.11","5","3","0","2","0"
"","EN14825_018","4.29","4","3","0","2","0"
"","EN14825_018","3.52","5","3","0","2","0"
"","EN14825_019","2.93","4","3","0","2","0"
"","EN14825_019","1.70","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","17","4","3","0","2","0"
"","EN14825_023","17","5","3","0","2","0"
"","EN14825_024","17","4","3","0","2","0"
"","EN14825_024","17","5","3","0","2","0"
"","EN14825_025","17","4","3","0","2","0"
"","EN14825_025","17","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.59","5","3","0","2","0"
"","EN14825_029","1729","4","3","0","2","0"
"","EN14825_029","2501","5","3","0","2","0"
"","title","Indoor unit: HU062WAMNA, Outdoor unit: AW062SSCHA","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","6.04","4","10","0","2","0"
"","EN14511_2_001","6.09","5","10","0","2","0"
"","EN14511_2_002","1.20","4","10","0","2","0"
"","EN14511_2_002","2.12","5","10","0","2","0"
"","EN14511_2_003","5.05","4","10","0","2","0"
"","EN14511_2_003","2.88","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","37","4","3","0","2","0"
"","EN12102_1_001","39","5","3","0","2","0"
"","EN12102_1_002","60","4","3","0","2","0"
"","EN12102_1_002","63","5","3","0","2","0"
"","EN14825_001","194","4","3","0","2","0"
"","EN14825_001","131","5","3","0","2","0"
"","EN14825_002","5.96","4","3","0","2","0"
"","EN14825_002","5.94","5","3","0","2","0"
"","EN14825_003","4.92","4","3","0","2","0"
"","EN14825_003","3.34","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-25","4","3","0","2","0"
"","EN14825_005","-25","5","3","0","2","0"
"","EN14825_008","5.27","4","3","0","2","0"
"","EN14825_008","5.26","5","3","0","2","0"
"","EN14825_009","3.25","4","3","0","2","0"
"","EN14825_009","2.12","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","3.30","4","3","0","2","0"
"","EN14825_010","3.30","5","3","0","2","0"
"","EN14825_011","4.89","4","3","0","2","0"
"","EN14825_011","3.27","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.35","4","3","0","2","0"
"","EN14825_012","2.21","5","3","0","2","0"
"","EN14825_013","6.10","4","3","0","2","0"
"","EN14825_013","4.29","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","2.88","4","3","0","2","0"
"","EN14825_014","2.78","5","3","0","2","0"
"","EN14825_015","9.38","4","3","0","2","0"
"","EN14825_015","7.01","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","5.27","4","3","0","2","0"
"","EN14825_016","5.26","5","3","0","2","0"
"","EN14825_017","3.25","4","3","0","2","0"
"","EN14825_017","2.12","5","3","0","2","0"
"","EN14825_018","5.13","4","3","0","2","0"
"","EN14825_018","3.92","5","3","0","2","0"
"","EN14825_019","2.89","4","3","0","2","0"
"","EN14825_019","1.52","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","17","4","3","0","2","0"
"","EN14825_023","17","5","3","0","2","0"
"","EN14825_024","17","4","3","0","2","0"
"","EN14825_024","17","5","3","0","2","0"
"","EN14825_025","17","4","3","0","2","0"
"","EN14825_025","17","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.83","4","3","0","2","0"
"","EN14825_028","2.02","5","3","0","2","0"
"","EN14825_029","2501","4","3","0","2","0"
"","EN14825_029","3671","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,200 kg","0","0","0","0"
"","Date","06.11.2023","0","0","0","0"
"","Manufacturer"," Qingdao Haier Air Conditioner Electric Co., Ltd.","0","0","0","0"
"","Modelname","Split Air-to-Water Heat Pump System- R32- W042+ W062","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
