"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","CARRIER 30AWH012HP-C--C--","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","1","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","11.40","4","10","0","2","0"
"","EN14511_2_001","10.95","5","10","0","2","0"
"","EN14511_2_002","3.18","6","4","0","2","0"
"","EN14511_2_002","2.50","4","10","0","2","0"
"","EN14511_2_002","3.54","5","10","0","2","0"
"","EN14511_2_003","4.55","4","10","0","2","0"
"","EN14511_2_003","3.10","5","10","0","2","0"
"","EN14511_2_005","9.70","6","4","0","2","0"
"","EN14511_2_007","3.05","6","4","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","52","4","3","0","2","0"
"","EN12102_1_002","54","5","3","0","2","0"
"","EN14825_001","187","4","3","0","2","0"
"","EN14825_001","131","5","3","0","2","0"
"","EN14825_002","9.35","4","3","0","2","0"
"","EN14825_002","9.33","5","3","0","2","0"
"","EN14825_003","4.74","4","3","0","2","0"
"","EN14825_003","3.35","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.27","4","3","0","2","0"
"","EN14825_008","8.25","5","3","0","2","0"
"","EN14825_009","2.74","4","3","0","2","0"
"","EN14825_009","1.97","5","3","0","2","0"
"","EN14825_010","5.03","4","3","0","2","0"
"","EN14825_010","5.02","5","3","0","2","0"
"","EN14825_011","4.65","4","3","0","2","0"
"","EN14825_011","3.17","5","3","0","2","0"
"","EN14825_012","4.86","4","3","0","2","0"
"","EN14825_012","3.23","5","3","0","2","0"
"","EN14825_013","6.55","4","3","0","2","0"
"","EN14825_013","4.76","5","3","0","2","0"
"","EN14825_049","0.973","4","3","0","2","0"
"","EN14825_049","0.976","5","3","0","2","0"
"","EN14825_014","3.81","4","3","0","2","0"
"","EN14825_014","3.52","5","3","0","2","0"
"","EN14825_015","9.06","4","3","0","2","0"
