"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"3","title","HP ODU SPRINT 11M / HP IDU SPRINT M3WM","0","0","0","1","0"
"3","application","2","0","0","0","1","0"
"3","indoor","1","0","0","0","1","0"
"3","outdoor","1","0","0","0","1","0"
"3","coolingMode7c12c","0","0","0","0","1","0"
"3","coolingMode18c23c","0","0","0","0","1","0"
"3","colderClimate","0","0","0","0","1","0"
"3","warmerClimate","0","0","0","0","1","0"
"3","reversibility","1","0","0","0","1","0"
"3","colderForHeating","0","0","0","0","1","0"
"3","warmerForHeating","0","0","0","0","1","0"
"3","en145112Certification","0","0","0","0","1","0"
"3","heatSource","0","0","0","0","1","0"
"3","additionalOutdoorAir","0","0","0","0","1","0"
"3","additionalExhaustAir","0","0","0","0","1","0"
"3","additionalIndoorAir","0","0","0","0","1","0"
"3","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"3","powerSupply","1","0","0","0","1","0"
"3","offPeakProduct","0","0","0","0","1","0"
"3","EN14511_4_001","1","0","10","0","2","0"
"3","EN14511_4_002","1","0","10","0","2","0"
"3","EN14511_2_001","11","4","10","0","2","0"
"3","EN14511_2_001","10.17","5","10","0","2","0"
"3","EN14511_2_002","2.39","4","10","0","2","0"
"3","EN14511_2_002","3.62","5","10","0","2","0"
"3","EN14511_2_003","4.6","4","10","0","2","0"
"3","EN14511_2_003","2.81","5","10","0","2","0"
"3","EN14511_4_003","2","0","10","0","2","0"
"3","EN14511_4_004","2","0","10","0","2","0"
"3","EN14511_4_005","2","0","10","0","2","0"
"3","EN14511_4_006","2","0","10","0","2","0"
"3","EN12102_1_001","40","4","3","0","2","0"
"3","EN12102_1_001","40","5","3","0","2","0"
"3","EN12102_1_002","65","4","3","0","2","0"
"3","EN12102_1_002","65","5","3","0","2","0"
"3","EN14825_001","179","4","3","0","2","0"
"3","EN14825_001","142","5","3","0","2","0"
"3","EN14825_002","8.93","4","3","0","2","0"
"3","EN14825_002","8.27","5","3","0","2","0"
"3","EN14825_003","4.55","4","3","0","2","0"
"3","EN14825_003","3.62","5","3","0","2","0"
"3","EN14825_004","-7","4","3","0","2","0"
"3","EN14825_004","-7","5","3","0","2","0"
"3","EN14825_005","-10","4","3","0","2","0"
"3","EN14825_005","-10","5","3","0","2","0"
"3","EN14825_008","7.9","4","3","0","2","0"
"3","EN14825_008","7.3","5","3","0","2","0"
"3","EN14825_009","2.59","4","3","0","2","0"
"3","EN14825_009","2.12","5","3","0","2","0"
"3","EN14825_047","0.98","4","3","0","2","0"
"3","EN14825_047","0.99","5","3","0","2","0"
"3","EN14825_010","4.9","4","3","0","2","0"
"3","EN14825_010","4.5","5","3","0","2","0"
"3","EN14825_011","4.5","4","3","0","2","0"
"3","EN14825_011","3.58","5","3","0","2","0"
"3","EN14825_048","0.95","4","3","0","2","0"
"3","EN14825_048","0.96","5","3","0","2","0"
"3","EN14825_012","3.1","4","3","0","2","0"
"3","EN14825_012","3","5","3","0","2","0"
"3","EN14825_013","6.23","4","3","0","2","0"
"3","EN14825_013","4.75","5","3","0","2","0"
"3","EN14825_049","0.9","4","3","0","2","0"
"3","EN14825_049","0.92","5","3","0","2","0"
"3","EN14825_014","2.3","4","3","0","2","0"
"3","EN14825_014","2.3","5","3","0","2","0"
"3","EN14825_015","8.4","4","3","0","2","0"
"3","EN14825_015","7","5","3","0","2","0"
"3","EN14825_050","0.9","4","3","0","2","0"
"3","EN14825_050","0.9","5","3","0","2","0"
"3","EN14825_016","7.9","4","3","0","2","0"
"3","EN14825_016","7.3","5","3","0","2","0"
"3","EN14825_017","2.59","4","3","0","2","0"
"3","EN14825_017","2.12","5","3","0","2","0"
"3","EN14825_018","7.7","4","3","0","2","0"
"3","EN14825_018","6.7","5","3","0","2","0"
"3","EN14825_019","2.42","4","3","0","2","0"
"3","EN14825_019","1.89","5","3","0","2","0"
"3","EN14825_021","0.8","4","3","0","2","0"
"3","EN14825_021","0.9","5","3","0","2","0"
"3","EN14825_022","65","4","3","0","2","0"
"3","EN14825_022","65","5","3","0","2","0"
"3","EN14825_023","7","4","3","0","2","0"
"3","EN14825_023","7","5","3","0","2","0"
"3","EN14825_024","49","4","3","0","2","0"
"3","EN14825_024","49","5","3","0","2","0"
"3","EN14825_025","7","4","3","0","2","0"
"3","EN14825_025","7","5","3","0","2","0"
"3","EN14825_026","0","4","3","0","2","0"
"3","EN14825_026","0","5","3","0","2","0"
"3","EN14825_027","1","4","3","0","2","0"
"3","EN14825_027","1","5","3","0","2","0"
"3","EN14825_028","1.23","4","3","0","2","0"
"3","EN14825_028","1.57","5","3","0","2","0"
"3","EN14825_029","4054","4","3","0","2","0"
"3","EN14825_029","4728","5","3","0","2","0"
"6","title","HP ODU SPRINT 11M / HP IDU SPRINT M6WM","0","0","0","1","0"
"6","application","2","0","0","0","1","0"
"6","indoor","1","0","0","0","1","0"
"6","outdoor","1","0","0","0","1","0"
"6","coolingMode7c12c","0","0","0","0","1","0"
"6","coolingMode18c23c","0","0","0","0","1","0"
"6","colderClimate","0","0","0","0","1","0"
"6","warmerClimate","0","0","0","0","1","0"
"6","reversibility","1","0","0","0","1","0"
"6","colderForHeating","0","0","0","0","1","0"
"6","warmerForHeating","0","0","0","0","1","0"
"6","en145112Certification","0","0","0","0","1","0"
"6","heatSource","0","0","0","0","1","0"
"6","additionalOutdoorAir","0","0","0","0","1","0"
"6","additionalExhaustAir","0","0","0","0","1","0"
"6","additionalIndoorAir","0","0","0","0","1","0"
"6","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"6","powerSupply","1","0","0","0","1","0"
"6","offPeakProduct","0","0","0","0","1","0"
"6","EN14511_4_001","1","0","10","0","2","0"
"6","EN14511_4_002","1","0","10","0","2","0"
"6","EN14511_2_001","11","4","10","0","2","0"
"6","EN14511_2_001","10.17","5","10","0","2","0"
"6","EN14511_2_002","2.39","4","10","0","2","0"
"6","EN14511_2_002","3.62","5","10","0","2","0"
"6","EN14511_2_003","4.6","4","10","0","2","0"
"6","EN14511_2_003","2.81","5","10","0","2","0"
"6","EN14511_4_003","2","0","10","0","2","0"
"6","EN14511_4_004","2","0","10","0","2","0"
"6","EN14511_4_005","2","0","10","0","2","0"
"6","EN14511_4_006","2","0","10","0","2","0"
"6","EN12102_1_001","40","4","3","0","2","0"
"6","EN12102_1_001","40","5","3","0","2","0"
"6","EN12102_1_002","65","4","3","0","2","0"
"6","EN12102_1_002","65","5","3","0","2","0"
"6","EN14825_001","179","4","3","0","2","0"
"6","EN14825_001","142","5","3","0","2","0"
"6","EN14825_002","8.93","4","3","0","2","0"
"6","EN14825_002","8.27","5","3","0","2","0"
"6","EN14825_003","4.55","4","3","0","2","0"
"6","EN14825_003","3.62","5","3","0","2","0"
"6","EN14825_004","-7","4","3","0","2","0"
"6","EN14825_004","-7","5","3","0","2","0"
"6","EN14825_005","-10","4","3","0","2","0"
"6","EN14825_005","-10","5","3","0","2","0"
"6","EN14825_008","7.9","4","3","0","2","0"
"6","EN14825_008","7.3","5","3","0","2","0"
"6","EN14825_009","2.59","4","3","0","2","0"
"6","EN14825_009","2.12","5","3","0","2","0"
"6","EN14825_047","0.98","4","3","0","2","0"
"6","EN14825_047","0.99","5","3","0","2","0"
"6","EN14825_010","4.9","4","3","0","2","0"
"6","EN14825_010","4.5","5","3","0","2","0"
"6","EN14825_011","4.5","4","3","0","2","0"
"6","EN14825_011","3.58","5","3","0","2","0"
"6","EN14825_048","0.95","4","3","0","2","0"
"6","EN14825_048","0.96","5","3","0","2","0"
"6","EN14825_012","3.1","4","3","0","2","0"
"6","EN14825_012","3","5","3","0","2","0"
"6","EN14825_013","6.23","4","3","0","2","0"
"6","EN14825_013","4.75","5","3","0","2","0"
"6","EN14825_049","0.9","4","3","0","2","0"
"6","EN14825_049","0.92","5","3","0","2","0"
"6","EN14825_014","2.3","4","3","0","2","0"
"6","EN14825_014","2.3","5","3","0","2","0"
"6","EN14825_015","8.4","4","3","0","2","0"
"6","EN14825_015","7","5","3","0","2","0"
"6","EN14825_050","0.9","4","3","0","2","0"
"6","EN14825_050","0.9","5","3","0","2","0"
"6","EN14825_016","7.9","4","3","0","2","0"
"6","EN14825_016","7.3","5","3","0","2","0"
"6","EN14825_017","2.59","4","3","0","2","0"
"6","EN14825_017","2.12","5","3","0","2","0"
"6","EN14825_018","7.7","4","3","0","2","0"
"6","EN14825_018","6.7","5","3","0","2","0"
"6","EN14825_019","2.42","4","3","0","2","0"
"6","EN14825_019","1.89","5","3","0","2","0"
"6","EN14825_021","0.8","4","3","0","2","0"
"6","EN14825_021","0.9","5","3","0","2","0"
"6","EN14825_022","65","4","3","0","2","0"
"6","EN14825_022","65","5","3","0","2","0"
"6","EN14825_023","7","4","3","0","2","0"
"6","EN14825_023","7","5","3","0","2","0"
"6","EN14825_024","49","4","3","0","2","0"
"6","EN14825_024","49","5","3","0","2","0"
"6","EN14825_025","7","4","3","0","2","0"
"6","EN14825_025","7","5","3","0","2","0"
"6","EN14825_026","0","4","3","0","2","0"
"6","EN14825_026","0","5","3","0","2","0"
"6","EN14825_027","1","4","3","0","2","0"
"6","EN14825_027","1","5","3","0","2","0"
"6","EN14825_028","1.23","4","3","0","2","0"
"6","EN14825_028","1.57","5","3","0","2","0"
"6","EN14825_029","4054","4","3","0","2","0"
"6","EN14825_029","4728","5","3","0","2","0"
"4","title","HP ODU SPRINT 11M / HP IDU SPRINT T6WM","0","0","0","1","0"
"4","application","2","0","0","0","1","0"
"4","indoor","1","0","0","0","1","0"
"4","outdoor","1","0","0","0","1","0"
"4","coolingMode7c12c","0","0","0","0","1","0"
"4","coolingMode18c23c","0","0","0","0","1","0"
"4","colderClimate","0","0","0","0","1","0"
"4","warmerClimate","0","0","0","0","1","0"
"4","reversibility","1","0","0","0","1","0"
"4","colderForHeating","0","0","0","0","1","0"
"4","warmerForHeating","0","0","0","0","1","0"
"4","en145112Certification","0","0","0","0","1","0"
"4","heatSource","0","0","0","0","1","0"
"4","additionalOutdoorAir","0","0","0","0","1","0"
"4","additionalExhaustAir","0","0","0","0","1","0"
"4","additionalIndoorAir","0","0","0","0","1","0"
"4","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"4","powerSupply","1","0","0","0","1","0"
"4","offPeakProduct","0","0","0","0","1","0"
"4","EN14511_4_001","1","0","10","0","2","0"
"4","EN14511_4_002","1","0","10","0","2","0"
"4","EN14511_2_001","11","4","10","0","2","0"
