"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","SMHM-40P; SMHM-40P/3; SMHM-40P***","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","0","0","0","0","1","0"
"1","colderForHeating","1","0","0","0","1","0"
"1","warmerForHeating","1","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","4.5","4","10","0","2","0"
"1","EN14511_2_001","4.6","5","10","0","2","0"
"1","EN14511_2_002","0.87","4","10","0","2","0"
"1","EN14511_2_002","1.44","5","10","0","2","0"
"1","EN14511_2_003","5.15","4","10","0","2","0"
"1","EN14511_2_003","3.20","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","56","4","1","0","2","0"
"1","EN12102_1_002","56","5","1","0","2","0"
"1","EN12102_1_002","56","4","2","0","2","0"
"1","EN12102_1_002","56","5","2","0","2","0"
"1","EN12102_1_002","56","4","3","0","2","0"
"1","EN12102_1_002","56","5","3","0","2","0"
"1","EN14825_001","235.00","4","1","0","2","0"
"1","EN14825_001","170.00","5","1","0","2","0"
"1","EN14825_001","158","4","2","0","2","0"
"1","EN14825_001","124","5","2","0","2","0"
"1","EN14825_001","199","4","3","0","2","0"
"1","EN14825_001","148","5","3","0","2","0"
"1","EN14825_002","4.6","4","1","0","2","0"
"1","EN14825_002","4.7","5","1","0","2","0"
"1","EN14825_002","5.0","4","2","0","2","0"
"1","EN14825_002","4.3","5","2","0","2","0"
"1","EN14825_002","5.00","4","3","0","2","0"
"1","EN14825_002","4.90","5","3","0","2","0"
"1","EN14825_003","5.97","4","1","0","2","0"
"1","EN14825_003","4.34","5","1","0","2","0"
"1","EN14825_003","4.03","4","2","0","2","0"
"1","EN14825_003","3.18","5","2","0","2","0"
"1","EN14825_003","5.07","4","3","0","2","0"
"1","EN14825_003","3.79","5","3","0","2","0"
"1","EN14825_004","7.00","4","1","0","2","0"
"1","EN14825_004","7.00","5","1","0","2","0"
"1","EN14825_004","-15.00","4","2","0","2","0"
"1","EN14825_004","-15.00","5","2","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","2.00","4","1","0","2","0"
"1","EN14825_005","2.00","5","1","0","2","0"
"1","EN14825_005","-22.00","4","2","0","2","0"
"1","EN14825_005","-22.00","5","2","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","3.02","4","2","0","2","0"
