"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title"," AE050CXYDEK/EU & MIM-E03EN ","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","5.00","4","10","0","2","0"
"1","EN14511_2_001","5.00","5","10","0","2","0"
"1","EN14511_2_002","0.98","4","10","0","2","0"
"1","EN14511_2_002","1.61","5","10","0","2","0"
"1","EN14511_2_003","5.10","4","10","0","2","0"
"1","EN14511_2_003","3.10","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","55","4","3","0","2","0"
"1","EN12102_1_002","55","5","3","0","2","0"
"1","EN14825_001","201","4","3","0","2","0"
"1","EN14825_001","141","5","3","0","2","0"
"1","EN14825_002","5.50","4","3","0","2","0"
"1","EN14825_002","5.50","5","3","0","2","0"
"1","EN14825_003","5.10","4","3","0","2","0"
"1","EN14825_003","3.60","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","4.87","4","3","0","2","0"
"1","EN14825_008","4.90","5","3","0","2","0"
"1","EN14825_009","3.06","4","3","0","2","0"
"1","EN14825_009","2.15","5","3","0","2","0"
"1","EN14825_010","2.96","4","3","0","2","0"
"1","EN14825_010","2.96","5","3","0","2","0"
"1","EN14825_011","5.08","4","3","0","2","0"
"1","EN14825_011","3.56","5","3","0","2","0"
"1","EN14825_012","1.90","4","3","0","2","0"
"1","EN14825_012","1.90","5","3","0","2","0"
"1","EN14825_013","6.85","4","3","0","2","0"
"1","EN14825_013","4.85","5","3","0","2","0"
"1","EN14825_014","1.90","4","3","0","2","0"
"1","EN14825_014","1.70","5","3","0","2","0"
"1","EN14825_015","8.40","4","3","0","2","0"
"1","EN14825_015","5.80","5","3","0","2","0"
"1","EN14825_016","4.90","4","3","0","2","0"
"1","EN14825_016","4.90","5","3","0","2","0"
"1","EN14825_017","3.03","4","3","0","2","0"
"1","EN14825_017","2.15","5","3","0","2","0"
"1","EN14825_018","4.90","4","3","0","2","0"
"1","EN14825_018","4.80","5","3","0","2","0"
"1","EN14825_019","2.63","4","3","0","2","0"
"1","EN14825_019","1.90","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","75","4","3","0","2","0"
"1","EN14825_022","75","5","3","0","2","0"
"1","EN14825_023","22","4","3","0","2","0"
"1","EN14825_023","22","5","3","0","2","0"
"1","EN14825_024","22","4","3","0","2","0"
"1","EN14825_024","22","5","3","0","2","0"
"1","EN14825_025","22","4","3","0","2","0"
"1","EN14825_025","22","5","3","0","2","0"
"1","EN14825_026","0","4","3","0","2","0"
"1","EN14825_026","0","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
