"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","AE040RXEDEG/EU & AE200RNWSEG/EU","0","0","0","1","0"
"1","application","4","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","4.40","4","10","0","2","0"
"1","EN14511_2_001","3.90","5","10","0","2","0"
"1","EN14511_2_002","0.85","4","10","0","2","0"
"1","EN14511_2_002","1.32","5","10","0","2","0"
"1","EN14511_2_003","5.20","4","10","0","2","0"
"1","EN14511_2_003","2.95","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","40","4","3","0","2","0"
"1","EN12102_1_001","40","5","3","0","2","0"
"1","EN12102_1_002","58","4","3","0","2","0"
"1","EN12102_1_002","58","5","3","0","2","0"
"1","EN14825_001","180","4","3","0","2","0"
"1","EN14825_001","127","5","3","0","2","0"
"1","EN14825_002","5.00","4","3","0","2","0"
"1","EN14825_002","5.00","5","3","0","2","0"
"1","EN14825_003","4.58","4","3","0","2","0"
"1","EN14825_003","3.25","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","4.42","4","3","0","2","0"
"1","EN14825_008","4.42","5","3","0","2","0"
"1","EN14825_009","3.02","4","3","0","2","0"
"1","EN14825_009","2.10","5","3","0","2","0"
"1","EN14825_047","0.90","4","3","0","2","0"
"1","EN14825_047","0.90","5","3","0","2","0"
"1","EN14825_010","2.69","4","3","0","2","0"
"1","EN14825_010","2.69","5","3","0","2","0"
"1","EN14825_011","4.63","4","3","0","2","0"
"1","EN14825_011","3.10","5","3","0","2","0"
"1","EN14825_048","0.90","4","3","0","2","0"
"1","EN14825_048","0.90","5","3","0","2","0"
"1","EN14825_012","1.73","4","3","0","2","0"
"1","EN14825_012","1.73","5","3","0","2","0"
"1","EN14825_013","6.48","4","3","0","2","0"
"1","EN14825_013","4.46","5","3","0","2","0"
"1","EN14825_049","0.90","4","3","0","2","0"
"1","EN14825_049","0.90","5","3","0","2","0"
"1","EN14825_014","1.96","4","3","0","2","0"
"1","EN14825_014","1.93","5","3","0","2","0"
"1","EN14825_015","4.88","4","3","0","2","0"
"1","EN14825_015","5.72","5","3","0","2","0"
"1","EN14825_050","0.90","4","3","0","2","0"
"1","EN14825_050","0.90","5","3","0","2","0"
"1","EN14825_016","4.42","4","3","0","2","0"
"1","EN14825_016","4.42","5","3","0","2","0"
"1","EN14825_017","3.02","4","3","0","2","0"
"1","EN14825_017","2.10","5","3","0","2","0"
"1","EN14825_018","4.48","4","3","0","2","0"
"1","EN14825_018","4.17","5","3","0","2","0"
"1","EN14825_019","2.24","4","3","0","2","0"
"1","EN14825_019","1.51","5","3","0","2","0"
"1","EN14825_022","65","4","3","0","2","0"
"1","EN14825_022","65","5","3","0","2","0"
"1","EN14825_023","22","4","3","0","2","0"
"1","EN14825_023","22","5","3","0","2","0"
"1","EN14825_024","22","4","3","0","2","0"
"1","EN14825_024","22","5","3","0","2","0"
"1","EN14825_025","22","4","3","0","2","0"
"1","EN14825_025","22","5","3","0","2","0"
"1","EN14825_026","0","4","3","0","2","0"
"1","EN14825_026","0","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.52","4","3","0","2","0"
"1","EN14825_028","0.83","5","3","0","2","0"
"1","EN14825_029","2253","4","3","0","2","0"
"1","EN14825_029","3178","5","3","0","2","0"
"1","EN16147_001","L","0","3","0","2","0"
"1","EN16147_002","120","0","3","0","2","0"
"1","EN16147_003","2.95","0","3","0","2","0"
"1","EN16147_004","2:20","0","3","0","2","0"
"1","EN16147_005","56.0","0","3","0","2","0"
"1","EN16147_006","52.1","0","3","0","2","0"
"1","EN16147_007","225","0","3","0","2","0"
"2","title","AE060RXEDEG/EU & AE200RNWSEG/EU","0","0","0","1","0"
"2","application","4","0","0","0","1","0"
"2","indoor","1","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","0","0","0","0","1","0"
"2","reversibility","1","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","0","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","0","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","1","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","6.00","4","10","0","2","0"
"2","EN14511_2_001","5.20","5","10","0","2","0"
"2","EN14511_2_002","1.22","4","10","0","2","0"
"2","EN14511_2_002","1.81","5","10","0","2","0"
"2","EN14511_2_003","4.92","4","10","0","2","0"
"2","EN14511_2_003","2.87","5","10","0","2","0"
"2","EN14511_4_003","2","0","10","0","2","0"
"2","EN14511_4_004","2","0","10","0","2","0"
"2","EN14511_4_005","2","0","10","0","2","0"
"2","EN14511_4_006","2","0","10","0","2","0"
"2","EN12102_1_001","40","4","3","0","2","0"
"2","EN12102_1_001","40","5","3","0","2","0"
"2","EN12102_1_002","60","4","3","0","2","0"
"2","EN12102_1_002","60","5","3","0","2","0"
"2","EN14825_001","180","4","3","0","2","0"
"2","EN14825_001","129","5","3","0","2","0"
"2","EN14825_002","6.00","4","3","0","2","0"
"2","EN14825_002","6.00","5","3","0","2","0"
"2","EN14825_003","4.58","4","3","0","2","0"
"2","EN14825_003","3.31","5","3","0","2","0"
"2","EN14825_004","-7","4","3","0","2","0"
"2","EN14825_004","-7","5","3","0","2","0"
"2","EN14825_005","-10","4","3","0","2","0"
"2","EN14825_005","-10","5","3","0","2","0"
"2","EN14825_008","5.31","4","3","0","2","0"
