"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"HRP10_1PH_4.1.11.5","title","Unità esterna KITA-HRP-10, 1Ph, vers. MONOBLOCCO R-290","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","application","2","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","indoor","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","outdoor","1","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","coolingMode7c12c","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","coolingMode18c23c","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","colderClimate","1","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","warmerClimate","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","reversibility","1","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","colderForHeating","1","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","warmerForHeating","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","en145112Certification","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","heatSource","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","additionalOutdoorAir","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","additionalExhaustAir","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","additionalIndoorAir","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","powerSupply","1","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","offPeakProduct","0","0","0","0","1","0"
"HRP10_1PH_4.1.11.5","EN14511_2_001","10.32","4","10","0","2","0"
"HRP10_1PH_4.1.11.5","EN14511_2_001","9.30","5","10","0","2","0"
"HRP10_1PH_4.1.11.5","EN14511_2_002","2.00","4","10","0","2","0"
"HRP10_1PH_4.1.11.5","EN14511_2_002","2.86","5","10","0","2","0"
"HRP10_1PH_4.1.11.5","EN14511_2_003","5.16","4","10","0","2","0"
"HRP10_1PH_4.1.11.5","EN14511_2_003","3.25","5","10","0","2","0"
"HRP10_1PH_4.1.11.5","EN12102_1_002","55","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN12102_1_002","55","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN12102_1_002","55","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN12102_1_002","55","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_001","178","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_001","131","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_001","213","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_001","150","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_002","7.39","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_002","7.00","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_002","8.52","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_002","7.92","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_003","4.53","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_003","3.36","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_003","5.40","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_003","3.82","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_004","-15","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_004","-15","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_004","-7","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_004","-7","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_005","-22","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_005","-22","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_005","-10","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_005","-10","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_008","5.09","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_008","4.82","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_008","7.54","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_008","7.01","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_009","3.98","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_009","2.90","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_009","3.32","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_009","2.34","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_047","0.900","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_047","0.900","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_047","0.900","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_047","0.900","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_010","4.75","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_010","4.57","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_010","4.71","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_010","4.45","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_011","5.87","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_011","4.27","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_011","5.29","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_011","3.77","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_048","0.900","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_048","0.900","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_048","0.900","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_048","0.900","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_012","4.30","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_012","4.18","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_012","4.27","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_012","4.09","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_013","7.42","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_013","6.06","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_013","7.63","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_013","5.18","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_049","0.900","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_049","0.900","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_049","0.900","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_049","0.900","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_014","4.31","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_014","4.24","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_014","4.31","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_014","4.20","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_015","10.77","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_015","9.22","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_015","10.77","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_015","8.07","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_050","0.900","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_050","0.900","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_050","0.900","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_050","0.900","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_016","6.03","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_016","5.71","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_016","7.54","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_016","7.01","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_017","2.81","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_017","2.04","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_017","3.32","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_017","2.34","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_018","4.82","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_018","4.49","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_018","6.93","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_018","6.32","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_019","2.18","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_019","1.55","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_019","3.00","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_019","2.08","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_021","0.900","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_021","0.900","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_021","0.900","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_021","0.900","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_022","65","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_022","65","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_022","65","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_022","65","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_023","24","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_023","24","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_023","24","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_023","24","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_024","31","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_024","31","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_024","31","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_024","31","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_025","24","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_025","24","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_025","24","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_025","24","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_026","35","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_026","35","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_026","35","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_026","35","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_027","1","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_027","1","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_027","1","4","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_027","1","5","3","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_028","2.50","4","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_028","2.50","5","2","0","2","0"
"HRP10_1PH_4.1.11.5","EN14825_028","1.50","4","3","0","2","0"
