"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MP18_3PH_4.1.8.3","title","Unità esterna KITA-MP-18, 3Ph, vers. MONOBLOCCO R-290","0","0","0","1","0"
"MP18_3PH_4.1.8.3","application","2","0","0","0","1","0"
"MP18_3PH_4.1.8.3","indoor","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","outdoor","1","0","0","0","1","0"
"MP18_3PH_4.1.8.3","coolingMode7c12c","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","coolingMode18c23c","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","colderClimate","1","0","0","0","1","0"
"MP18_3PH_4.1.8.3","warmerClimate","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","reversibility","1","0","0","0","1","0"
"MP18_3PH_4.1.8.3","colderForHeating","1","0","0","0","1","0"
"MP18_3PH_4.1.8.3","warmerForHeating","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","en145112Certification","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","heatSource","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","additionalOutdoorAir","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","additionalExhaustAir","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","additionalIndoorAir","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","powerSupply","3","0","0","0","1","0"
"MP18_3PH_4.1.8.3","offPeakProduct","0","0","0","0","1","0"
"MP18_3PH_4.1.8.3","EN14511_2_001","18.04","4","10","0","2","0"
"MP18_3PH_4.1.8.3","EN14511_2_001","16.72","5","10","0","2","0"
"MP18_3PH_4.1.8.3","EN14511_2_002","3.54","4","10","0","2","0"
"MP18_3PH_4.1.8.3","EN14511_2_002","4.95","5","10","0","2","0"
"MP18_3PH_4.1.8.3","EN14511_2_003","5.09","4","10","0","2","0"
"MP18_3PH_4.1.8.3","EN14511_2_003","3.38","5","10","0","2","0"
"MP18_3PH_4.1.8.3","EN12102_1_002","51","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN12102_1_002","51","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN12102_1_002","51","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN12102_1_002","51","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_001","184","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_001","144","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_001","212","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_001","164","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_002","13.15","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_002","12.63","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_002","15.00","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_002","14.32","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_003","4.67","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_003","3.67","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_003","5.38","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_003","4.18","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_004","-15","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_004","-15","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_004","-7","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_004","-7","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_005","-22","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_005","-22","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_005","-10","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_005","-10","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_008","7.96","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_008","7.64","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_008","13.27","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_008","12.67","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_009","4.03","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_009","3.09","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_009","3.38","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_009","2.41","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_047","0.900","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_047","0.900","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_047","0.900","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_047","0.900","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_010","6.75","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_010","6.58","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_010","8.08","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_010","7.71","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_011","5.92","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_011","4.70","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_011","5.38","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_011","4.15","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_048","0.900","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_048","0.900","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_048","0.900","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_048","0.900","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_012","6.00","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_012","5.87","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_012","5.96","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_012","5.77","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_013","7.57","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_013","6.29","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_013","7.16","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_013","5.63","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_049","0.900","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_049","0.900","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_049","0.900","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_049","0.900","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_014","4.96","4","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_014","5.34","5","2","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_014","4.96","4","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_014","5.52","5","3","0","2","0"
"MP18_3PH_4.1.8.3","EN14825_015","8.44","4","2","0","2","0"
