"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Tulip Next 18.3","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","18.42","4","10","0","2","0"
"1","EN14511_2_001","18.30","5","10","0","2","0"
"1","EN14511_2_002","4.01","4","10","0","2","0"
"1","EN14511_2_002","5.94","5","10","0","2","0"
"1","EN14511_2_003","4.60","4","10","0","2","0"
"1","EN14511_2_003","3.08","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","70","4","3","0","2","0"
"1","EN12102_1_002","72","5","3","0","2","0"
"1","EN14825_001","189","4","3","0","2","0"
"1","EN14825_001","145","5","3","0","2","0"
"1","EN14825_002","16.34","4","3","0","2","0"
"1","EN14825_002","16.40","5","3","0","2","0"
"1","EN14825_003","4.79","4","3","0","2","0"
"1","EN14825_003","3.71","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","14.46","4","3","0","2","0"
"1","EN14825_008","14.51","5","3","0","2","0"
"1","EN14825_009","3.10","4","3","0","2","0"
"1","EN14825_009","2.48","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","9.08","4","3","0","2","0"
"1","EN14825_010","9.01","5","3","0","2","0"
"1","EN14825_011","4.71","4","3","0","2","0"
"1","EN14825_011","3.50","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","5.69","4","3","0","2","0"
"1","EN14825_012","5.74","5","3","0","2","0"
"1","EN14825_013","6.04","4","3","0","2","0"
"1","EN14825_013","4.82","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","5.70","4","3","0","2","0"
"1","EN14825_014","5.47","5","3","0","2","0"
"1","EN14825_015","7.91","4","3","0","2","0"
"1","EN14825_015","6.91","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","14.46","4","3","0","2","0"
"1","EN14825_016","14.51","5","3","0","2","0"
"1","EN14825_017","3.10","4","3","0","2","0"
"1","EN14825_017","2.48","5","3","0","2","0"
"1","EN14825_018","16.34","4","3","0","2","0"
"1","EN14825_018","15.20","5","3","0","2","0"
"1","EN14825_019","2.78","4","3","0","2","0"
"1","EN14825_019","2.16","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","65","4","3","0","2","0"
"1","EN14825_022","65","5","3","0","2","0"
"1","EN14825_023","14","4","3","0","2","0"
"1","EN14825_023","14","5","3","0","2","0"
"1","EN14825_024","29","4","3","0","2","0"
"1","EN14825_024","29","5","3","0","2","0"
"1","EN14825_025","14","4","3","0","2","0"
"1","EN14825_025","14","5","3","0","2","0"
"1","EN14825_026","43","4","3","0","2","0"
"1","EN14825_026","43","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.00","4","3","0","2","0"
"1","EN14825_028","1.20","5","3","0","2","0"
"1","EN14825_029","7052","4","3","0","2","0"
"1","EN14825_029","9145","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","1,400 kg","0","0","0","0"
"","Date","21.02.2024","0","0","0","0"
"","Manufacturer"," Tulip Wise B.V.","0","0","0","0"
"","Modelname","Air Source Heat Pump R290-18","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
