"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"Z019175","title","VITOCAL 200-G BWC-M 201.B10","0","0","0","1","0"
"Z019175","application","2","0","0","0","1","0"
"Z019175","indoor","1","0","0","0","1","0"
"Z019175","outdoor","0","0","0","0","1","0"
"Z019175","coolingMode7c12c","0","0","0","0","1","0"
"Z019175","coolingMode18c23c","0","0","0","0","1","0"
"Z019175","colderClimate","1","0","0","0","1","0"
"Z019175","warmerClimate","1","0","0","0","1","0"
"Z019175","reversibility","0","0","0","0","1","0"
"Z019175","colderForHeating","0","0","0","0","1","0"
"Z019175","warmerForHeating","0","0","0","0","1","0"
"Z019175","en145112Certification","0","0","0","0","1","0"
"Z019175","heatSource","0","0","0","0","1","0"
"Z019175","additionalOutdoorAir","0","0","0","0","1","0"
"Z019175","additionalExhaustAir","0","0","0","0","1","0"
"Z019175","additionalIndoorAir","0","0","0","0","1","0"
"Z019175","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"Z019175","powerSupply","1","0","0","0","1","0"
"Z019175","offPeakProduct","1","0","0","0","1","0"
"Z019175","EN14511_4_001","2","0","10","0","2","0"
"Z019175","EN14511_4_002","2","0","10","0","2","0"
"Z019175","EN14511_2_001","10.14","4","10","0","2","0"
"Z019175","EN14511_2_001","9.21","5","10","0","2","0"
"Z019175","EN14511_2_002","2.31","4","10","0","2","0"
"Z019175","EN14511_2_002","3.69","5","10","0","2","0"
"Z019175","EN14511_2_003","4.39","4","10","0","2","0"
"Z019175","EN14511_2_003","2.50","5","10","0","2","0"
"Z019175","EN14511_4_003","2","0","10","0","2","0"
"Z019175","EN14511_4_004","2","0","10","0","2","0"
"Z019175","EN14511_4_005","2","0","10","0","2","0"
"Z019175","EN14511_4_006","2","0","10","0","2","0"
"Z019175","EN12102_1_001","46","4","1","0","2","0"
"Z019175","EN12102_1_001","46","5","1","0","2","0"
"Z019175","EN12102_1_001","46","4","2","0","2","0"
"Z019175","EN12102_1_001","46","5","2","0","2","0"
"Z019175","EN12102_1_001","46","4","3","0","2","0"
"Z019175","EN12102_1_001","46","5","3","0","2","0"
"Z019175","EN14825_043","11.70","0","3","0","2","0"
"Z019175","EN14825_001","197","4","1","0","2","0"
"Z019175","EN14825_001","142","5","1","0","2","0"
"Z019175","EN14825_001","191","4","2","0","2","0"
"Z019175","EN14825_001","141","5","2","0","2","0"
"Z019175","EN14825_001","194","4","3","0","2","0"
"Z019175","EN14825_001","143","5","3","0","2","0"
"Z019175","EN14825_002","10.27","4","1","0","2","0"
