"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"10380401","title","Helox 5","0","0","0","1","0"
"10380401","application","2","0","0","0","1","0"
"10380401","indoor","0","0","0","0","1","0"
"10380401","outdoor","1","0","0","0","1","0"
"10380401","coolingMode7c12c","0","0","0","0","1","0"
"10380401","coolingMode18c23c","0","0","0","0","1","0"
"10380401","colderClimate","0","0","0","0","1","0"
"10380401","warmerClimate","0","0","0","0","1","0"
"10380401","reversibility","0","0","0","0","1","0"
"10380401","colderForHeating","0","0","0","0","1","0"
"10380401","warmerForHeating","0","0","0","0","1","0"
"10380401","en145112Certification","0","0","0","0","1","0"
"10380401","heatSource","0","0","0","0","1","0"
"10380401","additionalOutdoorAir","0","0","0","0","1","0"
"10380401","additionalExhaustAir","0","0","0","0","1","0"
"10380401","additionalIndoorAir","0","0","0","0","1","0"
"10380401","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"10380401","powerSupply","1","0","0","0","1","0"
"10380401","offPeakProduct","0","0","0","0","1","0"
"10380401","EN14511_2_001","2.12","4","10","0","2","0"
"10380401","EN14511_2_001","1.82","5","10","0","2","0"
"10380401","EN14511_2_002","0.43","4","10","0","2","0"
"10380401","EN14511_2_002","0.65","5","10","0","2","0"
"10380401","EN14511_2_003","4.98","4","10","0","2","0"
"10380401","EN14511_2_003","2.79","5","10","0","2","0"
"10380401","EN14511_4_003","2","0","10","0","2","0"
"10380401","EN14511_4_004","2","0","10","0","2","0"
"10380401","EN14511_4_005","2","0","10","0","2","0"
"10380401","EN14511_4_006","2","0","10","0","2","0"
"10380401","EN12102_1_002","45","4","3","0","2","0"
"10380401","EN12102_1_002","45","5","3","0","2","0"
"10380401","EN14825_001","187","4","3","0","2","0"
"10380401","EN14825_001","142","5","3","0","2","0"
"10380401","EN14825_002","6.20","4","3","0","2","0"
"10380401","EN14825_002","5.67","5","3","0","2","0"
"10380401","EN14825_003","4.75","4","3","0","2","0"
"10380401","EN14825_003","3.63","5","3","0","2","0"
"10380401","EN14825_004","-6","4","3","0","2","0"
"10380401","EN14825_004","-6","5","3","0","2","0"
"10380401","EN14825_005","-10","4","3","0","2","0"
"10380401","EN14825_005","-10","5","3","0","2","0"
"10380401","EN14825_008","5.40","4","3","0","2","0"
"10380401","EN14825_008","5.01","5","3","0","2","0"
"10380401","EN14825_009","3.12","4","3","0","2","0"
"10380401","EN14825_009","2.32","5","3","0","2","0"
"10380401","EN14825_047","1.000","4","3","0","2","0"
"10380401","EN14825_047","1.000","5","3","0","2","0"
"10380401","EN14825_010","3.32","4","3","0","2","0"
"10380401","EN14825_010","3.17","5","3","0","2","0"
"10380401","EN14825_011","4.59","4","3","0","2","0"
"10380401","EN14825_011","3.53","5","3","0","2","0"
"10380401","EN14825_048","1.000","4","3","0","2","0"
"10380401","EN14825_048","1.000","5","3","0","2","0"
"10380401","EN14825_012","2.25","4","3","0","2","0"
"10380401","EN14825_012","2.11","5","3","0","2","0"
"10380401","EN14825_013","6.40","4","3","0","2","0"
"10380401","EN14825_013","4.81","5","3","0","2","0"
"10380401","EN14825_049","1.000","4","3","0","2","0"
"10380401","EN14825_049","1.000","5","3","0","2","0"
"10380401","EN14825_014","2.49","4","3","0","2","0"
"10380401","EN14825_014","2.45","5","3","0","2","0"
"10380401","EN14825_015","7.68","4","3","0","2","0"
"10380401","EN14825_015","6.36","5","3","0","2","0"
"10380401","EN14825_050","0.970","4","3","0","2","0"
"10380401","EN14825_050","0.960","5","3","0","2","0"
"10380401","EN14825_016","5.60","4","3","0","2","0"
"10380401","EN14825_016","5.19","5","3","0","2","0"
"10380401","EN14825_017","3.23","4","3","0","2","0"
"10380401","EN14825_017","2.41","5","3","0","2","0"
"10380401","EN14825_018","4.93","4","3","0","2","0"
"10380401","EN14825_018","4.17","5","3","0","2","0"
"10380401","EN14825_019","2.85","4","3","0","2","0"
"10380401","EN14825_019","1.95","5","3","0","2","0"
"10380401","EN14825_021","1.000","4","3","0","2","0"
"10380401","EN14825_021","1.000","5","3","0","2","0"
"10380401","EN14825_022","65","4","3","0","2","0"
"10380401","EN14825_022","65","5","3","0","2","0"
"10380401","EN14825_023","17","4","3","0","2","0"
"10380401","EN14825_023","17","5","3","0","2","0"
"10380401","EN14825_024","21","4","3","0","2","0"
"10380401","EN14825_024","21","5","3","0","2","0"
"10380401","EN14825_025","17","4","3","0","2","0"
"10380401","EN14825_025","17","5","3","0","2","0"
"10380401","EN14825_026","0","4","3","0","2","0"
"10380401","EN14825_026","0","5","3","0","2","0"
"10380401","EN14825_027","1","4","3","0","2","0"
"10380401","EN14825_027","1","5","3","0","2","0"
"10380401","EN14825_028","1.27","4","3","0","2","0"
"10380401","EN14825_028","1.50","5","3","0","2","0"
"10380401","EN14825_029","2698","4","3","0","2","0"
"10380401","EN14825_029","3226","5","3","0","2","0"
"10080401","title","Hybrox 5","0","0","0","1","0"
"10080401","application","2","0","0","0","1","0"
"10080401","indoor","0","0","0","0","1","0"
"10080401","outdoor","1","0","0","0","1","0"
"10080401","coolingMode7c12c","0","0","0","0","1","0"
"10080401","coolingMode18c23c","0","0","0","0","1","0"
"10080401","colderClimate","0","0","0","0","1","0"
"10080401","warmerClimate","0","0","0","0","1","0"
"10080401","reversibility","0","0","0","0","1","0"
"10080401","colderForHeating","0","0","0","0","1","0"
"10080401","warmerForHeating","0","0","0","0","1","0"
