"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","WWC 190H/X","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","0","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","18.60","4","10","0","2","0"
"","EN14511_2_001","16.30","5","10","0","2","0"
"","EN14511_2_002","3.27","4","10","0","2","0"
"","EN14511_2_002","4.81","5","10","0","2","0"
"","EN14511_2_003","5.60","4","10","0","2","0"
"","EN14511_2_003","3.20","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","53","4","3","0","2","0"
"","EN12102_1_001","53","5","3","0","2","0"
"","EN14825_001","236","4","1","0","2","0"
"","EN14825_001","181","5","1","0","2","0"
"","EN14825_001","241","4","2","0","2","0"
"","EN14825_001","186","5","2","0","2","0"
"","EN14825_001","234","4","3","0","2","0"
"","EN14825_001","179","5","3","0","2","0"
"","EN14825_002","18.30","4","1","0","2","0"
"","EN14825_002","16.30","5","1","0","2","0"
"","EN14825_002","18.30","4","2","0","2","0"
"","EN14825_002","16.30","5","2","0","2","0"
"","EN14825_002","18.30","4","3","0","2","0"
"","EN14825_002","16.30","5","3","0","2","0"
"","EN14825_003","6.09","4","1","0","2","0"
"","EN14825_003","4.73","5","1","0","2","0"
"","EN14825_003","6.22","4","2","0","2","0"
"","EN14825_003","4.86","5","2","0","2","0"
"","EN14825_003","6.05","4","3","0","2","0"
"","EN14825_003","4.68","5","3","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","-22","4","2","0","2","0"
"","EN14825_004","-22","5","2","0","2","0"
"","EN14825_004","-10","4","3","0","2","0"
"","EN14825_004","-10","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-22","4","2","0","2","0"
"","EN14825_005","-22","5","2","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","18.59","4","2","0","2","0"
"","EN14825_008","17.40","5","2","0","2","0"
"","EN14825_008","18.34","4","3","0","2","0"
"","EN14825_008","16.60","5","3","0","2","0"
"","EN14825_009","6.09","4","2","0","2","0"
"","EN14825_009","4.39","5","2","0","2","0"
"","EN14825_009","5.66","4","3","0","2","0"
"","EN14825_009","3.63","5","3","0","2","0"
"","EN14825_047","1.00","4","2","0","2","0"
"","EN14825_047","1.00","5","2","0","2","0"
"","EN14825_047","1.00","4","3","0","2","0"
"","EN14825_047","1.00","5","3","0","2","0"
"","EN14825_010","18.30","4","1","0","2","0"
"","EN14825_010","16.30","5","1","0","2","0"
"","EN14825_010","18.77","4","2","0","2","0"
"","EN14825_010","18.10","5","2","0","2","0"
"","EN14825_010","18.56","4","3","0","2","0"
"","EN14825_010","17.60","5","3","0","2","0"
"","EN14825_011","5.60","4","1","0","2","0"
"","EN14825_011","3.39","5","1","0","2","0"
"","EN14825_011","6.41","4","2","0","2","0"
"","EN14825_011","5.26","5","2","0","2","0"
"","EN14825_011","6.03","4","3","0","2","0"
"","EN14825_011","4.61","5","3","0","2","0"
"","EN14825_048","1.00","4","1","0","2","0"
"","EN14825_048","1.00","5","1","0","2","0"
"","EN14825_048","1.00","4","2","0","2","0"
"","EN14825_048","1.00","5","2","0","2","0"
"","EN14825_048","1.00","4","3","0","2","0"
"","EN14825_048","1.00","5","3","0","2","0"
"","EN14825_012","18.52","4","1","0","2","0"
"","EN14825_012","17.20","5","1","0","2","0"
"","EN14825_012","18.90","4","2","0","2","0"
"","EN14825_012","18.60","5","2","0","2","0"
"","EN14825_012","18.76","4","3","0","2","0"
"","EN14825_012","18.20","5","3","0","2","0"
"","EN14825_013","5.95","4","1","0","2","0"
"","EN14825_013","4.18","5","1","0","2","0"
"","EN14825_013","6.65","4","2","0","2","0"
"","EN14825_013","6.04","5","2","0","2","0"
"","EN14825_013","6.39","4","3","0","2","0"
"","EN14825_013","5.40","5","3","0","2","0"
"","EN14825_049","1.00","4","1","0","2","0"
"","EN14825_049","1.00","5","1","0","2","0"
"","EN14825_049","1.00","4","2","0","2","0"
"","EN14825_049","1.00","5","2","0","2","0"
"","EN14825_049","1.00","4","3","0","2","0"
"","EN14825_049","1.00","5","3","0","2","0"
"","EN14825_014","18.82","4","1","0","2","0"
"","EN14825_014","18.40","5","1","0","2","0"
"","EN14825_014","18.94","4","2","0","2","0"
"","EN14825_014","19.00","5","2","0","2","0"
"","EN14825_014","18.96","4","3","0","2","0"
"","EN14825_014","18.80","5","3","0","2","0"
"","EN14825_015","6.51","4","1","0","2","0"
"","EN14825_015","5.71","5","1","0","2","0"
"","EN14825_015","6.59","4","2","0","2","0"
"","EN14825_015","6.70","5","2","0","2","0"
"","EN14825_015","6.72","4","3","0","2","0"
"","EN14825_015","6.37","5","3","0","2","0"
"","EN14825_050","1.00","4","1","0","2","0"
"","EN14825_050","1.00","5","1","0","2","0"
"","EN14825_050","1.00","4","2","0","2","0"
"","EN14825_050","1.00","5","2","0","2","0"
"","EN14825_050","1.00","4","3","0","2","0"
"","EN14825_050","1.00","5","3","0","2","0"
"","EN14825_016","18.30","4","1","0","2","0"
"","EN14825_016","16.30","5","1","0","2","0"
"","EN14825_016","18.30","4","2","0","2","0"
"","EN14825_016","16.30","5","2","0","2","0"
"","EN14825_016","18.30","4","3","0","2","0"
"","EN14825_016","16.30","5","3","0","2","0"
"","EN14825_017","5.60","4","1","0","2","0"
"","EN14825_017","3.39","5","1","0","2","0"
"","EN14825_017","5.60","4","2","0","2","0"
"","EN14825_017","3.39","5","2","0","2","0"
"","EN14825_017","5.60","4","3","0","2","0"
"","EN14825_017","3.39","5","3","0","2","0"
"","EN14825_018","18.30","4","1","0","2","0"
"","EN14825_018","16.30","5","1","0","2","0"
"","EN14825_018","18.30","4","2","0","2","0"
"","EN14825_018","16.30","5","2","0","2","0"
"","EN14825_018","18.30","4","3","0","2","0"
"","EN14825_018","16.30","5","3","0","2","0"
"","EN14825_019","5.60","4","1","0","2","0"
"","EN14825_019","3.39","5","1","0","2","0"
"","EN14825_019","5.60","4","2","0","2","0"
"","EN14825_019","3.39","5","2","0","2","0"
"","EN14825_019","5.60","4","3","0","2","0"
"","EN14825_019","3.39","5","3","0","2","0"
"","EN14825_022","65","4","1","0","2","0"
"","EN14825_022","65","5","1","0","2","0"
"","EN14825_022","65","4","2","0","2","0"
