"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","HMI160 / DHWT300X","0","0","0","1"
"1","application","3","0","0","0","1"
"1","indoor","0","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","16.71","5","10","0","2"
"1","EN14511_2_002","5.90","5","10","0","2"
"1","EN14511_2_003","2.83","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_002","72","5","3","0","2"
"1","EN14825_001","126","5","3","0","2"
"1","EN14825_002","13.00","5","3","0","2"
"1","EN14825_003","3.24","5","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","11.98","5","3","0","2"
"1","EN14825_009","2.05","5","3","0","2"
"1","EN14825_047","0.98","5","3","0","2"
"1","EN14825_010","7.41","5","3","0","2"
"1","EN14825_011","3.19","5","3","0","2"
"1","EN14825_048","0.98","5","3","0","2"
"1","EN14825_012","5.70","5","3","0","2"
"1","EN14825_013","4.18","5","3","0","2"
"1","EN14825_049","0.98","5","3","0","2"
"1","EN14825_014","6.38","5","3","0","2"
"1","EN14825_015","5.14","5","3","0","2"
"1","EN14825_050","0.98","5","3","0","2"
"1","EN14825_016","11.98","5","3","0","2"
"1","EN14825_017","2.05","5","3","0","2"
"1","EN14825_018","10.41","5","3","0","2"
"1","EN14825_019","1.78","5","3","0","2"
"1","EN14825_022","55","5","3","0","2"
"1","EN14825_023","18","5","3","0","2"
"1","EN14825_024","18","5","3","0","2"
"1","EN14825_025","18","5","3","0","2"
"1","EN14825_026","0","5","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","2.59","5","3","0","2"
"1","EN14825_029","8292","5","3","0","2"
"1","EN16147_001","XL","0","3","0","2"
"1","EN16147_002","110","0","3","0","2"
"1","EN16147_003","2.62","0","3","0","2"
"1","EN16147_004","1:52","0","3","0","2"
"1","EN16147_005","62.6","0","3","0","2"
"1","EN16147_006","52.8","0","3","0","2"
"1","EN16147_007","372","0","3","0","2"
"2","title","HMI160T / DHWT300XT","0","0","0","1"
"2","application","3","0","0","0","1"
"2","indoor","0","0","0","0","1"
"2","outdoor","1","0","0","0","1"
"2","coolingMode7c12c","0","0","0","0","1"
"2","coolingMode18c23c","0","0","0","0","1"
"2","colderClimate","0","0","0","0","1"
"2","warmerClimate","0","0","0","0","1"
"2","reversibility","1","0","0","0","1"
"2","colderForHeating","0","0","0","0","1"
"2","warmerForHeating","0","0","0","0","1"
"2","en145112Certification","0","0","0","0","1"
"2","heatSource","0","0","0","0","1"
"2","additionalOutdoorAir","0","0","0","0","1"
"2","additionalExhaustAir","0","0","0","0","1"
"2","additionalIndoorAir","0","0","0","0","1"
"2","additionalNonheatedSpaceAir","0","0","0","0","1"
"2","powerSupply","3","0","0","0","1"
"2","offPeakProduct","0","0","0","0","1"
"2","EN14511_2_001","16.71","5","10","0","2"
"2","EN14511_2_002","5.90","5","10","0","2"
"2","EN14511_2_003","2.83","5","10","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN14511_4_006","2","0","10","0","2"
"2","EN12102_1_002","72","5","3","0","2"
"2","EN14825_001","126","5","3","0","2"
"2","EN14825_002","13.00","5","3","0","2"
"2","EN14825_003","3.24","5","3","0","2"
"2","EN14825_004","-7","5","3","0","2"
"2","EN14825_005","-10","5","3","0","2"
"2","EN14825_008","11.98","5","3","0","2"
"2","EN14825_009","2.05","5","3","0","2"
"2","EN14825_047","0.98","5","3","0","2"
"2","EN14825_010","7.41","5","3","0","2"
"2","EN14825_011","3.19","5","3","0","2"
"2","EN14825_048","0.98","5","3","0","2"
"2","EN14825_012","5.70","5","3","0","2"
"2","EN14825_013","4.18","5","3","0","2"
"2","EN14825_049","0.98","5","3","0","2"
"2","EN14825_014","6.38","5","3","0","2"
"2","EN14825_015","5.14","5","3","0","2"
"2","EN14825_050","0.98","5","3","0","2"
"2","EN14825_016","11.98","5","3","0","2"
"2","EN14825_017","2.05","5","3","0","2"
"2","EN14825_018","10.41","5","3","0","2"
"2","EN14825_019","1.78","5","3","0","2"
"2","EN14825_022","55","5","3","0","2"
"2","EN14825_023","18","5","3","0","2"
"2","EN14825_024","18","5","3","0","2"
"2","EN14825_025","18","5","3","0","2"
"2","EN14825_026","0","5","3","0","2"
"2","EN14825_027","1","5","3","0","2"
"2","EN14825_028","2.59","5","3","0","2"
"2","EN14825_029","8292","5","3","0","2"
"2","EN16147_001","XL","0","3","0","2"
"2","EN16147_002","110","0","3","0","2"
"2","EN16147_003","2.62","0","3","0","2"
"2","EN16147_004","1:52","0","3","0","2"
"2","EN16147_005","62.6","0","3","0","2"
"2","EN16147_006","52.8","0","3","0","2"
"2","EN16147_007","372","0","3","0","2"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","2,200 kg","0","0","0","0"
"","Date","25.03.2021","0","0","0","0"
