"modelID","varName","value","temperature","climate","indoorUnittype","info"
"i-32V506","title","i-32V506","0","0","0","1"
"i-32V506","application","2","0","0","0","1"
"i-32V506","indoor","0","0","0","0","1"
"i-32V506","outdoor","1","0","0","0","1"
"i-32V506","coolingMode7c12c","1","0","0","0","1"
"i-32V506","coolingMode18c23c","0","0","0","0","1"
"i-32V506","colderClimate","0","0","0","0","1"
"i-32V506","warmerClimate","0","0","0","0","1"
"i-32V506","reversibility","1","0","0","0","1"
"i-32V506","colderForHeating","0","0","0","0","1"
"i-32V506","warmerForHeating","0","0","0","0","1"
"i-32V506","en145112Certification","0","0","0","0","1"
"i-32V506","heatSource","0","0","0","0","1"
"i-32V506","additionalOutdoorAir","0","0","0","0","1"
"i-32V506","additionalExhaustAir","0","0","0","0","1"
"i-32V506","additionalIndoorAir","0","0","0","0","1"
"i-32V506","additionalNonheatedSpaceAir","0","0","0","0","1"
"i-32V506","powerSupply","1","0","0","0","1"
"i-32V506","offPeakProduct","0","0","0","0","1"
"i-32V506","EN14511_2_001","6.08","4","10","0","2"
"i-32V506","EN14511_2_001","6.03","5","10","0","2"
"i-32V506","EN14511_2_002","1.60","6","4","0","2"
"i-32V506","EN14511_2_002","1.35","4","10","0","2"
"i-32V506","EN14511_2_002","2.14","5","10","0","2"
"i-32V506","EN14511_2_003","4.51","4","10","0","2"
"i-32V506","EN14511_2_003","2.82","5","10","0","2"
"i-32V506","EN14511_2_005","5.02","6","4","0","2"
"i-32V506","EN14511_2_007","3.14","6","4","0","2"
"i-32V506","EN14511_4_003","2","0","10","0","2"
"i-32V506","EN14511_4_004","2","0","10","0","2"
"i-32V506","EN14511_4_005","2","0","10","0","2"
"i-32V506","EN14511_4_006","2","0","10","0","2"
"i-32V506","EN12102_1_002","62","4","3","0","2"
"i-32V506","EN12102_1_002","62","5","3","0","2"
"i-32V506","EN14825_001","175","4","3","0","2"
"i-32V506","EN14825_001","126","5","3","0","2"
"i-32V506","EN14825_002","7.00","4","3","0","2"
"i-32V506","EN14825_002","7.00","5","3","0","2"
"i-32V506","EN14825_003","4.46","4","3","0","2"
"i-32V506","EN14825_003","3.22","5","3","0","2"
"i-32V506","EN14825_004","-7","4","3","0","2"
"i-32V506","EN14825_004","-7","5","3","0","2"
"i-32V506","EN14825_005","-20","4","3","0","2"
"i-32V506","EN14825_005","-15","5","3","0","2"
"i-32V506","EN14825_008","6.10","4","3","0","2"
"i-32V506","EN14825_008","5.80","5","3","0","2"
"i-32V506","EN14825_009","2.96","4","3","0","2"
"i-32V506","EN14825_009","2.08","5","3","0","2"
"i-32V506","EN14825_047","1.000","4","3","0","2"
"i-32V506","EN14825_047","1.000","5","3","0","2"
"i-32V506","EN14825_010","3.70","4","3","0","2"
"i-32V506","EN14825_010","3.60","5","3","0","2"
"i-32V506","EN14825_011","4.36","4","3","0","2"
"i-32V506","EN14825_011","3.30","5","3","0","2"
"i-32V506","EN14825_048","1.000","4","3","0","2"
"i-32V506","EN14825_048","1.000","5","3","0","2"
