"modelID","varName","value","temperature","climate","indoorUnittype","info"
"ARIANEXT FLEX 80 S -T LINK R32 ","title","ARIANEXT FLEX 80 S -T LINK R32 ","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","application","4","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","indoor","1","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","outdoor","1","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","coolingMode7c12c","1","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","coolingMode18c23c","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","colderClimate","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","warmerClimate","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","reversibility","1","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","colderForHeating","1","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","warmerForHeating","1","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","en145112Certification","1","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","heatSource","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","additionalOutdoorAir","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","additionalExhaustAir","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","additionalIndoorAir","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","additionalNonheatedSpaceAir","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","powerSupply","3","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","offPeakProduct","0","0","0","0","1"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_001","8.00","4","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_001","5.80","5","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_002","2.26","6","4","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_002","1.49","7","4","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_002","1.67","4","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_002","1.97","5","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_003","4.80","4","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_003","2.95","5","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_005","7","6","4","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_005","7.00","7","4","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_007","3.10","6","4","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_2_007","4.70","7","4","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_4_003","2","0","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_4_004","2","0","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_4_005","2","0","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14511_4_006","2","0","10","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_001","37","4","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_001","37","5","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_001","37","4","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_001","37","5","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_001","37","4","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_001","37","5","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_002","56","4","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_002","56","5","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_002","56","4","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_002","56","5","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_002","56","4","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN12102_1_002","56","5","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_043","4.93","4","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_043","4.48","5","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_043","11.78","4","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_043","11.53","5","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_043","8.37","4","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_043","7.62","5","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_001","242","4","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_001","151","5","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_001","154","4","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_001","120","5","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_001","195","4","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_001","140","5","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_002","4.93","4","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_002","4.48","5","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_002","11.16","4","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_002","10.93","5","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_002","8.37","4","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_002","7.62","5","3","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_003","6.14","4","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_003","3.84","5","1","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_003","3.93","4","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_003","3.08","5","2","0","2"
"ARIANEXT FLEX 80 S -T LINK R32 ","EN14825_003","4.95","4","3","0","2"
