"modelID","varName","value","temperature","climate","indoorUnittype","info"
"9","title","WLW166i-10 SP AR B","0","0","0","1"
"9","application","2","0","0","0","1"
"9","indoor","1","0","0","0","1"
"9","outdoor","1","0","0","0","1"
"9","coolingMode7c12c","0","0","0","0","1"
"9","coolingMode18c23c","0","0","0","0","1"
"9","colderClimate","1","0","0","0","1"
"9","warmerClimate","1","0","0","0","1"
"9","reversibility","1","0","0","0","1"
"9","colderForHeating","0","0","0","0","1"
"9","warmerForHeating","0","0","0","0","1"
"9","en145112Certification","0","0","0","0","1"
"9","heatSource","1","0","0","0","1"
"9","additionalOutdoorAir","0","0","0","0","1"
"9","additionalExhaustAir","0","0","0","0","1"
"9","additionalIndoorAir","0","0","0","0","1"
"9","additionalNonheatedSpaceAir","0","0","0","0","1"
"9","powerSupply","1","0","0","0","1"
"9","offPeakProduct","2","0","0","0","1"
"9","EN14511_4_001","2","0","10","0","2"
"9","EN14511_4_002","2","0","10","0","2"
"9","EN14511_2_001","8.92","4","10","0","2"
"9","EN14511_2_001","7.87","5","10","0","2"
"9","EN14511_2_002","1.91","4","10","0","2"
"9","EN14511_2_002","2.89","5","10","0","2"
"9","EN14511_2_003","4.68","4","10","0","2"
"9","EN14511_2_003","2.72","5","10","0","2"
"9","EN14511_4_003","2","0","10","0","2"
"9","EN14511_4_004","2","0","10","0","2"
"9","EN14511_4_005","2","0","10","0","2"
"9","EN14511_4_006","2","0","10","0","2"
"9","EN12102_1_001","45","4","1","0","2"
"9","EN12102_1_001","45","5","1","0","2"
"9","EN12102_1_001","45","4","2","0","2"
"9","EN12102_1_001","45","5","2","0","2"
"9","EN12102_1_001","45","4","3","0","2"
"9","EN12102_1_001","45","5","3","0","2"
"9","EN12102_1_002","59","4","1","0","2"
"9","EN12102_1_002","59","5","1","0","2"
"9","EN12102_1_002","59","4","2","0","2"
"9","EN12102_1_002","59","5","2","0","2"
"9","EN12102_1_002","59","4","3","0","2"
"9","EN12102_1_002","59","5","3","0","2"
"9","EN14825_001","255","4","1","0","2"
"9","EN14825_001","169","5","1","0","2"
"9","EN14825_001","154","4","2","0","2"
"9","EN14825_001","107","5","2","0","2"
"9","EN14825_001","178","4","3","0","2"
"9","EN14825_001","125","5","3","0","2"
"9","EN14825_002","10","4","1","0","2"
"9","EN14825_002","9.6","5","1","0","2"
"9","EN14825_002","8","4","2","0","2"
"9","EN14825_002","7.8","5","2","0","2"
"9","EN14825_002","9","4","3","0","2"
"9","EN14825_002","8","5","3","0","2"
"9","EN14825_003","6.46","4","1","0","2"
"9","EN14825_003","4.3","5","1","0","2"
"9","EN14825_003","3.93","4","2","0","2"
"9","EN14825_003","2.74","5","2","0","2"
"9","EN14825_003","4.53","4","3","0","2"
"9","EN14825_003","3.21","5","3","0","2"
"9","EN14825_004","4","4","1","0","2"
"9","EN14825_004","4","5","1","0","2"
"9","EN14825_004","-14","4","2","0","2"
"9","EN14825_004","-10","5","2","0","2"
"9","EN14825_004","-6","4","3","0","2"
"9","EN14825_004","-4","5","3","0","2"
"9","EN14825_005","2","4","1","0","2"
"9","EN14825_005","2","5","1","0","2"
"9","EN14825_005","-20","4","2","0","2"
"9","EN14825_005","-17","5","2","0","2"
"9","EN14825_005","-10","4","3","0","2"
"9","EN14825_005","-10","5","3","0","2"
"9","EN14825_008","4.74","4","2","0","2"
"9","EN14825_008","4.82","5","2","0","2"
"9","EN14825_008","6.79","4","3","0","2"
"9","EN14825_008","5.10","5","3","0","2"
"9","EN14825_009","3.2","4","2","0","2"
"9","EN14825_009","2.27","5","2","0","2"
"9","EN14825_009","2.81","4","3","0","2"
"9","EN14825_009","1.86","5","3","0","2"
"9","EN14825_047","0.99","4","2","0","2"
"9","EN14825_047","0.99","5","2","0","2"
"9","EN14825_047","1","4","3","0","2"
"9","EN14825_047","1","5","3","0","2"
"9","EN14825_010","7.85","4","1","0","2"
