"modelID","varName","value","temperature","climate","indoorUnittype","info"
"011-1W0164","title","Buderus Logatherm WPS 54.2 HT","0","0","0","1"
"011-1W0164","application","2","0","0","0","1"
"011-1W0164","indoor","1","0","0","0","1"
"011-1W0164","outdoor","0","0","0","0","1"
"011-1W0164","coolingMode7c12c","0","0","0","0","1"
"011-1W0164","coolingMode18c23c","0","0","0","0","1"
"011-1W0164","colderClimate","0","0","0","0","1"
"011-1W0164","warmerClimate","0","0","0","0","1"
"011-1W0164","reversibility","0","0","0","0","1"
"011-1W0164","colderForHeating","0","0","0","0","1"
"011-1W0164","warmerForHeating","0","0","0","0","1"
"011-1W0164","en145112Certification","0","0","0","0","1"
"011-1W0164","heatSource","0","0","0","0","1"
"011-1W0164","additionalOutdoorAir","0","0","0","0","1"
"011-1W0164","additionalExhaustAir","0","0","0","0","1"
"011-1W0164","additionalIndoorAir","0","0","0","0","1"
"011-1W0164","additionalNonheatedSpaceAir","0","0","0","0","1"
"011-1W0164","powerSupply","3","0","0","0","1"
"011-1W0164","offPeakProduct","2","0","0","0","1"
"011-1W0164","EN14511_4_001","2","0","10","0","2"
"011-1W0164","EN14511_4_002","2","0","10","0","2"
"011-1W0164","EN14511_2_001","54.94","4","10","0","2"
"011-1W0164","EN14511_2_001","57.33","5","10","0","2"
"011-1W0164","EN14511_2_002","12.10","4","10","0","2"
"011-1W0164","EN14511_2_002","18.38","5","10","0","2"
"011-1W0164","EN14511_2_003","4.54","4","10","0","2"
"011-1W0164","EN14511_2_003","3.12","5","10","0","2"
"011-1W0164","EN14511_4_003","2","0","10","0","2"
"011-1W0164","EN14511_4_004","2","0","10","0","2"
"011-1W0164","EN12102_1_001","67","4","3","0","2"
"011-1W0164","EN12102_1_001","67","5","3","0","2"
"011-1W0164","EN14825_001","204","4","3","0","2"
"011-1W0164","EN14825_001","162","5","3","0","2"
"011-1W0164","EN14825_002","53.00","4","3","0","2"
"011-1W0164","EN14825_002","54.00","5","3","0","2"
"011-1W0164","EN14825_003","5.30","4","3","0","2"
"011-1W0164","EN14825_003","4.24","5","3","0","2"
"011-1W0164","EN14825_004","-10","4","3","0","2"
"011-1W0164","EN14825_004","-10","5","3","0","2"
"011-1W0164","EN14825_005","-10","4","3","0","2"
"011-1W0164","EN14825_005","-10","5","3","0","2"
"011-1W0164","EN14825_008","46.88","4","3","0","2"
"011-1W0164","EN14825_008","47.77","5","3","0","2"
"011-1W0164","EN14825_009","4.62","4","3","0","2"
"011-1W0164","EN14825_009","3.46","5","3","0","2"
"011-1W0164","EN14825_010","28.80","4","3","0","2"
"011-1W0164","EN14825_010","29.06","5","3","0","2"
"011-1W0164","EN14825_011","5.42","4","3","0","2"
"011-1W0164","EN14825_011","4.31","5","3","0","2"
"011-1W0164","EN14825_012","28.76","4","3","0","2"
"011-1W0164","EN14825_012","28.90","5","3","0","2"
"011-1W0164","EN14825_013","5.55","4","3","0","2"
"011-1W0164","EN14825_013","4.60","5","3","0","2"
"011-1W0164","EN14825_014","28.72","4","3","0","2"
"011-1W0164","EN14825_014","28.75","5","3","0","2"
"011-1W0164","EN14825_015","5.63","4","3","0","2"
"011-1W0164","EN14825_015","4.84","5","3","0","2"
"011-1W0164","EN14825_016","54.94","4","3","0","2"
"011-1W0164","EN14825_016","57.33","5","3","0","2"
"011-1W0164","EN14825_017","4.54","4","3","0","2"
"011-1W0164","EN14825_017","3.12","5","3","0","2"
"011-1W0164","EN14825_018","54.94","4","3","0","2"
"011-1W0164","EN14825_018","57.33","5","3","0","2"
"011-1W0164","EN14825_019","4.54","4","3","0","2"
"011-1W0164","EN14825_019","3.12","5","3","0","2"
"011-1W0164","EN14825_021","1.00","4","3","0","2"
"011-1W0164","EN14825_021","1.00","5","3","0","2"
"011-1W0164","EN14825_022","68","4","3","0","2"
"011-1W0164","EN14825_022","68","5","3","0","2"
"011-1W0164","EN14825_023","25","4","3","0","2"
"011-1W0164","EN14825_023","25","5","3","0","2"
"011-1W0164","EN14825_024","25","4","3","0","2"
"011-1W0164","EN14825_024","25","5","3","0","2"
"011-1W0164","EN14825_025","25","4","3","0","2"
"011-1W0164","EN14825_025","25","5","3","0","2"
"011-1W0164","EN14825_026","0","4","3","0","2"
"011-1W0164","EN14825_026","0","5","3","0","2"
"011-1W0164","EN14825_027","1","4","3","0","2"
"011-1W0164","EN14825_027","1","5","3","0","2"
"011-1W0164","EN14825_028","0.00","4","3","0","2"
"011-1W0164","EN14825_028","0.00","5","3","0","2"
"011-1W0164","EN14825_029","20646","4","3","0","2"
"011-1W0164","EN14825_029","26308","5","3","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","9,500 kg","0","0","0","0"
"","Date","n/a","0","0","0","0"
