"modelID","varName","value","temperature","climate","indoorUnittype","info"
"13","title","Bosch Compress 6000 AW-13 AWB","0","0","0","1"
"13","application","2","0","0","0","1"
"13","indoor","1","0","0","0","1"
"13","outdoor","1","0","0","0","1"
"13","coolingMode7c12c","0","0","0","0","1"
"13","coolingMode18c23c","0","0","0","0","1"
"13","colderClimate","1","0","0","0","1"
"13","warmerClimate","1","0","0","0","1"
"13","reversibility","1","0","0","0","1"
"13","colderForHeating","0","0","0","0","1"
"13","warmerForHeating","0","0","0","0","1"
"13","en145112Certification","0","0","0","0","1"
"13","heatSource","1","0","0","0","1"
"13","additionalOutdoorAir","0","0","0","0","1"
"13","additionalExhaustAir","0","0","0","0","1"
"13","additionalIndoorAir","0","0","0","0","1"
"13","additionalNonheatedSpaceAir","0","0","0","0","1"
"13","powerSupply","3","0","0","0","1"
"13","offPeakProduct","2","0","0","0","1"
"13","EN14511_4_001","2","0","10","0","2"
"13","EN14511_4_002","2","0","10","0","2"
"13","EN14511_2_001","5.19","4","10","0","2"
"13","EN14511_2_001","4.62","5","10","0","2"
"13","EN14511_2_002","1.04","4","10","0","2"
"13","EN14511_2_002","1.62","5","10","0","2"
"13","EN14511_2_003","4.98","4","10","0","2"
"13","EN14511_2_003","2.85","5","10","0","2"
"13","EN14511_4_003","2","0","10","0","2"
"13","EN14511_4_004","2","0","10","0","2"
"13","EN14511_4_005","2","0","10","0","2"
"13","EN14511_4_006","2","0","10","0","2"
"13","EN12102_1_001","41","4","1","0","2"
"13","EN12102_1_001","41","5","1","0","2"
"13","EN12102_1_001","41","4","2","0","2"
"13","EN12102_1_001","41","5","2","0","2"
"13","EN12102_1_001","41","4","3","0","2"
"13","EN12102_1_001","41","5","3","0","2"
"13","EN12102_1_002","53","4","1","0","2"
"13","EN12102_1_002","53","5","1","0","2"
"13","EN12102_1_002","53","4","2","0","2"
"13","EN12102_1_002","53","5","2","0","2"
"13","EN12102_1_002","53","4","3","0","2"
"13","EN12102_1_002","53","5","3","0","2"
"13","EN14825_001","249","4","1","0","2"
"13","EN14825_001","167","5","1","0","2"
"13","EN14825_001","152","4","2","0","2"
"13","EN14825_001","114","5","2","0","2"
"13","EN14825_001","178","4","3","0","2"
"13","EN14825_001","140","5","3","0","2"
"13","EN14825_002","11.80","4","1","0","2"
"13","EN14825_002","11.43","5","1","0","2"
"13","EN14825_002","9.49","4","2","0","2"
"13","EN14825_002","8.87","5","2","0","2"
"13","EN14825_002","9.97","4","3","0","2"
"13","EN14825_002","9.33","5","3","0","2"
"13","EN14825_003","6.30","4","1","0","2"
"13","EN14825_003","4.24","5","1","0","2"
"13","EN14825_003","3.87","4","2","0","2"
"13","EN14825_003","2.93","5","2","0","2"
"13","EN14825_003","4.52","4","3","0","2"
"13","EN14825_003","3.58","5","3","0","2"
"13","EN14825_004","2","4","1","0","2"
"13","EN14825_004","2","5","1","0","2"
"13","EN14825_004","-17","4","2","0","2"
"13","EN14825_004","-17","5","2","0","2"
"13","EN14825_004","-10","4","3","0","2"
"13","EN14825_004","-10","5","3","0","2"
"13","EN14825_005","2","4","1","0","2"
"13","EN14825_005","2","5","1","0","2"
"13","EN14825_005","-20","4","2","0","2"
"13","EN14825_005","-18","5","2","0","2"
"13","EN14825_005","-10","4","3","0","2"
"13","EN14825_005","-10","5","3","0","2"
"13","EN14825_008","5.98","4","2","0","2"
"13","EN14825_008","5.62","5","2","0","2"
"13","EN14825_008","9.53","4","3","0","2"
"13","EN14825_008","8.41","5","3","0","2"
"13","EN14825_009","3.61","4","2","0","2"
"13","EN14825_009","2.70","5","2","0","2"
"13","EN14825_009","2.95","4","3","0","2"
"13","EN14825_009","2.21","5","3","0","2"
"13","EN14825_010","11.80","4","1","0","2"
"13","EN14825_010","11.43","5","1","0","2"
"13","EN14825_010","7.25","4","2","0","2"
"13","EN14825_010","6.86","5","2","0","2"
"13","EN14825_010","5.48","4","3","0","2"
"13","EN14825_010","4.74","5","3","0","2"
"13","EN14825_011","3.04","4","1","0","2"
"13","EN14825_011","2.17","5","1","0","2"
"13","EN14825_011","4.12","4","2","0","2"
"13","EN14825_011","3.23","5","2","0","2"
"13","EN14825_011","4.04","4","3","0","2"
"13","EN14825_011","3.58","5","3","0","2"
"13","EN14825_012","7.62","4","1","0","2"
"13","EN14825_012","7.90","5","1","0","2"
"13","EN14825_012","5.48","4","2","0","2"
"13","EN14825_012","5.19","5","2","0","2"
"13","EN14825_012","3.68","4","3","0","2"
"13","EN14825_012","5.12","5","3","0","2"
"13","EN14825_013","5.37","4","1","0","2"
"13","EN14825_013","3.61","5","1","0","2"
"13","EN14825_013","6.35","4","2","0","2"
"13","EN14825_013","4.86","5","2","0","2"
"13","EN14825_013","6.71","4","3","0","2"
"13","EN14825_013","4.54","5","3","0","2"
"13","EN14825_014","3.13","4","1","0","2"
"13","EN14825_014","6.01","5","1","0","2"
"13","EN14825_014","3.07","4","2","0","2"
"13","EN14825_014","6.14","5","2","0","2"
"13","EN14825_014","3.11","4","3","0","2"
"13","EN14825_014","6.10","5","3","0","2"
