"modelID","varName","value","temperature","climate","indoorUnittype","info"
"100","title","EPGA14DV / EABH16D(6V/9W)","0","0","0","1"
"100","application","2","0","0","0","1"
"100","indoor","1","0","0","0","1"
"100","outdoor","1","0","0","0","1"
"100","coolingMode7c12c","0","0","0","0","1"
"100","coolingMode18c23c","0","0","0","0","1"
"100","colderClimate","0","0","0","0","1"
"100","warmerClimate","0","0","0","0","1"
"100","reversibility","0","0","0","0","1"
"100","colderForHeating","0","0","0","0","1"
"100","warmerForHeating","0","0","0","0","1"
"100","en145112Certification","0","0","0","0","1"
"100","heatSource","0","0","0","0","1"
"100","additionalOutdoorAir","0","0","0","0","1"
"100","additionalExhaustAir","0","0","0","0","1"
"100","additionalIndoorAir","0","0","0","0","1"
"100","additionalNonheatedSpaceAir","0","0","0","0","1"
"100","powerSupply","1","0","0","0","1"
"100","offPeakProduct","0","0","0","0","1"
"100","EN14511_2_001","14.54","4","10","0","2"
"100","EN14511_2_001","15.84","5","10","0","2"
"100","EN14511_2_002","3.97","6","4","0","2"
"100","EN14511_2_002","2.91","4","10","0","2"
"100","EN14511_2_002","5.17","5","10","0","2"
"100","EN14511_2_003","4.99","4","10","0","2"
"100","EN14511_2_003","3.06","5","10","0","2"
"100","EN14511_2_005","11.89","6","4","0","2"
"100","EN14511_2_007","2.99","6","4","0","2"
"100","EN14511_4_003","2","0","10","0","2"
"100","EN14511_4_004","2","0","10","0","2"
"100","EN14511_4_005","2","0","10","0","2"
"100","EN14511_4_006","2","0","10","0","2"
"100","EN12102_1_001","44","4","3","0","2"
"100","EN12102_1_001","44","5","3","0","2"
"100","EN12102_1_002","64","4","3","0","2"
"100","EN12102_1_002","64","5","3","0","2"
"100","EN14825_001","175","4","3","0","2"
"100","EN14825_001","130","5","3","0","2"
"100","EN14825_002","13.00","4","3","0","2"
"100","EN14825_002","14.00","5","3","0","2"
"100","EN14825_003","4.45","4","3","0","2"
"100","EN14825_003","3.34","5","3","0","2"
"100","EN14825_004","-10","4","3","0","2"
"100","EN14825_004","-7","5","3","0","2"
"100","EN14825_005","-10","4","3","0","2"
"100","EN14825_005","-10","5","3","0","2"
"100","EN14825_008","11.10","4","3","0","2"
"100","EN14825_008","12.30","5","3","0","2"
"100","EN14825_009","2.85","4","3","0","2"
"100","EN14825_009","2.17","5","3","0","2"
"100","EN14825_047","1.00","4","3","0","2"
"100","EN14825_047","1.00","5","3","0","2"
"100","EN14825_010","7.00","4","3","0","2"
"100","EN14825_010","8.10","5","3","0","2"
"100","EN14825_011","4.24","4","3","0","2"
"100","EN14825_011","3.18","5","3","0","2"
"100","EN14825_048","1.00","4","3","0","2"
"100","EN14825_048","1.00","5","3","0","2"
"100","EN14825_012","4.50","4","3","0","2"
"100","EN14825_012","5.00","5","3","0","2"
"100","EN14825_013","6.24","4","3","0","2"
"100","EN14825_013","4.46","5","3","0","2"
"100","EN14825_049","0.95","4","3","0","2"
"100","EN14825_049","0.96","5","3","0","2"
"100","EN14825_014","5.30","4","3","0","2"
"100","EN14825_014","5.20","5","3","0","2"
"100","EN14825_015","8.12","4","3","0","2"
