"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","CTC CombiAir 12M","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","0","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_2_001","5.21","4","10","0","2"
"1","EN14511_2_001","4.73","5","10","0","2"
"1","EN14511_2_002","1.09","4","10","0","2"
"1","EN14511_2_002","1.54","5","10","0","2"
"1","EN14511_2_003","4.78","4","10","0","2"
"1","EN14511_2_003","3.07","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN12102_1_002","57","4","3","0","2"
"1","EN12102_1_002","57","5","3","0","2"
"1","EN14825_001","174","4","3","0","2"
"1","EN14825_001","132","5","3","0","2"
"1","EN14825_002","11.50","4","3","0","2"
"1","EN14825_002","10.00","5","3","0","2"
"1","EN14825_003","4.42","4","3","0","2"
"1","EN14825_003","3.37","5","3","0","2"
"1","EN14825_004","-7","4","3","0","2"
"1","EN14825_004","-8","5","3","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","10.30","4","3","0","2"
"1","EN14825_008","8.90","5","3","0","2"
"1","EN14825_009","2.91","4","3","0","2"
"1","EN14825_009","1.99","5","3","0","2"
"1","EN14825_010","6.30","4","3","0","2"
"1","EN14825_010","5.50","5","3","0","2"
"1","EN14825_011","4.34","4","3","0","2"
"1","EN14825_011","3.22","5","3","0","2"
"1","EN14825_012","4.10","4","3","0","2"
"1","EN14825_012","3.50","5","3","0","2"
"1","EN14825_013","5.51","4","3","0","2"
"1","EN14825_013","4.61","5","3","0","2"
"1","EN14825_014","4.80","4","3","0","2"
"1","EN14825_014","5.00","5","3","0","2"
"1","EN14825_015","6.96","4","3","0","2"
"1","EN14825_015","6.25","5","3","0","2"
"1","EN14825_016","10.20","4","3","0","2"
"1","EN14825_016","9.20","5","3","0","2"
"1","EN14825_017","2.89","4","3","0","2"
"1","EN14825_017","1.90","5","3","0","2"
"1","EN14825_018","9.30","4","3","0","2"
"1","EN14825_018","8.10","5","3","0","2"
"1","EN14825_019","2.66","4","3","0","2"
"1","EN14825_019","1.92","5","3","0","2"
"1","EN14825_021","0.97","4","3","0","2"
"1","EN14825_021","0.98","5","3","0","2"
"1","EN14825_022","58","4","3","0","2"
"1","EN14825_022","58","5","3","0","2"
"1","EN14825_023","2","4","3","0","2"
"1","EN14825_023","2","5","3","0","2"
"1","EN14825_024","20","4","3","0","2"
"1","EN14825_024","15","5","3","0","2"
"1","EN14825_025","15","4","3","0","2"
"1","EN14825_025","15","5","3","0","2"
"1","EN14825_026","20","4","3","0","2"
"1","EN14825_026","20","5","3","0","2"
"1","EN14825_027","1","4","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","2.20","4","3","0","2"
"1","EN14825_028","1.90","5","3","0","2"
"1","EN14825_029","5482","4","3","0","2"
"1","EN14825_029","6136","5","3","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","2,900 kg","0","0","0","0"
"","Date","30.10.2020","0","0","0","0"
