"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","Thermor Alféa extensa Duo A.I. 3 R32","0","0","0","1"
"1","application","4","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","3.35","4","10","0","2"
"1","EN14511_2_001","3.70","5","10","0","2"
"1","EN14511_2_002","0.68","4","10","0","2"
"1","EN14511_2_002","1.40","5","10","0","2"
"1","EN14511_2_003","4.95","4","10","0","2"
"1","EN14511_2_003","2.63","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","40","4","3","0","2"
"1","EN12102_1_001","40","5","3","0","2"
"1","EN12102_1_002","57","4","3","0","2"
"1","EN12102_1_002","57","5","3","0","2"
"1","EN14825_001","175","4","3","0","2"
"1","EN14825_001","119","5","3","0","2"
"1","EN14825_002","4.40","4","3","0","2"
"1","EN14825_002","4.00","5","3","0","2"
"1","EN14825_003","4.46","4","3","0","2"
"1","EN14825_003","3.04","5","3","0","2"
"1","EN14825_004","-7","4","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","3.90","4","3","0","2"
"1","EN14825_008","3.50","5","3","0","2"
"1","EN14825_009","3.12","4","3","0","2"
"1","EN14825_009","1.81","5","3","0","2"
"1","EN14825_047","1.000","4","3","0","2"
"1","EN14825_047","1.000","5","3","0","2"
"1","EN14825_010","2.40","4","3","0","2"
"1","EN14825_010","2.20","5","3","0","2"
"1","EN14825_011","4.26","4","3","0","2"
"1","EN14825_011","2.98","5","3","0","2"
"1","EN14825_048","1.000","4","3","0","2"
"1","EN14825_048","1.000","5","3","0","2"
"1","EN14825_012","2.00","4","3","0","2"
"1","EN14825_012","1.80","5","3","0","2"
"1","EN14825_013","5.90","4","3","0","2"
"1","EN14825_013","4.07","5","3","0","2"
"1","EN14825_049","1.000","4","3","0","2"
"1","EN14825_049","1.000","5","3","0","2"
"1","EN14825_014","2.30","4","3","0","2"
"1","EN14825_014","2.20","5","3","0","2"
"1","EN14825_015","6.87","4","3","0","2"
"1","EN14825_015","5.78","5","3","0","2"
"1","EN14825_050","1.000","4","3","0","2"
"1","EN14825_050","1.000","5","3","0","2"
"1","EN14825_016","3.90","4","3","0","2"
"1","EN14825_016","3.50","5","3","0","2"
"1","EN14825_017","3.12","4","3","0","2"
"1","EN14825_017","1.81","5","3","0","2"
"1","EN14825_018","3.90","4","3","0","2"
"1","EN14825_018","3.30","5","3","0","2"
"1","EN14825_019","2.72","4","3","0","2"
"1","EN14825_019","1.61","5","3","0","2"
"1","EN14825_022","55","4","3","0","2"
"1","EN14825_022","55","5","3","0","2"
"1","EN14825_023","4","4","3","0","2"
"1","EN14825_023","4","5","3","0","2"
"1","EN14825_024","9","4","3","0","2"
"1","EN14825_024","9","5","3","0","2"
"1","EN14825_025","8","4","3","0","2"
"1","EN14825_025","8","5","3","0","2"
"1","EN14825_026","0","4","3","0","2"
"1","EN14825_026","0","5","3","0","2"
"1","EN14825_027","1","4","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","0.48","4","3","0","2"
"1","EN14825_028","0.65","5","3","0","2"
"1","EN14825_029","2040","4","3","0","2"
"1","EN14825_029","2715","5","3","0","2"
"1","EN16147_001","L","0","3","0","2"
"1","EN16147_002","130","0","3","0","2"
"1","EN16147_003","3.10","0","3","0","2"
"1","EN16147_004","1:45","0","3","0","2"
"1","EN16147_005","30.0","0","3","0","2"
"1","EN16147_006","54.0","0","3","0","2"
"1","EN16147_007","245","0","3","0","2"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","0,970 kg","0","0","0","0"
"","Date","27.04.2021","0","0","0","0"
