"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","PUHZ-SHW230YKA2 + EHSE-*M*C","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","3","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","23","4","10","0","2"
"1","EN14511_2_001","23","5","10","0","2"
"1","EN14511_2_002","6.3","4","10","0","2"
"1","EN14511_2_002","9.31","5","10","0","2"
"1","EN14511_2_003","3.65","4","10","0","2"
"1","EN14511_2_003","2.47","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","45","4","3","0","2"
"1","EN12102_1_001","45","5","3","0","2"
"1","EN12102_1_002","75","4","3","0","2"
"1","EN12102_1_002","75","5","3","0","2"
"1","EN14825_001","164","4","3","0","2"
"1","EN14825_001","127","5","3","0","2"
"1","EN14825_002","25","4","3","0","2"
"1","EN14825_002","23","5","3","0","2"
"1","EN14825_003","4.18","4","3","0","2"
"1","EN14825_003","3.25","5","3","0","2"
"1","EN14825_004","-10","4","3","0","2"
"1","EN14825_004","-10","5","3","0","2"
"1","EN14825_005","-25","4","3","0","2"
"1","EN14825_005","-25","5","3","0","2"
"1","EN14825_008","22.1","4","3","0","2"
"1","EN14825_008","20.3","5","3","0","2"
"1","EN14825_009","3.4","4","3","0","2"
"1","EN14825_009","2.1","5","3","0","2"
"1","EN14825_047","0.95","4","3","0","2"
"1","EN14825_047","0.95","5","3","0","2"
"1","EN14825_010","13.5","4","3","0","2"
"1","EN14825_010","12.4","5","3","0","2"
"1","EN14825_011","3.8","4","3","0","2"
"1","EN14825_011","3.02","5","3","0","2"
"1","EN14825_048","0.95","4","3","0","2"
"1","EN14825_048","0.95","5","3","0","2"
"1","EN14825_012","12","4","3","0","2"
"1","EN14825_012","11.2","5","3","0","2"
"1","EN14825_013","5.32","4","3","0","2"
"1","EN14825_013","4.54","5","3","0","2"
"1","EN14825_049","0.95","4","3","0","2"
"1","EN14825_049","0.95","5","3","0","2"
"1","EN14825_014","14.6","4","3","0","2"
"1","EN14825_014","13.7","5","3","0","2"
"1","EN14825_015","6.68","4","3","0","2"
"1","EN14825_015","5.79","5","3","0","2"
"1","EN14825_050","0.95","4","3","0","2"
"1","EN14825_050","0.95","5","3","0","2"
"1","EN14825_016","25","4","3","0","2"
"1","EN14825_016","23","5","3","0","2"
"1","EN14825_017","2.19","4","3","0","2"
"1","EN14825_017","1.85","5","3","0","2"
"1","EN14825_018","25","4","3","0","2"
"1","EN14825_018","23","5","3","0","2"
"1","EN14825_019","2.19","4","3","0","2"
"1","EN14825_019","1.85","5","3","0","2"
"1","EN14825_022","60","4","3","0","2"
"1","EN14825_022","60","5","3","0","2"
"1","EN14825_023","22","4","3","0","2"
"1","EN14825_023","22","5","3","0","2"
"1","EN14825_024","22","4","3","0","2"
"1","EN14825_024","22","5","3","0","2"
"1","EN14825_025","22","4","3","0","2"
"1","EN14825_025","22","5","3","0","2"
"1","EN14825_026","0","4","3","0","2"
"1","EN14825_026","0","5","3","0","2"
"1","EN14825_027","1","4","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","0","4","3","0","2"
"1","EN14825_028","0","5","3","0","2"
"1","EN14825_029","12351","4","3","0","2"
"1","EN14825_029","14615","5","3","0","2"
"2","title","PUHZ-SHW230YKA2 + EHSE-M*C","0","0","0","1"
"2","application","2","0","0","0","1"
"2","indoor","1","0","0","0","1"
