"modelID","varName","value","temperature","climate","indoorUnittype","info"
"3","title","FDCW71VNX-A + HMA100-S","0","0","0","1"
"3","application","4","0","0","0","1"
"3","indoor","1","0","0","0","1"
"3","outdoor","1","0","0","0","1"
"3","coolingMode7c12c","0","0","0","0","1"
"3","coolingMode18c23c","0","0","0","0","1"
"3","colderClimate","0","0","0","0","1"
"3","warmerClimate","0","0","0","0","1"
"3","reversibility","0","0","0","0","1"
"3","colderForHeating","0","0","0","0","1"
"3","warmerForHeating","0","0","0","0","1"
"3","en145112Certification","0","0","0","0","1"
"3","heatSource","0","0","0","0","1"
"3","additionalOutdoorAir","0","0","0","0","1"
"3","additionalExhaustAir","0","0","0","0","1"
"3","additionalIndoorAir","0","0","0","0","1"
"3","additionalNonheatedSpaceAir","0","0","0","0","1"
"3","powerSupply","1","0","0","0","1"
"3","offPeakProduct","0","0","0","0","1"
"3","EN14511_4_001","2","0","10","0","2"
"3","EN14511_4_001","2","0","10","0","2"
"3","EN14511_4_002","2","0","10","0","2"
"3","EN14511_4_002","2","0","10","0","2"
"3","EN14511_2_001","8.30","4","10","0","2"
"3","EN14511_2_001","7.10","5","10","0","2"
"3","EN14511_2_002","2.03","4","10","0","2"
"3","EN14511_2_002","2.71","5","10","0","2"
"3","EN14511_2_003","4.08","4","10","0","2"
"3","EN14511_2_003","2.62","5","10","0","2"
"3","EN14511_4_003","2","0","10","0","2"
"3","EN14511_4_003","2","0","10","0","2"
"3","EN14511_4_004","2","0","10","0","2"
"3","EN14511_4_004","2","0","10","0","2"
"3","EN14511_4_005","2","0","10","0","2"
"3","EN14511_4_005","2","0","10","0","2"
"3","EN14511_4_006","2","0","10","0","2"
"3","EN12102_1_001","33","4","3","0","2"
"3","EN12102_1_001","33","5","3","0","2"
"3","EN12102_1_002","55","4","3","0","2"
"3","EN12102_1_002","55","5","3","0","2"
"3","EN14825_001","149","4","3","0","2"
"3","EN14825_001","119","5","3","0","2"
"3","EN14825_002","7.10","4","3","0","2"
"3","EN14825_002","7.00","5","3","0","2"
"3","EN14825_003","3.73","4","3","0","2"
"3","EN14825_003","2.98","5","3","0","2"
"3","EN14825_004","-10","4","3","0","2"
"3","EN14825_004","-7","5","3","0","2"
"3","EN14825_005","-10","4","3","0","2"
"3","EN14825_005","-10","5","3","0","2"
"3","EN14825_008","6.30","4","3","0","2"
"3","EN14825_008","6.20","5","3","0","2"
"3","EN14825_009","2.61","4","3","0","2"
"3","EN14825_009","1.93","5","3","0","2"
"3","EN14825_047","0.900","4","3","0","2"
"3","EN14825_047","0.900","5","3","0","2"
"3","EN14825_010","3.80","4","3","0","2"
"3","EN14825_010","3.80","5","3","0","2"
"3","EN14825_011","3.60","4","3","0","2"
"3","EN14825_011","3.00","5","3","0","2"
"3","EN14825_048","0.900","4","3","0","2"
"3","EN14825_048","0.900","5","3","0","2"
"3","EN14825_012","2.50","4","3","0","2"
"3","EN14825_012","2.40","5","3","0","2"
"3","EN14825_013","4.92","4","3","0","2"
"3","EN14825_013","3.90","5","3","0","2"
"3","EN14825_049","0.900","4","3","0","2"
"3","EN14825_049","0.900","5","3","0","2"
"3","EN14825_014","2.30","4","3","0","2"
"3","EN14825_014","2.30","5","3","0","2"
"3","EN14825_015","6.42","4","3","0","2"
"3","EN14825_015","5.23","5","3","0","2"
"3","EN14825_050","0.900","4","3","0","2"
"3","EN14825_050","0.900","5","3","0","2"
"3","EN14825_016","7.10","4","3","0","2"
"3","EN14825_016","6.20","5","3","0","2"
"3","EN14825_017","2.34","4","3","0","2"
"3","EN14825_017","1.93","5","3","0","2"
"3","EN14825_018","7.10","4","3","0","2"
"3","EN14825_018","5.30","5","3","0","2"
"3","EN14825_019","2.34","4","3","0","2"
"3","EN14825_019","1.69","5","3","0","2"
"3","EN14825_021","0.96","4","3","0","2"
"3","EN14825_021","0.97","5","3","0","2"
"3","EN14825_022","58","4","3","0","2"
"3","EN14825_022","58","5","3","0","2"
"3","EN14825_023","2","4","3","0","2"
"3","EN14825_023","2","5","3","0","2"
"3","EN14825_024","15","4","3","0","2"
"3","EN14825_024","10","5","3","0","2"
"3","EN14825_025","15","4","3","0","2"
"3","EN14825_025","15","5","3","0","2"
"3","EN14825_026","30","4","3","0","2"
"3","EN14825_026","30","5","3","0","2"
"3","EN14825_027","1","4","3","0","2"
"3","EN14825_027","1","5","3","0","2"
"3","EN14825_028","0.00","4","3","0","2"
"3","EN14825_028","1.70","5","3","0","2"
"3","EN14825_029","3856","4","3","0","2"
"3","EN14825_029","4751","5","3","0","2"
"3","EN16147_001","XL","0","3","0","2"
"3","EN16147_002","99","0","3","0","2"
"3","EN16147_003","2.34","0","3","0","2"
"3","EN16147_004","1:20","0","3","0","2"
"3","EN16147_005","85.0","0","3","0","2"
"3","EN16147_006","51.0","0","3","0","2"
"3","EN16147_007","230","0","3","0","2"
"2","title","FDCW71VNX-A + HSB100","0","0","0","1"
"2","application","2","0","0","0","1"
"2","indoor","1","0","0","0","1"
"2","outdoor","1","0","0","0","1"
"2","coolingMode7c12c","0","0","0","0","1"
"2","coolingMode18c23c","0","0","0","0","1"
"2","colderClimate","0","0","0","0","1"
"2","warmerClimate","0","0","0","0","1"
"2","reversibility","0","0","0","0","1"
"2","colderForHeating","0","0","0","0","1"
"2","warmerForHeating","0","0","0","0","1"
"2","en145112Certification","0","0","0","0","1"
"2","heatSource","0","0","0","0","1"
"2","additionalOutdoorAir","0","0","0","0","1"
"2","additionalExhaustAir","0","0","0","0","1"
"2","additionalIndoorAir","0","0","0","0","1"
"2","additionalNonheatedSpaceAir","0","0","0","0","1"
"2","powerSupply","1","0","0","0","1"
"2","offPeakProduct","0","0","0","0","1"
"2","EN14511_4_001","2","0","10","0","2"
"2","EN14511_4_001","2","0","10","0","2"
"2","EN14511_4_002","2","0","10","0","2"
"2","EN14511_4_002","2","0","10","0","2"
"2","EN14511_2_001","8.30","4","10","0","2"
"2","EN14511_2_001","7.10","5","10","0","2"
"2","EN14511_2_002","2.03","4","10","0","2"
"2","EN14511_2_002","2.71","5","10","0","2"
"2","EN14511_2_003","4.08","4","10","0","2"
"2","EN14511_2_003","2.62","5","10","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN14511_4_006","2","0","10","0","2"
"2","EN12102_1_001","33","4","3","0","2"
"2","EN12102_1_001","33","5","3","0","2"
"2","EN12102_1_002","55","4","3","0","2"
"2","EN12102_1_002","55","5","3","0","2"
"2","EN14825_001","149","4","3","0","2"
"2","EN14825_001","119","5","3","0","2"
"2","EN14825_002","7.10","4","3","0","2"
"2","EN14825_002","7.00","5","3","0","2"
"2","EN14825_003","3.73","4","3","0","2"
"2","EN14825_003","2.98","5","3","0","2"
"2","EN14825_004","-10","4","3","0","2"
"2","EN14825_004","-7","5","3","0","2"
"2","EN14825_005","-10","4","3","0","2"
"2","EN14825_005","-10","5","3","0","2"
"2","EN14825_008","6.30","4","3","0","2"
"2","EN14825_008","6.20","5","3","0","2"
"2","EN14825_009","2.61","4","3","0","2"
"2","EN14825_009","1.93","5","3","0","2"
"2","EN14825_047","0.900","4","3","0","2"
"2","EN14825_047","0.900","5","3","0","2"
"2","EN14825_010","3.80","4","3","0","2"
"2","EN14825_010","3.80","5","3","0","2"
"2","EN14825_011","3.60","4","3","0","2"
"2","EN14825_011","3.00","5","3","0","2"
"2","EN14825_048","0.900","4","3","0","2"
"2","EN14825_048","0.900","5","3","0","2"
"2","EN14825_012","2.50","4","3","0","2"
"2","EN14825_012","2.40","5","3","0","2"
"2","EN14825_013","4.92","4","3","0","2"
"2","EN14825_013","3.90","5","3","0","2"
"2","EN14825_049","0.900","4","3","0","2"
"2","EN14825_049","0.900","5","3","0","2"
"2","EN14825_014","2.30","4","3","0","2"
"2","EN14825_014","2.30","5","3","0","2"
"2","EN14825_015","6.42","4","3","0","2"
"2","EN14825_015","5.23","5","3","0","2"
"2","EN14825_050","0.900","4","3","0","2"
"2","EN14825_050","0.900","5","3","0","2"
"2","EN14825_016","7.10","4","3","0","2"
"2","EN14825_016","6.20","5","3","0","2"
"2","EN14825_017","2.34","4","3","0","2"
"2","EN14825_017","1.93","5","3","0","2"
"2","EN14825_018","7.10","4","3","0","2"
"2","EN14825_018","5.30","5","3","0","2"
"2","EN14825_019","2.34","4","3","0","2"
"2","EN14825_019","1.69","5","3","0","2"
"2","EN14825_021","0.96","4","3","0","2"
"2","EN14825_021","0.97","5","3","0","2"
"2","EN14825_022","58","4","3","0","2"
"2","EN14825_022","58","5","3","0","2"
"2","EN14825_023","2","4","3","0","2"
"2","EN14825_023","2","5","3","0","2"
"2","EN14825_024","15","4","3","0","2"
"2","EN14825_024","10","5","3","0","2"
"2","EN14825_025","15","4","3","0","2"
"2","EN14825_025","15","5","3","0","2"
"2","EN14825_026","30","4","3","0","2"
"2","EN14825_026","30","5","3","0","2"
"2","EN14825_027","1","4","3","0","2"
"2","EN14825_027","1","5","3","0","2"
"2","EN14825_028","0.00","4","3","0","2"
"2","EN14825_028","1.70","5","3","0","2"
"2","EN14825_029","3856","4","3","0","2"
"2","EN14825_029","4751","5","3","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","2,550 kg","0","0","0","0"
"","Date","21.01.2019","0","0","0","0"
