"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","AEG WPT 220 EL","0","0","0","1"
"1","application","3","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","0","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","1","0","0","0","1"
"1","warmerClimate","1","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN12102_1_001","61","0","10","0","2"
"1","EN12102_2_001","60","0","3","0","2"
"1","EN16147_001","L","0","3","0","2"
"1","EN16147_002","148","0","3","0","2"
"1","EN16147_003","3.55","0","3","0","2"
"1","EN16147_004","6:04","0","3","0","2"
"1","EN16147_005","55.0","0","3","0","2"
"1","EN16147_006","52.6","0","3","0","2"
"1","EN16147_007","278","0","3","0","2"
"1","EN16147_008","2","0","5","0","2"
"1","EN16147_009","2","0","5","0","2"
"1","EN16147_010","2","0","5","0","2"
"","Refrigerant","R134a","0","0","0","0"
"","Mass of Refrigerant","0,850 kg","0","0","0","0"
"","Date","23.09.2020","0","0","0","0"
