"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","WPC 05 cool, all climates","0","0","0","1"
"","application","1","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","1","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","5.82","4","10","0","2"
"","EN14511_2_002","1.21","4","10","0","2"
"","EN14511_2_003","4.80","4","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_001","47","4","1","0","2"
"","EN12102_1_001","47","4","2","0","2"
"","EN12102_1_001","47","4","3","0","2"
"","EN12102_1_002","0","4","1","0","2"
"","EN12102_1_002","0","4","2","0","2"
"","EN12102_1_002","0","4","3","0","2"
"","EN14825_001","203","4","1","0","2"
"","EN14825_001","212","4","2","0","2"
"","EN14825_001","205","4","3","0","2"
"","EN14825_002","6.00","4","1","0","2"
"","EN14825_002","7.00","4","2","0","2"
"","EN14825_002","6.00","4","3","0","2"
"","EN14825_003","5.28","4","1","0","2"
"","EN14825_003","5.49","4","2","0","2"
"","EN14825_003","5.32","4","3","0","2"
"","EN14825_004","2","4","1","0","2"
"","EN14825_004","-15","4","2","0","2"
"","EN14825_004","-10","4","3","0","2"
"","EN14825_005","0","4","1","0","2"
"","EN14825_005","-22","4","2","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_008","0.00","4","1","0","2"
"","EN14825_008","5.90","4","2","0","2"
"","EN14825_008","5.80","4","3","0","2"
"","EN14825_009","0.00","4","1","0","2"
"","EN14825_009","5.43","4","2","0","2"
"","EN14825_009","4.87","4","3","0","2"
"","EN14825_010","5.80","4","1","0","2"
"","EN14825_010","6.00","4","2","0","2"
"","EN14825_010","5.90","4","3","0","2"
"","EN14825_011","4.81","4","1","0","2"
"","EN14825_011","5.72","4","2","0","2"
"","EN14825_011","5.24","4","3","0","2"
"","EN14825_012","5.90","4","1","0","2"
"","EN14825_012","6.00","4","2","0","2"
"","EN14825_012","6.00","4","3","0","2"
"","EN14825_013","5.16","4","1","0","2"
"","EN14825_013","5.97","4","2","0","2"
"","EN14825_013","5.61","4","3","0","2"
"","EN14825_014","6.00","4","1","0","2"
"","EN14825_014","6.00","4","2","0","2"
"","EN14825_014","6.00","4","3","0","2"
"","EN14825_015","5.75","4","1","0","2"
"","EN14825_015","6.01","4","2","0","2"
"","EN14825_015","6.03","4","3","0","2"
"","EN14825_016","5.80","4","1","0","2"
"","EN14825_016","5.90","4","2","0","2"
"","EN14825_016","5.80","4","3","0","2"
"","EN14825_017","4.81","4","1","0","2"
"","EN14825_017","5.31","4","2","0","2"
"","EN14825_017","4.81","4","3","0","2"
"","EN14825_018","5.80","4","1","0","2"
"","EN14825_018","5.90","4","2","0","2"
"","EN14825_018","5.80","4","3","0","2"
"","EN14825_019","4.81","4","1","0","2"
"","EN14825_019","5.31","4","2","0","2"
"","EN14825_019","4.81","4","3","0","2"
"","EN14825_020","0","4","1","0","2"
"","EN14825_020","0","4","2","0","2"
"","EN14825_020","0","4","3","0","2"
"","EN14825_021","0.90","4","1","0","2"
"","EN14825_021","0.90","4","2","0","2"
"","EN14825_021","0.90","4","3","0","2"
"","EN14825_022","65","4","1","0","2"
"","EN14825_022","65","4","2","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_023","0","4","1","0","2"
"","EN14825_023","0","4","2","0","2"
"","EN14825_023","0","4","3","0","2"
"","EN14825_024","54","4","1","0","2"
"","EN14825_024","54","4","2","0","2"
"","EN14825_024","54","4","3","0","2"
"","EN14825_025","9","4","1","0","2"
"","EN14825_025","9","4","2","0","2"
"","EN14825_025","9","4","3","0","2"
"","EN14825_026","0","4","1","0","2"
"","EN14825_026","0","4","2","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_027","1","4","1","0","2"
"","EN14825_027","1","4","2","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_028","0.00","4","1","0","2"
"","EN14825_028","1.43","4","2","0","2"
"","EN14825_028","0.00","4","3","0","2"
"","EN14825_029","1473","4","1","0","2"
"","EN14825_029","3254","4","2","0","2"
"","EN14825_029","2262","4","3","0","2"
"","EN16147_001","0","0","1","0","2"
"","EN16147_001","0","0","2","0","2"
"","EN16147_001","0","0","3","0","2"
"","EN16147_002","0","0","1","0","2"
"","EN16147_002","0","0","2","0","2"
"","EN16147_002","0","0","3","0","2"
"","EN16147_003","0.00","0","1","0","2"
"","EN16147_003","0.00","0","2","0","2"
"","EN16147_003","0.00","0","3","0","2"
"","EN16147_004","0","0","1","0","2"
"","EN16147_004","0","0","2","0","2"
"","EN16147_004","0","0","3","0","2"
"","EN16147_005","0","0","1","0","2"
"","EN16147_005","0","0","2","0","2"
"","EN16147_005","0","0","3","0","2"
"","EN16147_006","0.00","0","1","0","2"
"","EN16147_006","0.00","0","2","0","2"
"","EN16147_006","0.00","0","3","0","2"
"","EN16147_007","0","0","1","0","2"
"","EN16147_007","0","0","2","0","2"
"","EN16147_007","0","0","3","0","2"
"","title","WPC 05 cool, average climates","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","5.82","4","10","0","2"
"","EN14511_2_001","5.19","5","10","0","2"
"","EN14511_2_002","1.21","4","10","0","2"
"","EN14511_2_002","1.85","5","10","0","2"
"","EN14511_2_003","4.80","4","10","0","2"
"","EN14511_2_003","2.81","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_001","47","4","3","0","2"
"","EN12102_1_001","47","5","3","0","2"
"","EN12102_1_002","0","4","3","0","2"
"","EN12102_1_002","0","5","3","0","2"
"","EN14825_001","205","4","3","0","2"
"","EN14825_001","134","5","3","0","2"
"","EN14825_002","6.00","4","3","0","2"
"","EN14825_002","5.00","5","3","0","2"
"","EN14825_003","5.32","4","3","0","2"
"","EN14825_003","3.55","5","3","0","2"
"","EN14825_004","-10","4","3","0","2"
"","EN14825_004","-10","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","5.80","4","3","0","2"
"","EN14825_008","5.30","5","3","0","2"
"","EN14825_009","4.87","4","3","0","2"
"","EN14825_009","2.94","5","3","0","2"
"","EN14825_010","5.90","4","3","0","2"
"","EN14825_010","5.50","5","3","0","2"
"","EN14825_011","5.24","4","3","0","2"
"","EN14825_011","3.49","5","3","0","2"
"","EN14825_012","6.00","4","3","0","2"
"","EN14825_012","5.60","5","3","0","2"
"","EN14825_013","5.61","4","3","0","2"
"","EN14825_013","3.92","5","3","0","2"
"","EN14825_014","6.00","4","3","0","2"
"","EN14825_014","5.70","5","3","0","2"
"","EN14825_015","6.03","4","3","0","2"
"","EN14825_015","4.44","5","3","0","2"
"","EN14825_016","5.80","4","3","0","2"
"","EN14825_016","5.20","5","3","0","2"
"","EN14825_017","4.81","4","3","0","2"
"","EN14825_017","2.81","5","3","0","2"
"","EN14825_018","5.80","4","3","0","2"
"","EN14825_018","5.20","5","3","0","2"
"","EN14825_019","4.81","4","3","0","2"
"","EN14825_019","2.81","5","3","0","2"
"","EN14825_020","0","4","3","0","2"
"","EN14825_020","0","5","3","0","2"
"","EN14825_021","0.90","4","3","0","2"
"","EN14825_021","0.90","5","3","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_022","65","5","3","0","2"
"","EN14825_023","0","4","3","0","2"
"","EN14825_023","0","5","3","0","2"
"","EN14825_024","54","4","3","0","2"
"","EN14825_024","54","5","3","0","2"
"","EN14825_025","9","4","3","0","2"
"","EN14825_025","9","5","3","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.00","4","3","0","2"
"","EN14825_028","0.00","5","3","0","2"
"","EN14825_029","2262","4","3","0","2"
"","EN14825_029","3017","5","3","0","2"
"","EN16147_001","0","0","1","0","2"
"","EN16147_001","0","0","2","0","2"
"","EN16147_001","0","0","3","0","2"
"","EN16147_002","0","0","1","0","2"
"","EN16147_002","0","0","2","0","2"
"","EN16147_002","0","0","3","0","2"
"","EN16147_003","0.00","0","1","0","2"
"","EN16147_003","0.00","0","2","0","2"
"","EN16147_003","0.00","0","3","0","2"
"","EN16147_004","0","0","1","0","2"
"","EN16147_004","0","0","2","0","2"
"","EN16147_004","0","0","3","0","2"
"","EN16147_005","0","0","1","0","2"
"","EN16147_005","0","0","2","0","2"
"","EN16147_005","0","0","3","0","2"
"","EN16147_006","0.00","0","1","0","2"
"","EN16147_006","0.00","0","2","0","2"
"","EN16147_006","0.00","0","3","0","2"
"","EN16147_007","0","0","1","0","2"
"","EN16147_007","0","0","2","0","2"
"","EN16147_007","0","0","3","0","2"
"","title","WPC 05, all climates","0","0","0","1"
"","application","1","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","1","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","5.82","4","10","0","2"
"","EN14511_2_002","1.21","4","10","0","2"
"","EN14511_2_003","4.80","4","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_001","47","4","1","0","2"
"","EN12102_1_001","47","4","2","0","2"
"","EN12102_1_001","47","4","3","0","2"
"","EN12102_1_002","0","4","1","0","2"
"","EN12102_1_002","0","4","2","0","2"
"","EN12102_1_002","0","4","3","0","2"
"","EN14825_001","203","4","1","0","2"
"","EN14825_001","212","4","2","0","2"
"","EN14825_001","205","4","3","0","2"
"","EN14825_002","6.00","4","1","0","2"
"","EN14825_002","7.00","4","2","0","2"
"","EN14825_002","6.00","4","3","0","2"
"","EN14825_003","5.28","4","1","0","2"
"","EN14825_003","5.49","4","2","0","2"
"","EN14825_003","5.32","4","3","0","2"
"","EN14825_004","2","4","1","0","2"
"","EN14825_004","-15","4","2","0","2"
"","EN14825_004","-10","4","3","0","2"
"","EN14825_005","0","4","1","0","2"
"","EN14825_005","-22","4","2","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_008","0.00","4","1","0","2"
"","EN14825_008","5.90","4","2","0","2"
"","EN14825_008","5.80","4","3","0","2"
"","EN14825_009","0.00","4","1","0","2"
"","EN14825_009","5.43","4","2","0","2"
"","EN14825_009","4.87","4","3","0","2"
"","EN14825_010","5.80","4","1","0","2"
"","EN14825_010","6.00","4","2","0","2"
"","EN14825_010","5.90","4","3","0","2"
"","EN14825_011","4.81","4","1","0","2"
"","EN14825_011","5.72","4","2","0","2"
"","EN14825_011","5.24","4","3","0","2"
"","EN14825_012","5.90","4","1","0","2"
"","EN14825_012","6.00","4","2","0","2"
"","EN14825_012","6.00","4","3","0","2"
"","EN14825_013","5.16","4","1","0","2"
"","EN14825_013","5.97","4","2","0","2"
"","EN14825_013","5.61","4","3","0","2"
"","EN14825_014","6.00","4","1","0","2"
"","EN14825_014","6.00","4","2","0","2"
"","EN14825_014","6.00","4","3","0","2"
"","EN14825_015","5.75","4","1","0","2"
"","EN14825_015","6.01","4","2","0","2"
"","EN14825_015","6.03","4","3","0","2"
"","EN14825_016","5.80","4","1","0","2"
"","EN14825_016","5.90","4","2","0","2"
"","EN14825_016","5.80","4","3","0","2"
"","EN14825_017","4.81","4","1","0","2"
"","EN14825_017","5.31","4","2","0","2"
"","EN14825_017","4.81","4","3","0","2"
"","EN14825_018","5.80","4","1","0","2"
"","EN14825_018","5.90","4","2","0","2"
"","EN14825_018","5.80","4","3","0","2"
"","EN14825_019","4.81","4","1","0","2"
"","EN14825_019","5.31","4","2","0","2"
"","EN14825_019","4.81","4","3","0","2"
"","EN14825_020","0","4","1","0","2"
"","EN14825_020","0","4","2","0","2"
"","EN14825_020","0","4","3","0","2"
"","EN14825_021","0.90","4","1","0","2"
"","EN14825_021","0.90","4","2","0","2"
"","EN14825_021","0.90","4","3","0","2"
"","EN14825_022","65","4","1","0","2"
"","EN14825_022","65","4","2","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_023","0","4","1","0","2"
"","EN14825_023","0","4","2","0","2"
"","EN14825_023","0","4","3","0","2"
"","EN14825_024","54","4","1","0","2"
"","EN14825_024","54","4","2","0","2"
"","EN14825_024","54","4","3","0","2"
"","EN14825_025","9","4","1","0","2"
"","EN14825_025","9","4","2","0","2"
"","EN14825_025","9","4","3","0","2"
"","EN14825_026","0","4","1","0","2"
"","EN14825_026","0","4","2","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_027","1","4","1","0","2"
"","EN14825_027","1","4","2","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_028","0.00","4","1","0","2"
"","EN14825_028","1.43","4","2","0","2"
"","EN14825_028","0.00","4","3","0","2"
"","EN14825_029","1473","4","1","0","2"
"","EN14825_029","3254","4","2","0","2"
"","EN14825_029","2262","4","3","0","2"
"","EN16147_001","0","0","1","0","2"
"","EN16147_001","0","0","2","0","2"
"","EN16147_001","0","0","3","0","2"
"","EN16147_002","0","0","1","0","2"
"","EN16147_002","0","0","2","0","2"
"","EN16147_002","0","0","3","0","2"
"","EN16147_003","0.00","0","1","0","2"
"","EN16147_003","0.00","0","2","0","2"
"","EN16147_003","0.00","0","3","0","2"
"","EN16147_004","0","0","1","0","2"
"","EN16147_004","0","0","2","0","2"
"","EN16147_004","0","0","3","0","2"
"","EN16147_005","0","0","1","0","2"
"","EN16147_005","0","0","2","0","2"
"","EN16147_005","0","0","3","0","2"
"","EN16147_006","0.00","0","1","0","2"
"","EN16147_006","0.00","0","2","0","2"
"","EN16147_006","0.00","0","3","0","2"
"","EN16147_007","0","0","1","0","2"
"","EN16147_007","0","0","2","0","2"
"","EN16147_007","0","0","3","0","2"
"","title","WPC 05, average climates","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","5.82","4","10","0","2"
"","EN14511_2_001","5.19","5","10","0","2"
"","EN14511_2_002","1.21","4","10","0","2"
"","EN14511_2_002","1.85","5","10","0","2"
"","EN14511_2_003","4.80","4","10","0","2"
"","EN14511_2_003","2.81","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_001","47","4","3","0","2"
"","EN12102_1_001","47","5","3","0","2"
"","EN12102_1_002","0","4","3","0","2"
"","EN12102_1_002","0","5","3","0","2"
"","EN14825_001","205","4","3","0","2"
"","EN14825_001","134","5","3","0","2"
"","EN14825_002","6.00","4","3","0","2"
"","EN14825_002","5.00","5","3","0","2"
"","EN14825_003","5.32","4","3","0","2"
"","EN14825_003","3.55","5","3","0","2"
"","EN14825_004","-10","4","3","0","2"
"","EN14825_004","-10","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","5.80","4","3","0","2"
"","EN14825_008","5.30","5","3","0","2"
"","EN14825_009","4.87","4","3","0","2"
"","EN14825_009","2.94","5","3","0","2"
"","EN14825_010","5.90","4","3","0","2"
"","EN14825_010","5.50","5","3","0","2"
"","EN14825_011","5.24","4","3","0","2"
"","EN14825_011","3.49","5","3","0","2"
"","EN14825_012","6.00","4","3","0","2"
"","EN14825_012","5.60","5","3","0","2"
"","EN14825_013","5.61","4","3","0","2"
"","EN14825_013","3.92","5","3","0","2"
"","EN14825_014","6.00","4","3","0","2"
"","EN14825_014","5.70","5","3","0","2"
"","EN14825_015","6.03","4","3","0","2"
"","EN14825_015","4.44","5","3","0","2"
"","EN14825_016","5.80","4","3","0","2"
"","EN14825_016","5.20","5","3","0","2"
"","EN14825_017","4.81","4","3","0","2"
"","EN14825_017","2.81","5","3","0","2"
"","EN14825_018","5.80","4","3","0","2"
"","EN14825_018","5.20","5","3","0","2"
"","EN14825_019","4.81","4","3","0","2"
"","EN14825_019","2.81","5","3","0","2"
"","EN14825_020","0","4","3","0","2"
"","EN14825_020","0","5","3","0","2"
"","EN14825_021","0.90","4","3","0","2"
"","EN14825_021","0.90","5","3","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_022","65","5","3","0","2"
"","EN14825_023","0","4","3","0","2"
"","EN14825_023","0","5","3","0","2"
"","EN14825_024","54","4","3","0","2"
"","EN14825_024","54","5","3","0","2"
"","EN14825_025","9","4","3","0","2"
"","EN14825_025","9","5","3","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.00","4","3","0","2"
"","EN14825_028","0.00","5","3","0","2"
"","EN14825_029","2262","4","3","0","2"
"","EN14825_029","3017","5","3","0","2"
"","EN16147_001","0","0","1","0","2"
"","EN16147_001","0","0","2","0","2"
"","EN16147_001","0","0","3","0","2"
"","EN16147_002","0","0","1","0","2"
"","EN16147_002","0","0","2","0","2"
"","EN16147_002","0","0","3","0","2"
"","EN16147_003","0.00","0","1","0","2"
"","EN16147_003","0.00","0","2","0","2"
"","EN16147_003","0.00","0","3","0","2"
"","EN16147_004","0","0","1","0","2"
"","EN16147_004","0","0","2","0","2"
"","EN16147_004","0","0","3","0","2"
"","EN16147_005","0","0","1","0","2"
"","EN16147_005","0","0","2","0","2"
"","EN16147_005","0","0","3","0","2"
"","EN16147_006","0.00","0","1","0","2"
"","EN16147_006","0.00","0","2","0","2"
"","EN16147_006","0.00","0","3","0","2"
"","EN16147_007","0","0","1","0","2"
"","EN16147_007","0","0","2","0","2"
"","EN16147_007","0","0","3","0","2"
"","title","WPF 05 cool, all climates","0","0","0","1"
"","application","1","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","1","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","5.82","4","10","0","2"
"","EN14511_2_002","1.21","4","10","0","2"
"","EN14511_2_003","4.80","4","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_001","46","4","1","0","2"
"","EN12102_1_001","46","4","2","0","2"
"","EN12102_1_001","46","4","3","0","2"
"","EN12102_1_002","0","4","1","0","2"
"","EN12102_1_002","0","4","2","0","2"
"","EN12102_1_002","0","4","3","0","2"
"","EN14825_001","203","4","1","0","2"
"","EN14825_001","212","4","2","0","2"
"","EN14825_001","205","4","3","0","2"
"","EN14825_002","6.00","4","1","0","2"
"","EN14825_002","7.00","4","2","0","2"
"","EN14825_002","6.00","4","3","0","2"
"","EN14825_003","5.28","4","1","0","2"
"","EN14825_003","5.49","4","2","0","2"
"","EN14825_003","5.32","4","3","0","2"
"","EN14825_004","2","4","1","0","2"
"","EN14825_004","-15","4","2","0","2"
"","EN14825_004","-10","4","3","0","2"
"","EN14825_005","0","4","1","0","2"
"","EN14825_005","-22","4","2","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_008","0.00","4","1","0","2"
"","EN14825_008","5.90","4","2","0","2"
"","EN14825_008","5.80","4","3","0","2"
"","EN14825_009","0.00","4","1","0","2"
"","EN14825_009","5.43","4","2","0","2"
"","EN14825_009","4.87","4","3","0","2"
"","EN14825_010","5.80","4","1","0","2"
"","EN14825_010","6.00","4","2","0","2"
"","EN14825_010","5.90","4","3","0","2"
"","EN14825_011","4.81","4","1","0","2"
"","EN14825_011","5.72","4","2","0","2"
"","EN14825_011","5.24","4","3","0","2"
"","EN14825_012","5.90","4","1","0","2"
"","EN14825_012","6.00","4","2","0","2"
"","EN14825_012","6.00","4","3","0","2"
"","EN14825_013","5.16","4","1","0","2"
"","EN14825_013","5.97","4","2","0","2"
"","EN14825_013","5.61","4","3","0","2"
"","EN14825_014","6.00","4","1","0","2"
