"modelID","varName","value","temperature","climate","indoorUnittype","info"
"ID_VWL 105/5 AS + VWL 127/5 IS","title","VWL 105/5 AS + VWL 127/5 IS","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","application","2","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","indoor","1","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","outdoor","1","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","coolingMode7c12c","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","coolingMode18c23c","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","colderClimate","1","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","warmerClimate","1","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","reversibility","1","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","colderForHeating","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","warmerForHeating","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","en145112Certification","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","heatSource","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","additionalOutdoorAir","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","additionalExhaustAir","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","additionalIndoorAir","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","additionalNonheatedSpaceAir","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","powerSupply","3","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","offPeakProduct","0","0","0","0","1"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_4_001","2","0","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_4_002","2","0","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_2_001","9.70","4","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_2_001","10.35","5","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_2_002","2.12","4","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_2_002","3.74","5","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_2_003","4.57","4","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_2_003","2.77","5","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_4_003","2","0","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_4_004","2","0","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_4_005","2","0","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14511_4_006","2","0","10","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_001","42","4","1","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_001","45","5","1","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_001","42","4","2","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_001","45","5","2","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_001","42","4","3","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_001","45","5","3","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_002","58","4","1","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_002","60","5","1","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_002","58","4","2","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_002","60","5","2","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_002","58","4","3","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN12102_1_002","60","5","3","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14825_001","211","4","1","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14825_001","158","5","1","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14825_001","152","4","2","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14825_001","111","5","2","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14825_001","180","4","3","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14825_001","128","5","3","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14825_002","8.23","4","1","0","2"
"ID_VWL 105/5 AS + VWL 127/5 IS","EN14825_002","9.29","5","1","0","2"
