"modelID","varName","value","temperature","climate","indoorUnittype","info"
"ID_VWL 55/3 A 230V ","title","VWL 55/3 A 230V ","0","0","0","1"
"ID_VWL 55/3 A 230V ","application","2","0","0","0","1"
"ID_VWL 55/3 A 230V ","indoor","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","outdoor","1","0","0","0","1"
"ID_VWL 55/3 A 230V ","coolingMode7c12c","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","coolingMode18c23c","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","colderClimate","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","warmerClimate","1","0","0","0","1"
"ID_VWL 55/3 A 230V ","reversibility","1","0","0","0","1"
"ID_VWL 55/3 A 230V ","colderForHeating","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","warmerForHeating","1","0","0","0","1"
"ID_VWL 55/3 A 230V ","en145112Certification","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","heatSource","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","additionalOutdoorAir","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","additionalExhaustAir","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","additionalIndoorAir","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","additionalNonheatedSpaceAir","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","powerSupply","1","0","0","0","1"
"ID_VWL 55/3 A 230V ","offPeakProduct","0","0","0","0","1"
"ID_VWL 55/3 A 230V ","EN14511_4_001","2","0","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_4_002","2","0","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_2_001","4.40","4","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_2_001","3.94","5","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_2_002","0.97","4","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_2_002","1.45","5","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_2_003","4.53","4","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_2_003","2.73","5","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_4_003","2","0","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_4_004","2","0","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_4_005","2","0","10","0","2"
"ID_VWL 55/3 A 230V ","EN14511_4_006","2","0","10","0","2"
"ID_VWL 55/3 A 230V ","EN12102_1_001","58","4","1","0","2"
"ID_VWL 55/3 A 230V ","EN12102_1_001","58","5","1","0","2"
"ID_VWL 55/3 A 230V ","EN12102_1_001","58","4","3","0","2"
"ID_VWL 55/3 A 230V ","EN12102_1_001","58","5","3","0","2"
"ID_VWL 55/3 A 230V ","EN12102_1_002","58","4","1","0","2"
"ID_VWL 55/3 A 230V ","EN12102_1_002","58","5","1","0","2"
"ID_VWL 55/3 A 230V ","EN12102_1_002","58","4","3","0","2"
"ID_VWL 55/3 A 230V ","EN12102_1_002","58","5","3","0","2"
"ID_VWL 55/3 A 230V ","EN14825_001","199","4","1","0","2"
"ID_VWL 55/3 A 230V ","EN14825_001","150","5","1","0","2"
"ID_VWL 55/3 A 230V ","EN14825_001","149","4","3","0","2"
