"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","CHA-10/400V","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","0","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","1","0","0","0","1"
"1","warmerClimate","1","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","3","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","4.10","4","10","0","2"
"1","EN14511_2_001","3.99","5","10","0","2"
"1","EN14511_2_002","0.75","4","10","0","2"
"1","EN14511_2_002","1.29","5","10","0","2"
"1","EN14511_2_003","5.54","4","10","0","2"
"1","EN14511_2_003","3.09","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_002","53","4","1","0","2"
"1","EN12102_1_002","53","5","1","0","2"
"1","EN12102_1_002","53","4","2","0","2"
"1","EN12102_1_002","53","5","2","0","2"
"1","EN12102_1_002","53","4","3","0","2"
"1","EN12102_1_002","53","5","3","0","2"
"1","EN14825_001","272","4","1","0","2"
"1","EN14825_001","185","5","1","0","2"
"1","EN14825_001","177","4","2","0","2"
"1","EN14825_001","177","4","2","0","2"
"1","EN14825_001","135","5","2","0","2"
"1","EN14825_001","135","5","2","0","2"
"1","EN14825_001","191","4","3","0","2"
"1","EN14825_001","141","5","3","0","2"
"1","EN14825_002","8.57","4","1","0","2"
"1","EN14825_002","8.64","5","1","0","2"
"1","EN14825_002","8.78","4","2","0","2"
"1","EN14825_002","8.78","4","2","0","2"
"1","EN14825_002","8.17","5","2","0","2"
"1","EN14825_002","8.17","5","2","0","2"
"1","EN14825_002","7.58","4","3","0","2"
"1","EN14825_002","7.40","5","3","0","2"
"1","EN14825_003","6.88","4","1","0","2"
"1","EN14825_003","4.71","5","1","0","2"
"1","EN14825_003","4.50","4","2","0","2"
"1","EN14825_003","4.50","4","2","0","2"
"1","EN14825_003","3.44","5","2","0","2"
"1","EN14825_003","3.44","5","2","0","2"
"1","EN14825_003","4.86","4","3","0","2"
"1","EN14825_003","3.60","5","3","0","2"
"1","EN14825_004","2","4","1","0","2"
"1","EN14825_004","2","5","1","0","2"
"1","EN14825_004","-17","4","2","0","2"
"1","EN14825_004","-17","4","2","0","2"
"1","EN14825_004","-17","5","2","0","2"
"1","EN14825_004","-17","5","2","0","2"
"1","EN14825_004","-10","4","3","0","2"
"1","EN14825_004","-10","5","3","0","2"
"1","EN14825_005","-22","4","1","0","2"
"1","EN14825_005","-22","5","1","0","2"
"1","EN14825_005","-22","4","2","0","2"
"1","EN14825_005","-22","4","2","0","2"
"1","EN14825_005","-22","5","2","0","2"
"1","EN14825_005","-22","5","2","0","2"
"1","EN14825_005","-22","4","3","0","2"
"1","EN14825_005","-22","5","3","0","2"
"1","EN14825_008","5.32","4","2","0","2"
"1","EN14825_008","5.32","4","2","0","2"
"1","EN14825_008","5.44","5","2","0","2"
"1","EN14825_008","5.44","5","2","0","2"
"1","EN14825_008","7.25","4","3","0","2"
"1","EN14825_008","7.03","5","3","0","2"
"1","EN14825_009","4.00","4","2","0","2"
"1","EN14825_009","4.00","4","2","0","2"
"1","EN14825_009","2.84","5","2","0","2"
"1","EN14825_009","2.84","5","2","0","2"
"1","EN14825_009","2.92","4","3","0","2"
"1","EN14825_009","2.09","5","3","0","2"
"1","EN14825_047","0.90","4","2","0","2"
"1","EN14825_047","0.90","4","2","0","2"
"1","EN14825_047","0.90","5","2","0","2"
"1","EN14825_047","0.90","5","2","0","2"
"1","EN14825_047","0.90","4","3","0","2"
"1","EN14825_047","0.90","5","3","0","2"
"1","EN14825_010","8.57","4","1","0","2"
"1","EN14825_010","8.64","5","1","0","2"
"1","EN14825_010","3.36","4","2","0","2"
"1","EN14825_010","3.36","4","2","0","2"
"1","EN14825_010","3.30","5","2","0","2"
"1","EN14825_010","3.30","5","2","0","2"
"1","EN14825_010","4.33","4","3","0","2"
"1","EN14825_010","4.28","5","3","0","2"
"1","EN14825_011","3.51","4","1","0","2"
"1","EN14825_011","2.40","5","1","0","2"
"1","EN14825_011","5.10","4","2","0","2"
"1","EN14825_011","5.10","4","2","0","2"
"1","EN14825_011","4.25","5","2","0","2"
"1","EN14825_011","4.25","5","2","0","2"
"1","EN14825_011","4.69","4","3","0","2"
"1","EN14825_011","3.45","5","3","0","2"
"1","EN14825_048","0.90","4","1","0","2"
"1","EN14825_048","0.90","5","1","0","2"
"1","EN14825_048","0.90","4","2","0","2"
"1","EN14825_048","0.90","4","2","0","2"
"1","EN14825_048","0.90","5","2","0","2"
"1","EN14825_048","0.90","5","2","0","2"
"1","EN14825_048","0.90","4","3","0","2"
"1","EN14825_048","0.90","5","3","0","2"
"1","EN14825_012","5.99","4","1","0","2"
"1","EN14825_012","5.93","5","1","0","2"
"1","EN14825_012","3.73","4","2","0","2"
"1","EN14825_012","3.73","4","2","0","2"
"1","EN14825_012","3.61","5","2","0","2"
"1","EN14825_012","3.61","5","2","0","2"
"1","EN14825_012","3.72","4","3","0","2"
"1","EN14825_012","3.54","5","3","0","2"
"1","EN14825_013","6.41","4","1","0","2"
"1","EN14825_013","4.14","5","1","0","2"
"1","EN14825_013","7.24","4","2","0","2"
