"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","AIM08EMX","0","0","0","1"
"1","application","4","0","0","0","1"
"1","indoor","0","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_2_001","8.08","4","10","0","2"
"1","EN14511_2_001","5.87","5","10","0","2"
"1","EN14511_2_002","1.93","4","10","0","2"
"1","EN14511_2_002","2.71","5","10","0","2"
"1","EN14511_2_003","4.19","4","10","0","2"
"1","EN14511_2_003","2.17","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN12102_1_002","69","4","3","0","2"
"1","EN12102_1_002","69","5","3","0","2"
"1","EN14825_001","159","4","3","0","2"
"1","EN14825_001","113","5","3","0","2"
"1","EN14825_002","6.51","4","3","0","2"
"1","EN14825_002","5.50","5","3","0","2"
"1","EN14825_003","4.05","4","3","0","2"
"1","EN14825_003","2.91","5","3","0","2"
"1","EN14825_004","-7","4","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","5.76","4","3","0","2"
"1","EN14825_008","4.87","5","3","0","2"
"1","EN14825_009","2.83","4","3","0","2"
"1","EN14825_009","1.83","5","3","0","2"
"1","EN14825_010","3.54","4","3","0","2"
"1","EN14825_010","3.02","5","3","0","2"
"1","EN14825_011","3.82","4","3","0","2"
"1","EN14825_011","2.85","5","3","0","2"
"1","EN14825_012","2.27","4","3","0","2"
"1","EN14825_012","1.85","5","3","0","2"
"1","EN14825_013","5.29","4","3","0","2"
"1","EN14825_013","3.67","5","3","0","2"
"1","EN14825_014","1.52","4","3","0","2"
"1","EN14825_014","1.48","5","3","0","2"
"1","EN14825_015","6.45","4","3","0","2"
"1","EN14825_015","5.63","5","3","0","2"
"1","EN14825_016","5.76","4","3","0","2"
"1","EN14825_016","4.87","5","3","0","2"
"1","EN14825_017","2.83","4","3","0","2"
"1","EN14825_017","1.83","5","3","0","2"
"1","EN14825_018","5.42","4","3","0","2"
"1","EN14825_018","3.97","5","3","0","2"
"1","EN14825_019","2.61","4","3","0","2"
"1","EN14825_019","1.46","5","3","0","2"
"1","EN14825_021","0.90","4","3","0","2"
"1","EN14825_021","0.90","5","3","0","2"
"1","EN14825_022","55","4","3","0","2"
"1","EN14825_022","55","5","3","0","2"
"1","EN14825_023","5","4","3","0","2"
"1","EN14825_023","5","5","3","0","2"
"1","EN14825_024","8","4","3","0","2"
"1","EN14825_024","8","5","3","0","2"
"1","EN14825_025","5","4","3","0","2"
"1","EN14825_025","5","5","3","0","2"
"1","EN14825_026","35","4","3","0","2"
"1","EN14825_026","35","5","3","0","2"
"1","EN14825_027","1","4","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","1.09","4","3","0","2"
"1","EN14825_028","1.53","5","3","0","2"
"1","EN14825_029","3326","4","3","0","2"
"1","EN14825_029","3904","5","3","0","2"
"1","EN16147_001","XL","0","3","0","2"
"1","EN16147_002","94","0","3","0","2"
"1","EN16147_003","2.25","0","3","0","2"
"1","EN16147_004","3:41","0","3","0","2"
"1","EN16147_005","53.2","0","3","0","2"
"1","EN16147_006","46.7","0","3","0","2"
"1","EN16147_007","364","0","3","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","1,460 kg","0","0","0","0"
"","Date","10.10.2018","0","0","0","0"
"","Manufacturer"," Argoclima S.p.A","0","0","0","0"
"","Modelname","AIM08","0","0","0","0"
