"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","Buderus Logatherm WPS 13-1","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","0","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","3","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_2_001","12.92","4","10","0","2"
"1","EN14511_2_001","11.84","5","10","0","2"
"1","EN14511_2_002","2.85","4","10","0","2"
"1","EN14511_2_002","3.97","5","10","0","2"
"1","EN14511_2_003","4.53","4","10","0","2"
"1","EN14511_2_003","2.98","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","49","4","1","0","2"
"1","EN12102_1_001","49","5","1","0","2"
"1","EN12102_1_001","49","4","2","0","2"
"1","EN12102_1_001","49","5","2","0","2"
"1","EN12102_1_001","49","4","3","0","2"
"1","EN12102_1_001","49","5","3","0","2"
"1","EN14825_001","189","4","1","0","2"
"1","EN14825_001","140","5","1","0","2"
"1","EN14825_001","192","4","2","0","2"
"1","EN14825_001","143","5","2","0","2"
"1","EN14825_001","187","4","3","0","2"
"1","EN14825_001","140","5","3","0","2"
"1","EN14825_002","14.00","4","1","0","2"
"1","EN14825_002","13.00","5","1","0","2"
"1","EN14825_002","14.00","4","2","0","2"
"1","EN14825_002","13.00","5","2","0","2"
"1","EN14825_002","14","4","3","0","2"
"1","EN14825_002","13","5","3","0","2"
"1","EN14825_003","4.92","4","1","0","2"
"1","EN14825_003","3.71","5","1","0","2"
"1","EN14825_003","5","4","2","0","2"
"1","EN14825_003","3.78","5","2","0","2"
"1","EN14825_003","4.88","4","3","0","2"
"1","EN14825_003","3.69","5","3","0","2"
"1","EN14825_004","4","4","1","0","2"
"1","EN14825_004","4","5","1","0","2"
"1","EN14825_004","-19","4","2","0","2"
"1","EN14825_004","-18","5","2","0","2"
"1","EN14825_004","-8","4","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","2","4","1","0","2"
"1","EN14825_005","2","5","1","0","2"
"1","EN14825_005","-22","4","2","0","2"
"1","EN14825_005","-22","5","2","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","13.07","4","2","0","2"
"1","EN14825_008","12.28","5","2","0","2"
"1","EN14825_008","12.95","4","3","0","2"
"1","EN14825_008","11.99","5","3","0","2"
"1","EN14825_009","4.9","4","2","0","2"
"1","EN14825_009","3.54","5","2","0","2"
"1","EN14825_009","4.61","4","3","0","2"
"1","EN14825_009","3.15","5","3","0","2"
"1","EN14825_047","1.00","4","2","0","2"
"1","EN14825_047","1.00","5","2","0","2"
"1","EN14825_047","1.00","4","3","0","2"
"1","EN14825_047","1.00","5","3","0","2"
"1","EN14825_010","12.92","4","1","0","2"
"1","EN14825_010","11.84","5","1","0","2"
"1","EN14825_010","13.15","4","2","0","2"
"1","EN14825_010","12.53","5","2","0","2"
"1","EN14825_010","13.05","4","3","0","2"
"1","EN14825_010","12.35","5","3","0","2"
"1","EN14825_011","4.53","4","1","0","2"
"1","EN14825_011","2.98","5","1","0","2"
"1","EN14825_011","5.12","4","2","0","2"
"1","EN14825_011","3.97","5","2","0","2"
"1","EN14825_011","4.86","4","3","0","2"
"1","EN14825_011","3.66","5","3","0","2"
"1","EN14825_048","1.00","4","1","0","2"
"1","EN14825_048","1.00","5","1","0","2"
"1","EN14825_048","1.00","4","2","0","2"
"1","EN14825_048","1.00","5","2","0","2"
"1","EN14825_048","1.00","4","3","0","2"
"1","EN14825_048","1.00","5","3","0","2"
"1","EN14825_012","13.03","4","1","0","2"
"1","EN14825_012","12.19","5","1","0","2"
"1","EN14825_012","13.22","4","2","0","2"
"1","EN14825_012","12.72","5","2","0","2"
"1","EN14825_012","13.15","4","3","0","2"
"1","EN14825_012","12.57","5","3","0","2"
"1","EN14825_013","4.81","4","1","0","2"
"1","EN14825_013","3.41","5","1","0","2"
"1","EN14825_013","5.29","4","2","0","2"
"1","EN14825_013","4.35","5","2","0","2"
"1","EN14825_013","5.1","4","3","0","2"
"1","EN14825_013","4.04","5","3","0","2"
"1","EN14825_049","1.00","4","1","0","2"
"1","EN14825_049","1.00","5","1","0","2"
"1","EN14825_049","1.00","4","2","0","2"
"1","EN14825_049","1.00","5","2","0","2"
"1","EN14825_049","1.00","4","3","0","2"
"1","EN14825_049","1.00","5","3","0","2"
"1","EN14825_014","13.18","4","1","0","2"
"1","EN14825_014","12.64","5","1","0","2"
"1","EN14825_014","13.23","4","2","0","2"
"1","EN14825_014","12.85","5","2","0","2"
"1","EN14825_014","13.24","4","3","0","2"
"1","EN14825_014","12.78","5","3","0","2"
"1","EN14825_015","5.19","4","1","0","2"
"1","EN14825_015","4.19","5","1","0","2"
"1","EN14825_015","5.33","4","2","0","2"
"1","EN14825_015","4.67","5","2","0","2"
"1","EN14825_015","5.36","4","3","0","2"
"1","EN14825_015","4.49","5","3","0","2"
"1","EN14825_050","1.00","4","1","0","2"
"1","EN14825_050","1.00","5","1","0","2"
"1","EN14825_050","1.00","4","2","0","2"
"1","EN14825_050","1.00","5","2","0","2"
"1","EN14825_050","1.00","4","3","0","2"
"1","EN14825_050","1.00","5","3","0","2"
"1","EN14825_016","12.98","4","1","0","2"
"1","EN14825_016","12.01","5","1","0","2"
"1","EN14825_016","12.96","4","2","0","2"
"1","EN14825_016","11.99","5","2","0","2"
"1","EN14825_016","12.95","4","3","0","2"
"1","EN14825_016","11.99","5","3","0","2"
"1","EN14825_017","4.67","4","1","0","2"
"1","EN14825_017","3.17","5","1","0","2"
"1","EN14825_017","4.64","4","2","0","2"
"1","EN14825_017","3.15","5","2","0","2"
"1","EN14825_017","4.6","4","3","0","2"
"1","EN14825_017","3.15","5","3","0","2"
"1","EN14825_018","12.92","4","1","0","2"
"1","EN14825_018","11.84","5","1","0","2"
"1","EN14825_018","12.92","4","2","0","2"
"1","EN14825_018","11.84","5","2","0","2"
"1","EN14825_018","12.92","4","3","0","2"
"1","EN14825_018","11.84","5","3","0","2"
"1","EN14825_019","4.53","4","1","0","2"
"1","EN14825_019","2.98","5","1","0","2"
"1","EN14825_019","4.53","4","2","0","2"
"1","EN14825_019","2.98","5","2","0","2"
"1","EN14825_019","4.53","4","3","0","2"
"1","EN14825_019","2.98","5","3","0","2"
"1","EN14825_021","1.00","4","1","0","2"
"1","EN14825_021","1.00","5","1","0","2"
"1","EN14825_021","1.00","4","2","0","2"
"1","EN14825_021","1.00","5","2","0","2"
"1","EN14825_021","1.00","4","3","0","2"
"1","EN14825_021","1.00","5","3","0","2"
"1","EN14825_022","62","4","1","0","2"
"1","EN14825_022","62","5","1","0","2"
"1","EN14825_022","62","4","2","0","2"
"1","EN14825_022","62","5","2","0","2"
"1","EN14825_022","62","4","3","0","2"
"1","EN14825_022","62","5","3","0","2"
"1","EN14825_023","6","4","1","0","2"
"1","EN14825_023","6","5","1","0","2"
"1","EN14825_023","6","4","2","0","2"
"1","EN14825_023","6","5","2","0","2"
"1","EN14825_023","6","4","3","0","2"
"1","EN14825_023","6","5","3","0","2"
"1","EN14825_024","6","4","1","0","2"
"1","EN14825_024","6","5","1","0","2"
"1","EN14825_024","6","4","2","0","2"
"1","EN14825_024","6","5","2","0","2"
"1","EN14825_024","6","4","3","0","2"
"1","EN14825_024","6","5","3","0","2"
"1","EN14825_025","6","4","1","0","2"
"1","EN14825_025","6","5","1","0","2"
"1","EN14825_025","6","4","2","0","2"
"1","EN14825_025","6","5","2","0","2"
"1","EN14825_025","6","4","3","0","2"
"1","EN14825_025","6","5","3","0","2"
"1","EN14825_026","0","4","1","0","2"
"1","EN14825_026","0","5","1","0","2"
"1","EN14825_026","0","4","2","0","2"
"1","EN14825_026","0","5","2","0","2"
"1","EN14825_026","0","4","3","0","2"
"1","EN14825_026","0","5","3","0","2"
"1","EN14825_027","1","4","1","0","2"
"1","EN14825_027","1","5","1","0","2"
"1","EN14825_027","1","4","2","0","2"
"1","EN14825_027","1","5","2","0","2"
"1","EN14825_027","1","4","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","1.08","4","1","0","2"
"1","EN14825_028","1.16","5","1","0","2"
"1","EN14825_028","1.08","4","2","0","2"
"1","EN14825_028","1.16","5","2","0","2"
"1","EN14825_028","1.08","4","3","0","2"
"1","EN14825_028","1.16","5","3","0","2"
"1","EN14825_029","3801","4","1","0","2"
"1","EN14825_029","4680","5","1","0","2"
"1","EN14825_029","6904","4","2","0","2"
"1","EN14825_029","8477","5","2","0","2"
"1","EN14825_029","5924","4","3","0","2"
"1","EN14825_029","7269","5","3","0","2"
"1","EN14825_051","1.00","4","2","0","2"
"1","EN14825_051","1.00","5","2","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","2,650 kg","0","0","0","0"
"","Date","17.11.2017","0","0","0","0"
"","Manufacturer"," Bosch Thermotechnik GmbH (Buderus)","0","0","0","0"
"","Modelname","Buderus Logatherm WPS 13-1","0","0","0","0"
"","Type","Brine/Water","0","0","0","0"
"","Energy","n/a","0","0","0","0"
