"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","SQKN-YEE 1 TC A 250 + MiSAN-YEE 1 S 2.1","0","0","0","1"
"1","application","4","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","4.32","4","10","0","2"
"1","EN14511_2_001","4.08","5","10","0","2"
"1","EN14511_2_002","0.80","4","10","0","2"
"1","EN14511_2_002","1.36","5","10","0","2"
"1","EN14511_2_003","5.42","4","10","0","2"
"1","EN14511_2_003","3.00","5","10","0","2"
"1","EN12102_1_001","41","5","3","0","2"
"1","EN12102_1_002","55","5","3","0","2"
"1","EN14825_001","202","4","3","0","2"
"1","EN14825_001","130","5","3","0","2"
"1","EN14825_002","5.36","4","3","0","2"
"1","EN14825_002","4.08","5","3","0","2"
"1","EN14825_003","5.13","4","3","0","2"
"1","EN14825_003","3.32","5","3","0","2"
"1","EN14825_004","-7","4","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","4.74","4","3","0","2"
"1","EN14825_008","3.61","5","3","0","2"
"1","EN14825_009","3.15","4","3","0","2"
"1","EN14825_009","2.02","5","3","0","2"
"1","EN14825_047","0.900","4","3","0","2"
