"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","ECLBT110X.01","0","0","0","1"
"1","application","3","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","0","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","1","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","49","5","3","0","2"
"1","EN12102_2_001","49","0","3","0","2"
"1","EN16147_001","M","0","3","0","2"
"1","EN16147_002","125","0","3","0","2"
"1","EN16147_003","3.01","0","3","0","2"
"1","EN16147_004","6:53","0","3","0","2"
"1","EN16147_005","13.4","0","3","0","2"
"1","EN16147_006","55.0","0","3","0","2"
"1","EN16147_007","150","0","3","0","2"
"1","EN16147_008","2","0","5","0","2"
"1","EN16147_009","2","0","5","0","2"
"1","EN16147_010","2","0","5","0","2"
"","Refrigerant","R134a","0","0","0","0"
"","Mass of Refrigerant","0,650 kg","0","0","0","0"
"","Date","20.05.2022","0","0","0","0"
"","Manufacturer"," ECL Nexus ","0","0","0","0"
"","Modelname","ECL-BT-110","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
