"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","AQUATOP S11","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","1","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","2","0","0","0","1"
"","offPeakProduct","0","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","13.34","4","10","0","2"
"","EN14511_2_001","10.49","4","10","0","2"
"","EN14511_2_001","13.34","4","10","0","2"
"","EN14511_2_001","10.49","4","10","0","2"
"","EN14511_2_001","9.10","5","10","0","2"
"","EN14511_2_001","12.51","5","10","0","2"
"","EN14511_2_001","9.10","5","10","0","2"
"","EN14511_2_001","12.51","5","10","0","2"
"","EN14511_2_002","2.11","4","10","0","2"
"","EN14511_2_002","2.19","4","10","0","2"
"","EN14511_2_002","2.11","4","10","0","2"
"","EN14511_2_002","2.19","4","10","0","2"
"","EN14511_2_002","3.20","5","10","0","2"
"","EN14511_2_002","3.31","5","10","0","2"
"","EN14511_2_002","3.20","5","10","0","2"
"","EN14511_2_002","3.31","5","10","0","2"
"","EN14511_2_003","4.98","4","10","0","2"
"","EN14511_2_003","6.08","4","10","0","2"
"","EN14511_2_003","4.98","4","10","0","2"
"","EN14511_2_003","6.08","4","10","0","2"
"","EN14511_2_003","2.84","5","10","0","2"
"","EN14511_2_003","3.78","5","10","0","2"
