"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","CTC EcoPart 408 1x230V","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","8.19","4","10","0","2"
"","EN14511_2_001","7.55","5","10","0","2"
"","EN14511_2_002","1.79","4","10","0","2"
"","EN14511_2_002","2.53","5","10","0","2"
"","EN14511_2_003","4.58","4","10","0","2"
"","EN14511_2_003","2.99","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN12102_1_001","46","4","2","0","2"
"","EN12102_1_001","46","5","2","0","2"
"","EN12102_1_001","46","4","3","0","2"
"","EN12102_1_001","46","5","3","0","2"
"","EN14825_001","183","4","2","0","2"
"","EN14825_001","139","5","2","0","2"
"","EN14825_001","180","4","3","0","2"
"","EN14825_001","136","5","3","0","2"
"","EN14825_002","8.92","4","2","0","2"
"","EN14825_002","8.62","5","2","0","2"
"","EN14825_002","6.45","4","3","0","2"
"","EN14825_002","8.72","5","3","0","2"
"","EN14825_003","4.80","4","2","0","2"
"","EN14825_003","7.70","5","2","0","2"
"","EN14825_003","4.70","4","3","0","2"
"","EN14825_003","3.60","5","3","0","2"
"","EN14825_004","-19","4","2","0","2"
"","EN14825_004","-18","5","2","0","2"
"","EN14825_004","-7","4","3","0","2"
"","EN14825_004","-6","5","3","0","2"
"","EN14825_005","-22","4","2","0","2"
"","EN14825_005","-22","5","2","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","8.30","4","2","0","2"
"","EN14825_008","7.80","5","2","0","2"
"","EN14825_008","8.20","4","3","0","2"
"","EN14825_008","7.70","5","3","0","2"
"","EN14825_009","4.88","4","2","0","2"
"","EN14825_009","3.55","5","2","0","2"
"","EN14825_009","4.76","4","3","0","2"
"","EN14825_009","3.28","5","3","0","2"
"","EN14825_010","8.30","4","2","0","2"
"","EN14825_010","8.00","5","2","0","2"
"","EN14825_010","8.30","4","3","0","2"
"","EN14825_010","7.90","5","3","0","2"
"","EN14825_011","5.04","4","2","0","2"
"","EN14825_011","3.92","5","2","0","2"
"","EN14825_011","4.86","4","3","0","2"
"","EN14825_011","3.62","5","3","0","2"
"","EN14825_012","8.40","4","2","0","2"
"","EN14825_012","8.10","5","2","0","2"
"","EN14825_012","8.30","4","3","0","2"
"","EN14825_012","8.00","5","3","0","2"
"","EN14825_013","5.16","4","2","0","2"
"","EN14825_013","4.27","5","2","0","2"
"","EN14825_013","5.04","4","3","0","2"
"","EN14825_013","4.00","5","3","0","2"
"","EN14825_014","8.40","4","2","0","2"
"","EN14825_014","8.20","5","2","0","2"
"","EN14825_014","8.40","4","3","0","2"
"","EN14825_014","8.10","5","3","0","2"
"","EN14825_015","5.19","4","2","0","2"
"","EN14825_015","4.52","5","2","0","2"
"","EN14825_015","5.21","4","3","0","2"
"","EN14825_015","4.38","5","3","0","2"
"","EN14825_016","8.20","4","2","0","2"
"","EN14825_016","7.70","5","2","0","2"
"","EN14825_016","8.20","4","3","0","2"
"","EN14825_016","7.70","5","3","0","2"
"","EN14825_017","4.67","4","2","0","2"
"","EN14825_017","3.28","5","2","0","2"
"","EN14825_017","4.67","4","3","0","2"
"","EN14825_017","3.13","5","3","0","2"
"","EN14825_018","8.19","4","2","0","2"
"","EN14825_018","7.64","5","2","0","2"
"","EN14825_018","8.19","4","3","0","2"
"","EN14825_018","7.64","5","3","0","2"
"","EN14825_019","4.58","4","2","0","2"
"","EN14825_019","3.13","5","2","0","2"
"","EN14825_019","4.58","4","3","0","2"
"","EN14825_019","3.13","5","3","0","2"
"","EN14825_021","0.98","4","2","0","2"
"","EN14825_021","0.99","5","2","0","2"
"","EN14825_021","0.98","4","3","0","2"
"","EN14825_021","0.99","5","3","0","2"
"","EN14825_022","65","4","2","0","2"
"","EN14825_022","65","5","2","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_022","65","5","3","0","2"
"","EN14825_023","18","4","2","0","2"
"","EN14825_023","18","5","2","0","2"
"","EN14825_023","18","4","3","0","2"
"","EN14825_023","18","5","3","0","2"
"","EN14825_024","13","4","2","0","2"
"","EN14825_024","4","5","2","0","2"
"","EN14825_024","13","4","3","0","2"
"","EN14825_024","4","5","3","0","2"
"","EN14825_025","18","4","2","0","2"
"","EN14825_025","18","5","2","0","2"
"","EN14825_025","18","4","3","0","2"
"","EN14825_025","18","5","3","0","2"
"","EN14825_026","0","4","2","0","2"
"","EN14825_026","0","5","2","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","2","0","2"
"","EN14825_027","1","5","2","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.70","4","2","0","2"
"","EN14825_028","0.70","5","2","0","2"
"","EN14825_028","1.10","4","3","0","2"
"","EN14825_028","1.10","5","3","0","2"
"","EN14825_029","4612","4","2","0","2"
"","EN14825_029","4612","5","2","0","2"
"","EN14825_029","4092","4","3","0","2"
"","EN14825_029","4995","5","3","0","2"
"","title","CTC EcoPart 408 3x400V","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","8.19","4","10","0","2"
"","EN14511_2_001","7.55","5","10","0","2"
"","EN14511_2_002","1.79","4","10","0","2"
"","EN14511_2_002","2.53","5","10","0","2"
"","EN14511_2_003","4.58","4","10","0","2"
"","EN14511_2_003","2.99","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN12102_1_001","46","4","2","0","2"
"","EN12102_1_001","46","5","2","0","2"
"","EN12102_1_001","46","4","3","0","2"
"","EN12102_1_001","46","5","3","0","2"
"","EN14825_001","183","4","2","0","2"
"","EN14825_001","139","5","2","0","2"
"","EN14825_001","180","4","3","0","2"
"","EN14825_001","136","5","3","0","2"
"","EN14825_002","8.92","4","2","0","2"
"","EN14825_002","8.62","5","2","0","2"
"","EN14825_002","6.45","4","3","0","2"
"","EN14825_002","8.72","5","3","0","2"
"","EN14825_003","4.80","4","2","0","2"
"","EN14825_003","7.70","5","2","0","2"
"","EN14825_003","4.70","4","3","0","2"
"","EN14825_003","3.60","5","3","0","2"
"","EN14825_004","-19","4","2","0","2"
"","EN14825_004","-18","5","2","0","2"
"","EN14825_004","-7","4","3","0","2"
"","EN14825_004","-6","5","3","0","2"
"","EN14825_005","-22","4","2","0","2"
"","EN14825_005","-22","5","2","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","8.30","4","2","0","2"
"","EN14825_008","7.80","5","2","0","2"
"","EN14825_008","8.20","4","3","0","2"
"","EN14825_008","7.70","5","3","0","2"
"","EN14825_009","4.88","4","2","0","2"
"","EN14825_009","3.55","5","2","0","2"
"","EN14825_009","4.76","4","3","0","2"
"","EN14825_009","3.28","5","3","0","2"
"","EN14825_010","8.30","4","2","0","2"
"","EN14825_010","8.00","5","2","0","2"
"","EN14825_010","8.30","4","3","0","2"
"","EN14825_010","7.90","5","3","0","2"
"","EN14825_011","5.04","4","2","0","2"
"","EN14825_011","3.92","5","2","0","2"
"","EN14825_011","4.86","4","3","0","2"
"","EN14825_011","3.62","5","3","0","2"
"","EN14825_012","8.40","4","2","0","2"
"","EN14825_012","8.10","5","2","0","2"
"","EN14825_012","8.30","4","3","0","2"
"","EN14825_012","8.00","5","3","0","2"
"","EN14825_013","5.16","4","2","0","2"
"","EN14825_013","4.27","5","2","0","2"
"","EN14825_013","5.04","4","3","0","2"
"","EN14825_013","4.00","5","3","0","2"
"","EN14825_014","8.40","4","2","0","2"
"","EN14825_014","8.20","5","2","0","2"
"","EN14825_014","8.40","4","3","0","2"
"","EN14825_014","8.10","5","3","0","2"
"","EN14825_015","5.19","4","2","0","2"
"","EN14825_015","4.52","5","2","0","2"
"","EN14825_015","5.21","4","3","0","2"
"","EN14825_015","4.38","5","3","0","2"
"","EN14825_016","8.20","4","2","0","2"
"","EN14825_016","7.70","5","2","0","2"
"","EN14825_016","8.20","4","3","0","2"
"","EN14825_016","7.70","5","3","0","2"
"","EN14825_017","4.67","4","2","0","2"
"","EN14825_017","3.28","5","2","0","2"
"","EN14825_017","4.67","4","3","0","2"
"","EN14825_017","3.13","5","3","0","2"
"","EN14825_018","8.19","4","2","0","2"
"","EN14825_018","7.64","5","2","0","2"
"","EN14825_018","8.19","4","3","0","2"
"","EN14825_018","7.64","5","3","0","2"
"","EN14825_019","4.58","4","2","0","2"
"","EN14825_019","3.13","5","2","0","2"
"","EN14825_019","4.58","4","3","0","2"
"","EN14825_019","3.13","5","3","0","2"
"","EN14825_021","0.98","4","2","0","2"
"","EN14825_021","0.99","5","2","0","2"
"","EN14825_021","0.98","4","3","0","2"
"","EN14825_021","0.99","5","3","0","2"
"","EN14825_022","65","4","2","0","2"
"","EN14825_022","65","5","2","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_022","65","5","3","0","2"
"","EN14825_023","18","4","2","0","2"
"","EN14825_023","18","5","2","0","2"
"","EN14825_023","18","4","3","0","2"
"","EN14825_023","18","5","3","0","2"
"","EN14825_024","13","4","2","0","2"
"","EN14825_024","4","5","2","0","2"
"","EN14825_024","13","4","3","0","2"
"","EN14825_024","4","5","3","0","2"
"","EN14825_025","18","4","2","0","2"
"","EN14825_025","18","5","2","0","2"
"","EN14825_025","18","4","3","0","2"
"","EN14825_025","18","5","3","0","2"
"","EN14825_026","0","4","2","0","2"
"","EN14825_026","0","5","2","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","2","0","2"
"","EN14825_027","1","5","2","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.70","4","2","0","2"
"","EN14825_028","0.70","5","2","0","2"
"","EN14825_028","1.10","4","3","0","2"
"","EN14825_028","1.10","5","3","0","2"
"","EN14825_029","4612","4","2","0","2"
"","EN14825_029","4612","5","2","0","2"
"","EN14825_029","4092","4","3","0","2"
"","EN14825_029","4995","5","3","0","2"
