"modelID","varName","value","temperature","climate","indoorUnittype","info"
"2","title","InelioDynamic 16","0","0","0","1"
"2","application","4","0","0","0","1"
"2","indoor","0","0","0","0","1"
"2","outdoor","1","0","0","0","1"
"2","coolingMode7c12c","0","0","0","0","1"
"2","coolingMode18c23c","0","0","0","0","1"
"2","colderClimate","0","0","0","0","1"
"2","warmerClimate","0","0","0","0","1"
"2","reversibility","1","0","0","0","1"
"2","colderForHeating","0","0","0","0","1"
"2","warmerForHeating","0","0","0","0","1"
"2","en145112Certification","0","0","0","0","1"
"2","heatSource","0","0","0","0","1"
"2","additionalOutdoorAir","0","0","0","0","1"
"2","additionalExhaustAir","0","0","0","0","1"
"2","additionalIndoorAir","0","0","0","0","1"
"2","additionalNonheatedSpaceAir","0","0","0","0","1"
"2","powerSupply","1","0","0","0","1"
"2","offPeakProduct","0","0","0","0","1"
"2","EN14511_4_001","2","0","10","0","2"
"2","EN14511_4_002","2","0","10","0","2"
"2","EN14511_2_001","13.57","4","10","0","2"
"2","EN14511_2_001","10.26","5","10","0","2"
"2","EN14511_2_002","3.35","4","10","0","2"
"2","EN14511_2_002","4.83","5","10","0","2"
"2","EN14511_2_003","4.06","4","10","0","2"
"2","EN14511_2_003","2.13","5","10","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN14511_4_006","2","0","10","0","2"
"2","EN12102_1_002","70","4","3","0","2"
"2","EN12102_1_002","70","5","3","0","2"
"2","EN14825_001","153","4","3","0","2"
"2","EN14825_001","111","5","3","0","2"
"2","EN14825_002","9.83","4","3","0","2"
"2","EN14825_002","9.52","5","3","0","2"
"2","EN14825_003","3.91","4","3","0","2"
"2","EN14825_003","2.84","5","3","0","2"
"2","EN14825_004","-7","4","3","0","2"
"2","EN14825_004","-7","5","3","0","2"
"2","EN14825_005","-10","4","3","0","2"
"2","EN14825_005","-10","5","3","0","2"
"2","EN14825_008","8.70","4","3","0","2"
"2","EN14825_008","8.42","5","3","0","2"
"2","EN14825_009","2.49","4","3","0","2"
"2","EN14825_009","1.58","5","3","0","2"
"2","EN14825_047","0.900","4","3","0","2"
"2","EN14825_047","0.900","5","3","0","2"
"2","EN14825_010","4.95","4","3","0","2"
"2","EN14825_010","5.09","5","3","0","2"
"2","EN14825_011","3.72","4","3","0","2"
"2","EN14825_011","2.83","5","3","0","2"
"2","EN14825_048","0.900","4","3","0","2"
"2","EN14825_048","0.900","5","3","0","2"
"2","EN14825_012","4.17","4","3","0","2"
"2","EN14825_012","3.53","5","3","0","2"
"2","EN14825_013","5.53","4","3","0","2"
"2","EN14825_013","3.87","5","3","0","2"
"2","EN14825_049","0.900","4","3","0","2"
"2","EN14825_049","0.900","5","3","0","2"
"2","EN14825_014","2.86","4","3","0","2"
"2","EN14825_014","4.57","5","3","0","2"
"2","EN14825_015","6.64","4","3","0","2"
"2","EN14825_015","6.01","5","3","0","2"
"2","EN14825_050","0.900","4","3","0","2"
"2","EN14825_050","0.900","5","3","0","2"
"2","EN14825_016","8.70","4","3","0","2"
"2","EN14825_016","8.42","5","3","0","2"
"2","EN14825_017","2.49","4","3","0","2"
"2","EN14825_017","1.58","5","3","0","2"
"2","EN14825_018","7.96","4","3","0","2"
"2","EN14825_018","6.81","5","3","0","2"
"2","EN14825_019","2.24","4","3","0","2"
"2","EN14825_019","1.19","5","3","0","2"
"2","EN14825_021","0.900","4","3","0","2"
"2","EN14825_021","0.900","5","3","0","2"
"2","EN14825_022","55","4","3","0","2"
"2","EN14825_022","55","5","3","0","2"
"2","EN14825_023","5","4","3","0","2"
"2","EN14825_023","5","5","3","0","2"
"2","EN14825_024","8","4","3","0","2"
"2","EN14825_024","8","5","3","0","2"
"2","EN14825_025","5","4","3","0","2"
"2","EN14825_025","5","5","3","0","2"
"2","EN14825_026","35","4","3","0","2"
"2","EN14825_026","35","5","3","0","2"
"2","EN14825_027","1","4","3","0","2"
"2","EN14825_027","1","5","3","0","2"
"2","EN14825_028","1.88","4","3","0","2"
"2","EN14825_028","2.72","5","3","0","2"
"2","EN14825_029","5194","4","3","0","2"
"2","EN14825_029","6931","5","3","0","2"
"2","EN16147_001","XL","0","3","0","2"
"2","EN16147_002","85","0","3","0","2"
"2","EN16147_003","2.05","0","3","0","2"
"2","EN16147_004","2:40","0","3","0","2"
"2","EN16147_005","47.0","0","3","0","2"
"2","EN16147_006","47.0","0","3","0","2"
"2","EN16147_007","377","0","3","0","2"
"1","title","InelioDynamic 16 TRI","0","0","0","1"
"1","application","4","0","0","0","1"
"1","indoor","0","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
