"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","HPID6R32","0","0","0","1"
"1","application","4","0","0","0","1"
"1","indoor","0","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_2_001","6.92","4","10","0","2"
"1","EN14511_2_001","6.24","5","10","0","2"
"1","EN14511_2_002","1.41","4","10","0","2"
"1","EN14511_2_002","2.05","5","10","0","2"
"1","EN14511_2_003","4.91","4","10","0","2"
"1","EN14511_2_003","3.04","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_002","65.2","4","3","0","2"
"1","EN12102_1_002","65.2","5","3","0","2"
"1","EN14825_001","185","4","3","0","2"
"1","EN14825_001","132","5","3","0","2"
"1","EN14825_002","4.50","4","3","0","2"
"1","EN14825_002","4.50","5","3","0","2"
"1","EN14825_003","4.70","4","3","0","2"
"1","EN14825_003","3.38","5","3","0","2"
"1","EN14825_004","-9","4","3","0","2"
"1","EN14825_004","-9","5","3","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","4.68","4","3","0","2"
"1","EN14825_008","5.03","5","3","0","2"
"1","EN14825_009","3.13","4","3","0","2"
"1","EN14825_009","2.11","5","3","0","2"
"1","EN14825_047","0.990","4","3","0","2"
"1","EN14825_047","0.990","5","3","0","2"
"1","EN14825_010","3.24","4","3","0","2"
"1","EN14825_010","3.21","5","3","0","2"
"1","EN14825_011","6.02","4","3","0","2"
"1","EN14825_011","4.03","5","3","0","2"
"1","EN14825_048","0.990","4","3","0","2"
"1","EN14825_048","0.990","5","3","0","2"
"1","EN14825_012","2.10","4","3","0","2"
"1","EN14825_012","2.20","5","3","0","2"
"1","EN14825_013","7.40","4","3","0","2"
"1","EN14825_013","5.10","5","3","0","2"
"1","EN14825_049","0.990","4","3","0","2"
"1","EN14825_049","0.990","5","3","0","2"
"1","EN14825_014","2.00","4","3","0","2"
"1","EN14825_014","1.78","5","3","0","2"
"1","EN14825_015","9.20","4","3","0","2"
"1","EN14825_015","6.15","5","3","0","2"
"1","EN14825_050","0.990","4","3","0","2"
"1","EN14825_050","0.990","5","3","0","2"
"1","EN14825_016","4.50","4","3","0","2"
"1","EN14825_016","4.49","5","3","0","2"
"1","EN14825_017","3.02","4","3","0","2"
"1","EN14825_017","1.99","5","3","0","2"
"1","EN14825_018","3.87","4","3","0","2"
"1","EN14825_018","3.51","5","3","0","2"
"1","EN14825_019","2.67","4","3","0","2"
"1","EN14825_019","1.85","5","3","0","2"
"1","EN14825_021","0.990","4","3","0","2"
"1","EN14825_021","0.990","5","3","0","2"
"1","EN14825_022","60","4","3","0","2"
"1","EN14825_022","60","5","3","0","2"
"1","EN14825_023","100","4","3","0","2"
"1","EN14825_023","100","5","3","0","2"
"1","EN14825_024","40","4","3","0","2"
"1","EN14825_024","40","5","3","0","2"
"1","EN14825_025","100","4","3","0","2"
"1","EN14825_025","100","5","3","0","2"
"1","EN14825_026","0","4","3","0","2"
"1","EN14825_026","0","5","3","0","2"
"1","EN14825_027","1","4","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","0.63","4","3","0","2"
"1","EN14825_028","0.99","5","3","0","2"
"1","EN14825_029","1979","4","3","0","2"
"1","EN14825_029","2754","5","3","0","2"
"1","EN16147_001","L","0","3","0","2"
"1","EN16147_002","114","0","3","0","2"
"1","EN16147_003","2.75","0","3","0","2"
"1","EN16147_004","1:47","0","3","0","2"
"1","EN16147_005","26.3","0","3","0","2"
"1","EN16147_006","49.0","0","3","0","2"
"1","EN16147_007","278","0","3","0","2"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","0,800 kg","0","0","0","0"
"","Date","01.03.2022","0","0","0","0"
"","Manufacturer"," Grant Engineering (UK) Ltd","0","0","0","0"
"","Modelname","Grant Aerona3 HPID6R32","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
